pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643464358639,RightHand_Target,1.586897,0.9164745,0.3672681,352.3793,256.5217,102.0387,
0,1643464358767,RightHand_Target,1.586211,0.9153343,0.3647797,352.3232,256.5182,101.6051,
0,1643464358900,RightHand_Target,1.586541,0.9149316,0.3638384,352.3921,256.5701,101.5526,
0,1643464359032,RightHand_Target,1.58714,0.9142317,0.3638057,352.5425,256.6559,101.5757,
0,1643464359133,RightHand_Target,1.586315,0.9143249,0.3624855,351.9321,256.8314,101.5978,
0,1643464359266,RightHand_Target,1.587473,0.9138913,0.3607436,351.8065,256.9428,101.447,
0,1643464359366,RightHand_Target,1.589958,0.9133781,0.3599067,352.1554,256.6877,101.2993,
0,1643464359468,RightHand_Target,1.592603,0.9129966,0.3596044,352.4253,256.6121,101.1854,
0,1643464359601,RightHand_Target,1.594935,0.9133544,0.3601731,352.7626,256.5479,101.25,
0,1643464359701,RightHand_Target,1.595525,0.9132572,0.3604084,352.8562,256.4823,101.3928,
0,1643464359800,RightHand_Target,1.595484,0.9142215,0.3602594,352.7994,256.432,101.4224,
0,1643464359902,RightHand_Target,1.59531,0.9140456,0.3592553,352.8495,256.4869,101.3497,
0,1643464360034,RightHand_Target,1.595443,0.9139388,0.3577617,352.6153,256.5133,101.2584,
0,1643464360167,RightHand_Target,1.595709,0.9133916,0.3574607,352.6407,256.5962,101.3014,
0,1643464360268,RightHand_Target,1.595753,0.913507,0.3570001,352.4861,256.684,101.2555,
0,1643464360399,RightHand_Target,1.595827,0.9130743,0.3552096,352.3711,256.8274,101.1459,
0,1643464360502,RightHand_Target,1.596277,0.9125877,0.3543005,352.4716,256.8408,101.0245,
0,1643464360636,RightHand_Target,1.59874,0.9115557,0.3540975,352.7404,257.075,100.965,
0,1643464360736,RightHand_Target,1.599898,0.9104967,0.3538176,352.9372,257.3035,100.8722,
0,1643464360867,RightHand_Target,1.600065,0.9104416,0.3531271,353.0671,257.4583,100.7583,
0,1643464360969,RightHand_Target,1.598655,0.9110585,0.3533242,352.8624,257.7016,100.8204,
0,1643464361101,RightHand_Target,1.59597,0.9107709,0.3534774,352.5274,257.8493,100.8367,
0,1643464361203,RightHand_Target,1.59396,0.910333,0.3528513,352.2953,257.8882,100.7782,
0,1643464361304,RightHand_Target,1.592671,0.9105651,0.3526646,352.1879,257.8573,100.7318,
0,1643464361435,RightHand_Target,1.591347,0.9101092,0.352678,352.1639,257.7756,100.6935,
0,1643464361568,RightHand_Target,1.590713,0.9096597,0.3532987,352.2099,257.7996,100.7375,
0,1643464361669,RightHand_Target,1.590079,0.9097481,0.3536175,352.2788,257.8318,100.7017,
0,1643464361801,RightHand_Target,1.589563,0.9092827,0.3538357,352.235,258.0984,100.6798,
0,1643464361901,RightHand_Target,1.58992,0.9089289,0.353996,352.3484,258.1315,100.7123,
0,1643464362003,RightHand_Target,1.590421,0.9080361,0.3536072,352.4257,258.1134,100.5918,
0,1643464362134,RightHand_Target,1.590921,0.9063075,0.3524044,352.1859,258.7339,100.4447,
0,1643464362234,RightHand_Target,1.592027,0.9034604,0.3509496,352.0089,259.5851,100.0533,
0,1643464362367,RightHand_Target,1.593232,0.9032896,0.3512155,351.8451,259.5256,99.60337,
0,1643464362469,RightHand_Target,1.593124,0.904413,0.3551038,352.1416,259.2042,99.94277,
0,1643464362602,RightHand_Target,1.589606,0.9073396,0.3622962,351.8105,258.7413,100.7338,
0,1643464362701,RightHand_Target,1.586395,0.9087536,0.3643819,351.8087,258.0549,100.9958,
0,1643464362834,RightHand_Target,1.583027,0.9110984,0.36428,352.3775,256.227,101.2237,
0,1643464362936,RightHand_Target,1.580118,0.9130962,0.3633211,352.2984,255.5756,101.5487,
0,1643464363067,RightHand_Target,1.580368,0.9145057,0.3576753,352.4415,255.1995,101.6589,
0,1643464363167,RightHand_Target,1.584183,0.9135579,0.353346,353.0035,255.5867,101.4705,
0,1643464363269,RightHand_Target,1.589907,0.9126652,0.3489314,353.8174,256.0962,101.0968,
0,1643464363399,RightHand_Target,1.594058,0.9116764,0.3431967,355.0068,256.3871,101.0781,
0,1643464363500,RightHand_Target,1.590225,0.9129821,0.3378097,354.9684,256.5667,101.4303,
0,1643464363601,RightHand_Target,1.581792,0.914478,0.329541,354.294,256.7425,101.9044,
0,1643464363701,RightHand_Target,1.571199,0.9162878,0.3189697,353.5837,256.6027,102.2843,
0,1643464363834,RightHand_Target,1.557482,0.9189078,0.3032085,352.4603,256.6344,102.6327,
0,1643464363936,RightHand_Target,1.551116,0.9200874,0.2937921,351.488,256.9146,103.1598,
0,1643464364045,RightHand_Target,1.552256,0.9218742,0.2868969,351.6998,257.2723,103.1763,
0,1643464364156,RightHand_Target,1.560563,0.9244599,0.2826629,351.7241,265.9032,102.2713,
0,1643464364270,RightHand_Target,1.563967,0.9228586,0.2865129,354.7195,257.5715,104.6234,
0,1643464364382,RightHand_Target,1.563143,0.9239326,0.2891597,354.812,262.1978,104.4478,
0,1643464364491,RightHand_Target,1.558569,0.9250316,0.286225,354.0986,261.7622,103.9345,
0,1643464364599,RightHand_Target,1.552759,0.9228936,0.2858704,354.9274,261.2883,103.6296,
0,1643464364702,RightHand_Target,1.541436,0.9235761,0.2875995,355.4511,260.2928,103.8471,
0,1643464364805,RightHand_Target,1.528459,0.9219967,0.2881625,353.2362,260.9404,104.5098,
0,1643464364912,RightHand_Target,1.521136,0.9248136,0.2855628,352.2943,261.0305,103.4736,
0,1643464365018,RightHand_Target,1.517292,0.9226372,0.2883052,352.7091,260.8438,103.271,
0,1643464365122,RightHand_Target,1.514913,0.9180343,0.2951797,353.8986,260.8621,103.5936,
0,1643464365230,RightHand_Target,1.509488,0.9123656,0.3005232,354.7539,261.5724,104.0219,
0,1643464365337,RightHand_Target,1.501968,0.9094449,0.3014711,353.479,262.1112,103.3741,
0,1643464365446,RightHand_Target,1.494256,0.9054898,0.2998412,353.7624,261.8177,103.3448,
0,1643464365551,RightHand_Target,1.482521,0.8993729,0.2983587,353.3947,262.2036,102.9676,
0,1643464365686,RightHand_Target,1.471731,0.8958272,0.297203,353.4285,262.0661,102.1675,
0,1643464365788,RightHand_Target,1.462194,0.8931363,0.3007224,353.8969,261.5806,102.1725,
0,1643464365891,RightHand_Target,1.451421,0.8910827,0.3057267,354.2376,261.078,102.7654,
0,1643464366000,RightHand_Target,1.440868,0.8897429,0.3091184,353.7018,260.9412,102.4871,
0,1643464366102,RightHand_Target,1.431738,0.8849065,0.3110073,353.3898,260.854,102.4641,
0,1643464366205,RightHand_Target,1.424091,0.879442,0.3138616,353.8139,260.4402,102.3299,
0,1643464366305,RightHand_Target,1.4168,0.8789963,0.3193976,354.1819,260.671,102.3526,
0,1643464366442,RightHand_Target,1.404863,0.8807986,0.3287357,354.3856,261.3785,102.8018,
0,1643464366569,RightHand_Target,1.39148,0.883368,0.3366246,354.6064,261.1884,102.84,
0,1643464366702,RightHand_Target,1.37341,0.8835511,0.3485981,354.5844,261.6218,103.4852,
0,1643464366835,RightHand_Target,1.350558,0.8892795,0.3669533,354.2607,261.8126,105.157,
0,1643464366943,RightHand_Target,1.33362,0.8965918,0.3841344,353.722,262.3579,106.2935,
0,1643464367066,RightHand_Target,1.312466,0.9095341,0.4140963,352.7527,264.5208,109.7994,
0,1643464367168,RightHand_Target,1.298631,0.9194905,0.4373386,351.7645,265.022,111.9968,
0,1643464367268,RightHand_Target,1.287415,0.9279532,0.4582985,351.1126,267.2835,114.3287,
0,1643464367370,RightHand_Target,1.278264,0.9391415,0.4812577,350.2007,267.3079,116.7726,
0,1643464367501,RightHand_Target,1.272649,0.9507657,0.5073111,350.4822,268.1344,119.258,
0,1643464367634,RightHand_Target,1.26872,0.9573688,0.5231416,350.9978,268.798,120.092,
0,1643464367733,RightHand_Target,1.264567,0.9607075,0.5313874,350.9854,268.884,119.511,
0,1643464367867,RightHand_Target,1.258834,0.9649287,0.5424965,350.9404,269.146,120.2492,
