timestamp;foot;position
1643464368229;LeftFoot;0.02521096
1643464371703;RightFoot;0.1187955
1643464373299;LeftFoot;0.1373057
1643464375164;RightFoot;0.2553824
1643464376064;LeftFoot;0.2704223
1643464377464;RightFoot;0.3887936
1643464378297;LeftFoot;0.4058942
1643464378731;LeftFoot;0.4747585
1643464379437;RightFoot;0.5065457
1643464379629;RightFoot;0.5410109
1643464380397;LeftFoot;0.5514381
1643464380805;LeftFoot;0.6180913
1643464381665;RightFoot;0.6773015
1643464381966;RightFoot;0.6957393
1643464382136;RightFoot;0.6946291
1643464382729;RightFoot;0.7534689
1643464383061;LeftFoot;0.7739983
1643464383131;RightFoot;0.7743451
1643464383328;LeftFoot;0.7745003
1643464383728;RightFoot;0.8261191
1643464384061;RightFoot;0.8512666
1643464384260;RightFoot;0.8519821
1643464384561;RightFoot;0.852254
1643464384632;LeftFoot;0.8786959
1643464384693;RightFoot;0.9017886
1643464384860;RightFoot;0.9352595
1643464385128;RightFoot;0.9339992
1643464385227;LeftFoot;0.9340816
1643464386194;LeftFoot;0.06496602
1643464390802;RightFoot;0.03037411
1643464391536;RightFoot;0.03061056
1643464398666;LeftFoot;0.08331859
1643464398732;RightFoot;0.08322519
1643464399476;RightFoot;0.08370107
1643464400134;RightFoot;0.1116537
1643464400436;RightFoot;0.1534002
1643464400765;LeftFoot;0.1516089
1643464401730;LeftFoot;0.2081509
1643464402742;RightFoot;0.2497491
1643464403838;LeftFoot;0.3089901
1643464403967;LeftFoot;0.3293956
1643464404797;RightFoot;0.3383352
1643464404940;RightFoot;0.3665903
1643464405997;LeftFoot;0.4649438
1643464406262;LeftFoot;0.4882336
1643464406929;RightFoot;0.540124
1643464407762;LeftFoot;0.5534798
1643464407964;LeftFoot;0.5790879
1643464410127;LeftFoot;0.7186938
1643464411861;LeftFoot;0.8252746
1643464412094;LeftFoot;0.8746619
1643464420976;RightFoot;0.01772776
1643464425477;LeftFoot;0.03390918
1643464427044;RightFoot;0.1269456
1643464431975;LeftFoot;0.1530029
1643464433442;RightFoot;0.271936
1643464434140;LeftFoot;0.283813
1643464435373;RightFoot;0.412814
1643464436139;LeftFoot;0.4226884
1643464436471;LeftFoot;0.4884741
1643464436574;LeftFoot;0.4904706
1643464437372;RightFoot;0.5539611
1643464438071;LeftFoot;0.5667729
1643464438606;LeftFoot;0.6360015
1643464438671;LeftFoot;0.6354743
1643464439540;RightFoot;0.7125298
1643464439705;RightFoot;0.7127661
1643464440072;LeftFoot;0.7316513
1643464440439;LeftFoot;0.7962345
1643464441003;RightFoot;0.8480697
1643464441270;RightFoot;0.8822662
1643464441811;LeftFoot;0.8861753
1643464442370;RightFoot;0.9503205
1643464443602;LeftFoot;0.9502777
1643464444137;LeftFoot;0.04827106
1643464462245;LeftFoot;0.0832684
1643464462477;RightFoot;0.08335465
1643464463540;RightFoot;0.08359635
1643464464274;RightFoot;0.1294401
1643464464475;RightFoot;0.1535369
1643464464813;LeftFoot;0.151154
1643464465693;RightFoot;0.1517283
1643464465868;LeftFoot;0.1515263
1643464465905;RightFoot;0.1527568
1643464468338;LeftFoot;0.1902963
1643464468689;LeftFoot;0.2075139
1643464468810;LeftFoot;0.2074981
1643464469032;RightFoot;0.2079629
1643464470878;RightFoot;0.2080121
1643464471019;RightFoot;0.2167382
1643464471391;RightFoot;0.272931
1643464473404;LeftFoot;0.3248324
1643464473512;LeftFoot;0.3278314
1643464474929;RightFoot;0.3605103
1643464476204;LeftFoot;0.4532129
1643464476406;LeftFoot;0.4739293
1643464476473;LeftFoot;0.4730937
1643464477046;RightFoot;0.4726728
1643464478405;LeftFoot;0.5936301
1643464478638;LeftFoot;0.6083893
1643464479385;RightFoot;0.6391819
1643464480871;LeftFoot;0.7154756
1643464481836;RightFoot;0.7711839
1643464483108;LeftFoot;0.8682061
