pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643471109444,Pelvis_Target,1.662979,1.009375,0.1507328,347.5698,156.2792,21.59871,
0,1643471109549,Pelvis_Target,1.662735,1.009808,0.1511072,347.5483,156.1836,21.64071,
0,1643471109666,Pelvis_Target,1.662394,1.010091,0.1520242,347.5791,156.0946,21.84127,
0,1643471109769,Pelvis_Target,1.662694,1.010113,0.152992,347.598,156.0941,21.87251,
0,1643471109880,Pelvis_Target,1.662421,1.010198,0.1538384,347.5164,155.8341,21.86534,
0,1643471109991,Pelvis_Target,1.662772,1.010621,0.1550084,347.5408,155.4167,21.96655,
0,1643471110104,Pelvis_Target,1.661675,1.010642,0.155926,347.4221,154.6414,21.87503,
0,1643471110227,Pelvis_Target,1.660411,1.009345,0.1573593,347.2219,153.6481,21.56096,
0,1643471110352,Pelvis_Target,1.658317,1.008113,0.1566023,346.7724,151.7948,21.41274,
0,1643471110459,Pelvis_Target,1.655104,1.008139,0.1559806,346.8693,149.9066,21.70165,
0,1643471110570,Pelvis_Target,1.652849,1.007646,0.1553321,346.6844,148.3812,21.58342,
0,1643471110681,Pelvis_Target,1.649089,1.006804,0.1525783,346.3465,146.1516,21.55083,
0,1643471110792,Pelvis_Target,1.645995,1.006136,0.1503342,346.1207,144.1586,21.49694,
0,1643471110903,Pelvis_Target,1.644354,1.005427,0.1485049,345.8495,143.0154,21.4211,
0,1643471111014,Pelvis_Target,1.642507,1.005678,0.1486134,345.9185,142.7457,21.39343,
0,1643471111126,Pelvis_Target,1.640232,1.005979,0.1494995,345.958,143.1345,21.4026,
0,1643471111236,Pelvis_Target,1.639492,1.006925,0.1503132,346.135,143.9802,21.58218,
0,1643471111349,Pelvis_Target,1.638463,1.007215,0.149534,346.2488,144.9931,21.55781,
0,1643471111459,Pelvis_Target,1.638712,1.007802,0.1491683,346.4297,146.692,21.62422,
0,1643471111573,Pelvis_Target,1.638315,1.008468,0.1493852,346.6545,148.4045,21.75397,
0,1643471111682,Pelvis_Target,1.638262,1.008442,0.1495631,346.6546,149.8482,21.66972,
0,1643471111815,Pelvis_Target,1.638914,1.008753,0.1485795,346.8684,151.2087,21.6753,
0,1643471111949,Pelvis_Target,1.64104,1.007137,0.1465042,346.913,152.0122,21.57631,
0,1643471112083,Pelvis_Target,1.643077,1.007973,0.1456149,346.9824,152.222,21.66369,
0,1643471112215,Pelvis_Target,1.64498,1.00766,0.1449648,347.0459,152.2118,21.60152,
0,1643471112316,Pelvis_Target,1.645681,1.007661,0.1453061,347.0732,152.1802,21.65284,
0,1643471112449,Pelvis_Target,1.6469,1.007785,0.1462543,347.0648,152.1064,21.75488,
0,1643471112560,Pelvis_Target,1.64793,1.007809,0.1472169,347.0621,152.0442,21.74753,
0,1643471112669,Pelvis_Target,1.648338,1.007625,0.1485742,347.044,152.1724,21.69152,
0,1643471112783,Pelvis_Target,1.648708,1.007831,0.1500162,347.0351,152.1583,21.76936,
0,1643471112891,Pelvis_Target,1.648601,1.007967,0.1508407,346.9982,152.1145,21.72854,
0,1643471113009,Pelvis_Target,1.648535,1.007624,0.1513724,346.9728,152.0161,21.69889,
0,1643471113116,Pelvis_Target,1.64858,1.007809,0.1515099,346.9737,152.0543,21.71168,
0,1643471113227,Pelvis_Target,1.648878,1.007875,0.1517829,347.0193,152.0561,21.75236,
0,1643471113337,Pelvis_Target,1.649077,1.007733,0.1518068,347.014,152.095,21.66408,
0,1643471113449,Pelvis_Target,1.649611,1.007853,0.1516521,347.1005,152.0873,21.77243,
0,1643471113558,Pelvis_Target,1.650797,1.00786,0.1519134,347.0732,152.3325,21.66268,
0,1643471113669,Pelvis_Target,1.65075,1.008332,0.1520375,347.169,152.4883,21.82923,
0,1643471113781,Pelvis_Target,1.651045,1.008436,0.1516546,347.2131,152.4675,21.90514,
0,1643471113892,Pelvis_Target,1.651208,1.008181,0.1516755,347.1936,152.5582,21.86234,
0,1643471114002,Pelvis_Target,1.65134,1.008266,0.1511482,347.2147,152.5219,21.8722,
0,1643471114114,Pelvis_Target,1.65133,1.008402,0.1504291,347.2851,152.4778,21.93741,
0,1643471114227,Pelvis_Target,1.652082,1.008162,0.1500936,347.2606,152.4773,21.88388,
0,1643471114335,Pelvis_Target,1.65276,1.008193,0.1497226,347.3082,152.5019,21.909,
0,1643471114473,Pelvis_Target,1.65336,1.008137,0.1494236,347.3414,152.5559,21.94407,
0,1643471114556,Pelvis_Target,1.653729,1.007776,0.1490851,347.3066,152.6184,21.84573,
0,1643471114682,Pelvis_Target,1.653854,1.008481,0.1486116,347.4293,152.6209,22.02185,
0,1643471114815,Pelvis_Target,1.654091,1.008534,0.148116,347.3909,152.6296,21.86501,
0,1643471114950,Pelvis_Target,1.65388,1.008655,0.1476115,347.461,152.6048,21.99534,
0,1643471115082,Pelvis_Target,1.654138,1.008321,0.1468402,347.4498,152.977,21.91649,
0,1643471115193,Pelvis_Target,1.654907,1.008039,0.1462591,347.3917,153.2465,21.80595,
0,1643471115303,Pelvis_Target,1.655127,1.007868,0.1455475,347.3552,153.4022,21.77455,
0,1643471115415,Pelvis_Target,1.655258,1.007785,0.1449329,347.4384,153.4177,21.79773,
0,1643471115532,Pelvis_Target,1.65592,1.007738,0.1439422,347.4503,152.9244,21.80111,
0,1643471115641,Pelvis_Target,1.65632,1.007868,0.143923,347.4576,152.9135,21.79801,
0,1643471115753,Pelvis_Target,1.656775,1.007459,0.1436739,347.4013,152.83,21.77048,
0,1643471115865,Pelvis_Target,1.65672,1.007779,0.1442464,347.4498,152.7378,21.89541,
0,1643471115985,Pelvis_Target,1.656852,1.008297,0.1455536,347.4383,152.7825,22.03542,
0,1643471116096,Pelvis_Target,1.656727,1.008607,0.14705,347.4712,152.9351,22.10738,
0,1643471116195,Pelvis_Target,1.656896,1.008537,0.1487199,347.3881,152.9919,22.12553,
0,1643471116328,Pelvis_Target,1.656605,1.008942,0.1505565,347.3637,152.9932,22.18935,
0,1643471116428,Pelvis_Target,1.65609,1.008671,0.1520426,347.3179,153.119,22.13555,
0,1643471116530,Pelvis_Target,1.655797,1.008826,0.1529975,347.3133,153.0174,22.17087,
0,1643471116631,Pelvis_Target,1.655546,1.008661,0.1536772,347.2429,152.9364,22.11682,
0,1643471116764,Pelvis_Target,1.655136,1.008511,0.1541335,347.2133,153.0152,22.08475,
0,1643471116864,Pelvis_Target,1.654826,1.00844,0.1545233,347.1232,152.9256,22.0277,
0,1643471116997,Pelvis_Target,1.654471,1.008671,0.1549139,347.116,152.7626,22.03024,
0,1643471117131,Pelvis_Target,1.654104,1.008412,0.1552931,347.0792,152.8689,21.94583,
0,1643471117264,Pelvis_Target,1.653761,1.008894,0.1557283,347.0925,152.8296,21.96604,
0,1643471117398,Pelvis_Target,1.653458,1.008651,0.1554758,347.0429,152.7739,21.93064,
0,1643471117501,Pelvis_Target,1.653757,1.008771,0.1554307,347.1,152.7635,21.98972,
0,1643471117635,Pelvis_Target,1.654447,1.00874,0.1547532,347.0382,152.7268,21.93454,
0,1643471117741,Pelvis_Target,1.654956,1.008839,0.1546512,347.0583,152.7172,21.98961,
0,1643471117844,Pelvis_Target,1.655608,1.008832,0.1543763,347.0719,152.7098,21.99625,
0,1643471117955,Pelvis_Target,1.655704,1.00897,0.1543875,347.1131,152.7718,22.03237,
0,1643471118068,Pelvis_Target,1.655475,1.009528,0.1540905,347.1979,152.6567,22.19608,
0,1643471118185,Pelvis_Target,1.655798,1.009461,0.1540396,347.2455,152.715,22.28621,
0,1643471118319,Pelvis_Target,1.657277,1.010053,0.1546339,347.3773,152.8489,22.47438,
0,1643471118452,Pelvis_Target,1.659178,1.009879,0.1546936,347.3883,152.8319,22.50817,
0,1643471118582,Pelvis_Target,1.661079,1.010004,0.154792,347.4037,152.8204,22.4797,
0,1643471118697,Pelvis_Target,1.66215,1.009806,0.154685,347.3797,152.7687,22.40302,
0,1643471118816,Pelvis_Target,1.661607,1.011003,0.1541607,347.5136,152.5872,22.70606,
0,1643471118939,Pelvis_Target,1.661146,1.009544,0.1537886,347.4623,152.5797,22.61487,
0,1643471119072,Pelvis_Target,1.660816,1.010343,0.1534323,347.5114,152.6436,22.64215,
0,1643471119207,Pelvis_Target,1.660518,1.010271,0.1527814,347.5014,152.6452,22.66621,
0,1643471119340,Pelvis_Target,1.660302,1.010319,0.1529125,347.5226,152.7667,22.63838,
0,1643471119471,Pelvis_Target,1.660239,1.010209,0.153626,347.5513,152.959,22.67786,
