timestamp;foot;position
1643472534350;RightFoot;0.04211413
1643472534412;RightFoot;0.04051193
1643472535106;RightFoot;0.04037027
1643472535423;RightFoot;0.0403145
1643472535726;RightFoot;0.04031691
1643472536009;RightFoot;0.04034286
1643472536312;RightFoot;0.08870208
1643472536478;LeftFoot;0.09504187
1643472537112;LeftFoot;0.09527199
1643472537313;LeftFoot;0.09557059
1643472538453;LeftFoot;0.09580287
1643472538523;LeftFoot;0.09574782
1643472539379;RightFoot;0.1292487
1643472541678;LeftFoot;0.2222631
1643472541812;RightFoot;0.2225806
1643472542517;LeftFoot;0.2239006
1643472544843;RightFoot;0.2724869
1643472545977;LeftFoot;0.3433873
1643472548175;RightFoot;0.4013999
1643472549011;LeftFoot;0.4252903
1643472550909;RightFoot;0.5006526
1643472551944;LeftFoot;0.5286493
1643472553677;LeftFoot;0.5834273
1643472556141;RightFoot;0.6282041
1643472556275;RightFoot;0.6575344
1643472557042;LeftFoot;0.6874371
1643472559240;RightFoot;0.7593723
1643472560108;LeftFoot;0.7721497
1643472563205;RightFoot;0.8498005
1643472564173;LeftFoot;0.892818
1643472568523;RightFoot;-0.02200913
1643472570083;LeftFoot;0.07150835
1643472579252;RightFoot;0.1291295
1643472581911;LeftFoot;0.1940255
1643472584144;RightFoot;0.2650009
1643472585342;LeftFoot;0.3431095
1643472587076;RightFoot;0.4034962
1643472588640;LeftFoot;0.4476657
1643472590075;RightFoot;0.5288693
1643472591875;LeftFoot;0.591442
1643472594473;RightFoot;0.6361604
1643472595773;LeftFoot;0.7164836
1643472595839;LeftFoot;0.7260036
1643472597773;RightFoot;0.7608809
1643472599439;LeftFoot;0.8081496
1643472599738;LeftFoot;0.856352
1643472601704;RightFoot;0.8722031
1643472601804;RightFoot;0.907234
1643472602072;RightFoot;0.9257953
1643472602750;LeftFoot;0.950087
1643472603029;LeftFoot;0.07470305
1643472604605;LeftFoot;0.07631898
1643472605205;LeftFoot;0.0765648
1643472606873;LeftFoot;0.07725925
1643472609976;LeftFoot;0.007272824
1643472610072;LeftFoot;0.007420694
1643472618596;LeftFoot;0.03696562
1643472618791;LeftFoot;0.03553375
1643472618925;LeftFoot;0.03692087
1643472619443;LeftFoot;0.03545502
1643472619545;LeftFoot;0.03568833
1643472619645;LeftFoot;0.03568166
1643472621841;RightFoot;0.1019648
1643472625778;LeftFoot;0.1202421
1643472628775;RightFoot;0.2184522
1643472629808;LeftFoot;0.2485941
1643472629907;LeftFoot;0.2682507
1643472632207;RightFoot;0.3069295
1643472634738;LeftFoot;0.3921924
1643472636206;RightFoot;0.4495207
1643472639672;LeftFoot;0.489923
1643472642504;RightFoot;0.5584258
1643472643606;LeftFoot;0.5927274
1643472645904;RightFoot;0.6715126
1643472648404;LeftFoot;0.7154422
1643472649438;RightFoot;0.802193
1643472651769;LeftFoot;0.8171728
1643472654074;LeftFoot;0.8814322
1643472654521;RightFoot;0.9826413
1643472654569;RightFoot;0.9821748
1643472660437;RightFoot;0.05943775
1643472665558;LeftFoot;0.06557178
1643472667507;RightFoot;0.1395391
1643472669740;LeftFoot;0.1986129
1643472671707;RightFoot;0.2554561
1643472673406;LeftFoot;0.2944053
1643472675605;RightFoot;0.3701068
1643472676972;LeftFoot;0.4255263
1643472678803;RightFoot;0.4915429
1643472679938;LeftFoot;0.5469366
1643472688870;LeftFoot;0.5522372
1643472694636;LeftFoot;0.6800663
1643472696937;RightFoot;0.7302628
1643472698103;LeftFoot;0.8051546
1643472698171;LeftFoot;0.8262674
1643472700068;RightFoot;0.8648357
1643472702533;LeftFoot;0.9519438
1643472702636;LeftFoot;0.9701976
1643472702736;LeftFoot;0.9638606
1643472704523;RightFoot;0.9647846
1643472704523;LeftFoot;0.9647846
1643472707027;LeftFoot;0.9787637
