pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643470751526,RightFoot_Target,1.594983,0.1921249,0.1991966,0.9310703,3.969099,355.1328,
0,1643470751649,RightFoot_Target,1.595531,0.1923042,0.1993776,1.044506,3.970701,355.057,
0,1643470751749,RightFoot_Target,1.595625,0.1919751,0.199493,1.094517,3.961807,355.1003,
0,1643470751850,RightFoot_Target,1.595581,0.1918896,0.1994626,1.090675,3.934724,355.1158,
0,1643470751982,RightFoot_Target,1.595773,0.1913793,0.199583,1.251903,3.855348,355.1969,
0,1643470752088,RightFoot_Target,1.595547,0.1907813,0.1995503,1.17056,3.88421,355.4137,
0,1643470752217,RightFoot_Target,1.595497,0.1904131,0.1991178,1.091234,3.893475,355.5499,
0,1643470752316,RightFoot_Target,1.595774,0.1901067,0.1993391,0.9617187,3.928258,355.5825,
0,1643470752451,RightFoot_Target,1.595977,0.1901809,0.1992711,0.8144991,3.947635,355.5649,
0,1643470752585,RightFoot_Target,1.596112,0.1899613,0.199388,0.7976215,3.961972,355.658,
0,1643470752716,RightFoot_Target,1.59633,0.1901177,0.1997314,0.9585071,3.959293,355.6349,
0,1643470752849,RightFoot_Target,1.59612,0.1892773,0.199796,1.057524,3.950774,355.7921,
0,1643470752982,RightFoot_Target,1.596025,0.1891988,0.1994637,0.9888193,3.957262,356.0285,
0,1643470753082,RightFoot_Target,1.595458,0.1887318,0.1994886,0.9061042,3.98763,356.1057,
0,1643470753183,RightFoot_Target,1.595375,0.1888154,0.1993263,0.8832459,3.981878,356.1438,
0,1643470753283,RightFoot_Target,1.595899,0.1882916,0.1994327,0.9016501,4.013991,356.26,
0,1643470753384,RightFoot_Target,1.595745,0.1883245,0.1994222,0.8409071,4.025609,356.338,
0,1643470753518,RightFoot_Target,1.595429,0.1881127,0.1992338,0.7737022,4.068851,356.4935,
0,1643470753629,RightFoot_Target,1.595486,0.1881034,0.1990587,0.7461549,4.043435,356.6368,
0,1643470753737,RightFoot_Target,1.595559,0.1877834,0.1990904,0.7585133,4.046322,356.6942,
0,1643470753850,RightFoot_Target,1.59645,0.1878281,0.199828,0.755163,4.053741,356.7089,
0,1643470753957,RightFoot_Target,1.596221,0.1871766,0.1994882,0.7995059,4.040195,356.7189,
0,1643470754069,RightFoot_Target,1.59613,0.1866884,0.1993042,0.8089176,3.998386,356.6949,
0,1643470754173,RightFoot_Target,1.596261,0.1860433,0.1992752,0.8745584,4.01374,356.7846,
0,1643470754274,RightFoot_Target,1.596099,0.1865481,0.1995829,1.00824,4.000183,356.8495,
0,1643470754405,RightFoot_Target,1.596207,0.1863756,0.1996451,1.127769,3.986699,356.8181,
0,1643470754507,RightFoot_Target,1.596892,0.1867463,0.2001801,1.143409,4.013348,356.9001,
0,1643470754606,RightFoot_Target,1.596789,0.1865333,0.1998079,1.176887,4.007445,356.8399,
