unixTime,lslTime,EDA
1643480073589,34259.1138181,4.3
1643480073589,34259.1138206,4.3
1643480073589,34259.1138226,4.3
1643480073589,34259.1138246,4.3
1643480073589,34259.1138325,4.3
1643480073589,34259.1138351,4.3
1643480073589,34259.113837,4.3
1643480073589,34259.1138389,4.27
1643480073589,34259.1138412,4.27
1643480073589,34259.1138431,4.27
1643480073609,34259.113845,4.27
1643480073609,34259.113847,4.27
1643480073609,34259.1138489,4.27
1643480073609,34259.2897317,4.27
1643480073609,34259.2897537,4.27
1643480073609,34259.2898426,4.27
1643480073609,34259.2898625,4.27
1643480073609,34259.2901591,4.27
1643480073609,34259.2901635,4.27
1643480073609,34259.2901658,4.27
1643480073636,34259.290168,4.27
1643480073636,34259.2901702,4.27
1643480073636,34259.2901723,4.27
1643480073636,34259.2901743,4.27
1643480073636,34259.2901763,4.27
1643480073636,34259.2901784,4.27
1643480073636,34259.2901804,4.27
1643480073636,34259.2901824,4.27
1643480073636,34259.4045025,4.27
1643480073636,34259.4046951,4.27
1643480073655,34259.4047007,4.27
1643480073655,34259.4047364,4.27
1643480073884,34259.4049267,4.27
1643480073884,34259.404934,4.27
1643480073884,34259.4049378,4.27
1643480073884,34259.4049402,4.27
1643480073884,34259.4049436,4.27
1643480073884,34259.4049483,4.27
1643480073884,34259.4049506,4.27
1643480073884,34259.404954,4.27
1643480073884,34259.4049562,4.27
1643480073884,34259.4049941,4.27
1643480073915,34259.404997,4.27
1643480073915,34259.5616287,4.27
1643480073915,34259.5620998,4.27
1643480073915,34259.5621047,4.27
1643480073915,34259.562107,4.27
1643480073915,34259.5621094,4.27
1643480073915,34259.5621114,4.27
1643480073915,34259.5621135,4.27
1643480073915,34259.5621157,4.27
1643480073915,34259.5621177,4.25
1643480073952,34259.5621196,4.27
1643480073952,34259.5621218,4.27
1643480073952,34259.5621238,4.27
1643480073952,34259.5621258,4.25
1643480073952,34259.5621278,4.25
1643480073952,34259.5621297,4.27
1643480073952,34259.7235824,4.25
1643480073952,34259.7237794,4.25
1643480073952,34259.7237885,4.25
1643480073952,34259.7238619,4.25
1643480073983,34259.7238654,4.25
1643480073983,34259.7238676,4.25
1643480074184,34259.7238697,4.25
1643480074184,34259.7238716,4.25
1643480074184,34259.7238739,4.25
1643480074184,34259.7238758,4.25
1643480074184,34259.7238777,4.25
1643480074184,34259.7238797,4.25
1643480074184,34259.7238816,4.25
1643480074184,34259.7238835,4.25
1643480074184,34259.7238854,4.25
1643480074184,34259.8540142,4.25
1643480074216,34259.8540221,4.25
1643480074216,34259.8540246,4.22
1643480074216,34259.854027,4.22
1643480074216,34259.8540293,4.22
1643480074216,34259.8540313,4.22
1643480074216,34259.8540334,4.22
1643480074216,34259.8540356,4.22
1643480074216,34259.8540377,4.22
1643480074216,34259.8540397,4.22
1643480074216,34259.8540417,4.22
1643480074250,34259.8540437,4.22
1643480074250,34259.8540456,4.22
1643480074250,34259.8540476,4.22
1643480074250,34259.8540497,4.2
1643480074250,34260.0056472,4.22
1643480074250,34260.0059204,4.22
1643480074250,34260.0059245,4.22
1643480074250,34260.0059273,4.2
1643480074250,34260.0059294,4.2
1643480074250,34260.0059315,4.2
1643480074282,34260.0059337,4.2
1643480074282,34260.0059362,4.2
1643480074483,34260.0059386,4.2
1643480074483,34260.0059405,4.2
1643480074483,34260.0059427,4.2
1643480074483,34260.0059449,4.2
1643480074483,34260.0059469,4.2
1643480074483,34260.0059489,4.2
1643480074483,34260.0059508,4.2
1643480074483,34260.1754564,4.2
1643480074483,34260.1754657,4.2
1643480074483,34260.1754698,4.2
1643480074516,34260.1754737,4.2
1643480074516,34260.1756507,4.2
1643480074516,34260.1756586,4.2
1643480074516,34260.1756613,4.2
1643480074516,34260.1756655,4.17
1643480074516,34260.1757015,4.17
1643480074516,34260.1757095,4.17
1643480074516,34260.175714,4.17
1643480074516,34260.1757183,4.17
1643480074516,34260.175722,4.17
1643480074549,34260.1757489,4.17
1643480074549,34260.1757599,4.17
1643480074549,34260.3202873,4.17
1643480074549,34260.3204756,4.17
1643480074549,34260.3204865,4.17
1643480074549,34260.3204893,4.17
1643480074549,34260.3204916,4.17
1643480074549,34260.3204939,4.17
1643480074549,34260.3204959,4.17
1643480074549,34260.3204979,4.17
1643480074572,34260.3205,4.17
1643480074572,34260.3205019,4.17
1643480074794,34260.3205039,4.17
1643480074794,34260.3205059,4.17
1643480074794,34260.3205078,4.17
1643480074794,34260.3205097,4.17
1643480074794,34260.3205116,4.17
1643480074794,34260.4558175,4.17
1643480074794,34260.456235,4.17
1643480074794,34260.4562398,4.17
1643480074794,34260.4562439,4.17
1643480074794,34260.4562478,4.17
1643480074817,34260.4563268,4.17
1643480074817,34260.4563329,4.17
1643480074817,34260.456337,4.17
1643480074817,34260.456399,4.17
1643480074817,34260.4564034,4.2
1643480074817,34260.4564552,4.2
1643480074817,34260.4564592,4.2
1643480074817,34260.4564629,4.2
1643480074817,34260.4565416,4.2
1643480074817,34260.4565439,4.2
1643480074841,34260.621693,4.2
1643480074841,34260.6217028,4.2
1643480074841,34260.6217064,4.2
1643480074841,34260.6217088,4.2
1643480074841,34260.621711,4.2
1643480074841,34260.6217141,4.22
1643480074841,34260.6219215,4.22
1643480074841,34260.6219269,4.22
1643480074841,34260.6219309,4.22
1643480074841,34260.6219341,4.22
1643480074860,34260.6219365,4.22
1643480074860,34260.6219386,4.22
1643480075082,34260.6219407,4.22
1643480075082,34260.6219427,4.22
1643480075082,34260.6219446,4.25
1643480075082,34260.7705116,4.22
1643480075082,34260.7705199,4.25
1643480075082,34260.770523,4.25
1643480075082,34260.770526,4.25
1643480075082,34260.7705283,4.25
1643480075082,34260.7705303,4.25
1643480075082,34260.7705324,4.25
1643480075106,34260.7705345,4.25
1643480075106,34260.7705365,4.25
1643480075106,34260.7705384,4.25
1643480075106,34260.7705405,4.25
1643480075106,34260.7705424,4.25
1643480075106,34260.7705444,4.25
1643480075106,34260.7705463,4.25
1643480075106,34260.7705483,4.25
1643480075106,34260.9057699,4.27
1643480075106,34260.9059593,4.27
1643480075126,34260.9059656,4.27
1643480075126,34260.90597,4.27
1643480075126,34260.9060675,4.27
1643480075126,34260.9060709,4.27
1643480075126,34260.9060731,4.27
1643480075126,34260.9060753,4.27
1643480075126,34260.9060774,4.27
1643480075126,34260.9060794,4.27
1643480075126,34260.9060814,4.27
1643480075126,34260.9060836,4.3
1643480075149,34260.9060856,4.3
1643480075149,34260.9060876,4.3
1643480075529,34260.9060896,4.3
1643480075529,34261.0645062,4.3
1643480075529,34261.0645147,4.3
1643480075529,34261.0645184,4.3
1643480075529,34261.0649402,4.32
1643480075529,34261.0651567,4.32
1643480075529,34261.0651607,4.32
1643480075529,34261.0651633,4.32
1643480075529,34261.0651675,4.32
1643480075529,34261.0651717,4.35
1643480075550,34261.0651754,4.35
1643480075550,34261.0651794,4.35
1643480075550,34261.0651834,4.35
1643480075550,34261.0651994,4.35
1643480075550,34261.0652202,4.35
1643480075550,34261.065226,4.35
1643480075550,34261.2344823,4.35
1643480075550,34261.2346674,4.37
1643480075550,34261.2346735,4.37
1643480075550,34261.2346761,4.37
1643480075572,34261.2350758,4.37
1643480075572,34261.2351568,4.37
1643480075572,34261.2352199,4.37
1643480075572,34261.2352579,4.37
1643480075572,34261.2352942,4.37
1643480075572,34261.2353009,4.37
1643480075572,34261.2353033,4.37
1643480075572,34261.2353054,4.37
1643480075572,34261.2353075,4.37
1643480075572,34261.2353099,4.37
1643480075593,34261.2353118,4.37
1643480075593,34261.367782,4.37
1643480075839,34261.3679464,4.37
1643480075839,34261.3679972,4.39
1643480075839,34261.3680017,4.39
1643480075839,34261.3680064,4.39
1643480075839,34261.368009,4.39
1643480075839,34261.3680127,4.39
1643480075839,34261.3680167,4.39
1643480075839,34261.3680192,4.39
1643480075839,34261.3680228,4.39
1643480075839,34261.3680268,4.42
1643480075860,34261.3680292,4.42
1643480075860,34261.3680329,4.42
1643480075860,34261.3680352,4.42
1643480075860,34261.3680388,4.42
1643480075860,34261.5045994,4.42
1643480075860,34261.5052244,4.42
1643480075860,34261.5053189,4.42
1643480075860,34261.5053533,4.42
1643480075860,34261.505392,4.44
1643480075860,34261.5054159,4.42
1643480075882,34261.5054993,4.44
1643480075882,34261.505522,4.44
1643480075882,34261.5055595,4.44
1643480075882,34261.5056526,4.44
1643480075882,34261.5056696,4.44
1643480075882,34261.505692,4.44
1643480075882,34261.5056957,4.44
1643480075882,34261.5056981,4.42
1643480075882,34261.5057002,4.44
1643480075882,34261.6714085,4.44
1643480075905,34261.6714162,4.44
1643480075905,34261.6714188,4.44
1643480076128,34261.6714211,4.44
1643480076128,34261.6714236,4.44
1643480076128,34261.6714258,4.44
1643480076128,34261.671428,4.44
1643480076128,34261.6714303,4.44
1643480076128,34261.6714327,4.42
1643480076128,34261.6714351,4.44
1643480076128,34261.6714373,4.44
1643480076128,34261.6714394,4.44
1643480076128,34261.6714415,4.42
1643480076149,34261.6714436,4.44
1643480076149,34261.6714457,4.44
1643480076149,34261.8058484,4.44
1643480076149,34261.8060172,4.44
1643480076149,34261.806277,4.44
1643480076149,34261.8062831,4.44
