pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643480073634,Head_Target,1.69103,1.688237,0.1345192,351.0114,185.2461,256.1445,
0,1643480073732,Head_Target,1.692566,1.688189,0.1325788,350.8862,186.8858,256.1952,
0,1643480073850,Head_Target,1.693472,1.687883,0.1294009,351.2164,187.9955,256.2254,
0,1643480073983,Head_Target,1.694647,1.688154,0.1264923,351.4928,188.5399,256.2905,
0,1643480074116,Head_Target,1.6953,1.688067,0.1244976,351.8634,189.2908,256.1588,
0,1643480074216,Head_Target,1.69559,1.687895,0.1235259,352.0811,189.3981,256.2028,
0,1643480074350,Head_Target,1.696141,1.687814,0.1230931,352.1058,189.1053,256.0487,
0,1643480074450,Head_Target,1.696159,1.687921,0.1223882,352.1511,189.1016,256.0214,
0,1643480074572,Head_Target,1.695666,1.687687,0.1221128,352.2407,188.8681,256.0045,
0,1643480074682,Head_Target,1.694561,1.687554,0.1222743,352.3604,188.9152,255.9505,
0,1643480074794,Head_Target,1.693443,1.687696,0.1225309,352.3109,188.964,255.9347,
0,1643480074905,Head_Target,1.691745,1.687478,0.1231965,352.3828,189.0159,255.9382,
0,1643480075016,Head_Target,1.690628,1.68741,0.1238721,352.3415,188.8371,256.0529,
0,1643480075127,Head_Target,1.689535,1.687508,0.1240655,352.3153,188.8398,256.0615,
0,1643480075238,Head_Target,1.688285,1.68731,0.1245191,352.3811,188.8215,256.1169,
0,1643480075349,Head_Target,1.687501,1.687338,0.1243953,352.4871,189.1516,256.042,
0,1643480075462,Head_Target,1.686894,1.687378,0.123895,352.6802,189.851,255.9407,
0,1643480075572,Head_Target,1.686613,1.687409,0.1229593,352.8343,190.524,255.9916,
0,1643480075682,Head_Target,1.686447,1.687509,0.1215116,352.9932,191.0166,255.9435,
0,1643480075794,Head_Target,1.686449,1.687446,0.1201553,353.0621,191.3084,255.946,
0,1643480075905,Head_Target,1.686315,1.687364,0.118953,353.0939,191.4637,255.871,
0,1643480076015,Head_Target,1.686129,1.687357,0.1187585,353.2121,191.2222,255.7058,
0,1643480076128,Head_Target,1.685916,1.687484,0.1193963,353.2411,190.7666,255.4615,
0,1643480076228,Head_Target,1.686249,1.68763,0.120121,353.2869,190.176,255.2531,
0,1643480076363,Head_Target,1.687534,1.687692,0.1206252,353.3617,189.3071,255.1747,
0,1643480076494,Head_Target,1.688744,1.687716,0.1212471,353.4212,188.8233,255.0539,
0,1643480076627,Head_Target,1.689596,1.687798,0.1215992,353.4615,188.5111,254.8006,
0,1643480076764,Head_Target,1.690876,1.687909,0.1221312,353.5132,188.2331,254.6603,
0,1643480076893,Head_Target,1.692047,1.687942,0.1227647,353.4682,188.4962,254.5647,
0,1643480077005,Head_Target,1.692759,1.687919,0.1235584,353.4116,188.7624,254.4046,
0,1643480077118,Head_Target,1.693474,1.687915,0.124195,353.4355,188.8825,254.2147,
0,1643480077227,Head_Target,1.693943,1.687792,0.1250175,353.3967,188.9903,254.0067,
0,1643480077339,Head_Target,1.69437,1.687904,0.1261541,353.4297,188.9905,253.7177,
0,1643480077449,Head_Target,1.694837,1.687869,0.1269042,353.3526,188.8777,253.5653,
0,1643480077561,Head_Target,1.695792,1.687705,0.127577,353.2874,188.7542,253.466,
0,1643480077672,Head_Target,1.69658,1.687692,0.1280077,353.2927,188.8103,253.4017,
0,1643480077782,Head_Target,1.696449,1.687442,0.1282946,353.4089,189.949,253.0829,
0,1643480077893,Head_Target,1.69542,1.686944,0.1275866,354.0244,194.055,252.777,
0,1643480078005,Head_Target,1.693212,1.686756,0.1237364,355.4154,202.1856,252.4143,
0,1643480078116,Head_Target,1.692298,1.686788,0.1217179,356.1624,210.3544,252.2699,
0,1643480078249,Head_Target,1.692821,1.687067,0.1197218,356.3722,219.8373,252.7529,
0,1643480078350,Head_Target,1.692674,1.686923,0.1183963,356.5669,226.4651,252.8444,
0,1643480078482,Head_Target,1.691832,1.686745,0.1168763,357.007,235.0269,253.2087,
0,1643480078582,Head_Target,1.690522,1.685898,0.115824,357.4028,241.1291,253.7542,
0,1643480078683,Head_Target,1.689662,1.685087,0.1149914,357.6277,245.8471,254.0552,
0,1643480078815,Head_Target,1.688334,1.68532,0.1151599,357.4037,249.8929,254.3511,
0,1643480078949,Head_Target,1.68597,1.684912,0.117901,357.4142,251.8596,254.1386,
0,1643480079060,Head_Target,1.682804,1.683833,0.1202115,357.5986,254.6086,253.6312,
0,1643480079171,Head_Target,1.679458,1.68477,0.1178218,359.1369,257.2847,253.6018,
0,1643480079281,Head_Target,1.680548,1.685606,0.1164582,358.1507,257.5923,253.4234,
0,1643480079392,Head_Target,1.682528,1.686324,0.1171031,357.2188,253.0237,252.5174,
