timestamp;foot;position
1643478307226;LeftFoot;0.0335947
1643478307779;LeftFoot;0.0321352
1643478308012;LeftFoot;0.04289854
1643478308936;LeftFoot;0.0435239
1643478309235;LeftFoot;0.04360441
1643478309891;LeftFoot;0.04494294
1643478310179;RightFoot;0.1000952
1643478310290;RightFoot;0.09730928
1643478310334;RightFoot;0.09613112
1643478310445;RightFoot;0.09629738
1643478310506;LeftFoot;0.09832453
1643478310546;RightFoot;0.09691822
1643478311468;LeftFoot;0.1565734
1643478312592;RightFoot;0.224017
1643478313737;LeftFoot;0.2813118
1643478314846;RightFoot;0.3449119
1643478315835;LeftFoot;0.3976938
1643478316746;RightFoot;0.4664629
1643478317727;LeftFoot;0.5118233
1643478318635;RightFoot;0.5787382
1643478318768;RightFoot;0.5900465
1643478319661;LeftFoot;0.65315
1643478320100;LeftFoot;0.6486671
1643478320468;RightFoot;0.7216657
1643478320636;RightFoot;0.7240161
1643478321525;LeftFoot;0.797132
1643478321824;LeftFoot;0.7926657
1643478322191;RightFoot;0.8152572
1643478322481;RightFoot;0.8772464
1643478323105;LeftFoot;0.8893766
1643478323391;LeftFoot;0.9573825
1643478323744;LeftFoot;0.9545596
1643478324011;RightFoot;0.9909886
1643478324482;LeftFoot;-0.0549804
1643478330078;RightFoot;0.03767097
1643478331722;LeftFoot;0.1008089
1643478332166;RightFoot;0.09895527
1643478332233;LeftFoot;0.09911227
1643478332568;LeftFoot;0.1759269
1643478332702;RightFoot;0.1701556
1643478333515;LeftFoot;0.2383354
1643478333623;LeftFoot;0.2322813
1643478333711;RightFoot;0.2323012
1643478333737;LeftFoot;0.2322534
1643478334069;LeftFoot;0.2322864
1643478334492;RightFoot;0.3061976
1643478334690;RightFoot;0.3050318
1643478334890;RightFoot;0.3050786
1643478335290;LeftFoot;0.3759194
1643478335357;LeftFoot;0.3773931
1643478335555;LeftFoot;0.373782
1643478335605;RightFoot;0.3739274
1643478336245;RightFoot;0.4503171
1643478336912;RightFoot;0.4784391
1643478336912;LeftFoot;0.4784391
1643478337044;LeftFoot;0.5214523
1643478337111;LeftFoot;0.5270302
1643478338112;RightFoot;0.60227
1643478338414;RightFoot;0.6001751
1643478338615;RightFoot;0.6002156
1643478338678;RightFoot;0.6121122
1643478338941;LeftFoot;0.6765848
1643478339875;RightFoot;0.7545485
1643478340122;RightFoot;0.7532804
1643478340500;LeftFoot;0.7764053
1643478340565;LeftFoot;0.8010819
1643478340679;LeftFoot;0.8271465
1643478342033;RightFoot;0.9219928
1643478342366;RightFoot;0.9944772
1643478347822;LeftFoot;0.03264888
1643478348078;LeftFoot;0.03241776
1643478349178;LeftFoot;0.03299324
1643478349710;LeftFoot;0.03325093
1643478349789;LeftFoot;0.03818534
1643478350056;RightFoot;0.1078208
1643478350411;RightFoot;0.101306
1643478350458;RightFoot;0.1011095
1643478350930;LeftFoot;0.1664023
1643478351735;RightFoot;0.2356199
1643478351889;RightFoot;0.2363989
1643478352535;LeftFoot;0.266262
1643478353424;RightFoot;0.3656726
1643478353611;RightFoot;0.3809873
1643478354500;LeftFoot;0.451721
1643478355244;RightFoot;0.5238348
1643478355411;RightFoot;0.5251963
1643478356227;LeftFoot;0.6041967
1643478357089;RightFoot;0.6816332
1643478357159;RightFoot;0.6835342
1643478357311;RightFoot;0.6817667
1643478357800;RightFoot;0.7456554
1643478357917;LeftFoot;0.7646622
1643478357918;RightFoot;0.7646622
1643478358029;LeftFoot;0.7609991
1643478358245;LeftFoot;0.760107
1643478358714;RightFoot;0.8425
1643478358954;RightFoot;0.8427696
1643478359279;LeftFoot;0.8428321
1643478359610;LeftFoot;0.924573
1643478359711;LeftFoot;0.9249292
1643478359711;RightFoot;0.9249292
1643478360145;LeftFoot;0.9676782
1643478364155;LeftFoot;-0.01065969
1643478364377;LeftFoot;-0.01057446
1643478365088;LeftFoot;-0.01048946
1643478366432;RightFoot;0.1264018
1643478366521;RightFoot;0.1260322
1643478366791;LeftFoot;0.1257293
1643478366988;RightFoot;0.1259907
1643478367500;LeftFoot;0.1915972
1643478367857;RightFoot;0.1878355
1643478367969;LeftFoot;0.1881786
1643478368232;LeftFoot;0.2428711
1643478368454;RightFoot;0.2640585
1643478368498;RightFoot;0.2626909
1643478369280;RightFoot;0.327274
1643478369322;LeftFoot;0.3284365
1643478369609;RightFoot;0.3233659
1643478370059;LeftFoot;0.3880576
1643478370268;RightFoot;0.3972657
1643478371178;LeftFoot;0.4763415
1643478371358;RightFoot;0.4721351
1643478372290;RightFoot;0.5602612
1643478372677;LeftFoot;0.5869479
1643478372979;LeftFoot;0.6393266
1643478373743;RightFoot;0.7223426
1643478373813;RightFoot;0.7243583
1643478373966;RightFoot;0.7242149
1643478374372;LeftFoot;0.778002
1643478374574;LeftFoot;0.8068914
1643478375610;RightFoot;0.9002014
1643478375698;RightFoot;0.9005061
1643478375988;LeftFoot;0.9231014
1643478376054;RightFoot;0.9497247
