pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643480402055,RightHand_Target,1.499986,1.014282,0.3635328,9.24597,264.9765,125.0219,
0,1643480402184,RightHand_Target,1.49736,1.01465,0.3618997,9.117472,264.6683,125.3298,
0,1643480402316,RightHand_Target,1.495475,1.015082,0.3548179,7.027235,264.0857,125.6858,
0,1643480402451,RightHand_Target,1.496283,1.012555,0.3408235,3.901084,263.3972,130.1288,
0,1643480402583,RightHand_Target,1.5029,1.008805,0.320415,1.744861,262.1867,134.544,
0,1643480402683,RightHand_Target,1.517292,1.004953,0.3010579,359.0863,261.5574,139.9983,
0,1643480402783,RightHand_Target,1.538603,1.00051,0.2801337,359.2132,260.3843,145.136,
0,1643480402884,RightHand_Target,1.562511,0.9988161,0.2655258,1.53579,261.2646,142.9832,
0,1643480402985,RightHand_Target,1.581008,0.9981523,0.2614025,5.269358,261.7864,138.2224,
0,1643480403094,RightHand_Target,1.598093,1.000001,0.2683494,7.278007,263.6711,134.2496,
0,1643480403205,RightHand_Target,1.607526,0.9996598,0.2845418,9.12462,264.3928,130.7582,
0,1643480403306,RightHand_Target,1.605054,0.9952062,0.3026621,9.602943,263.8595,125.7582,
0,1643480403439,RightHand_Target,1.600984,0.9985939,0.3305087,6.636369,262.592,124.6886,
0,1643480403540,RightHand_Target,1.604383,1.000858,0.361931,3.287911,263.8489,126.8788,
0,1643480403643,RightHand_Target,1.615875,1.000798,0.3996204,4.01748,264.4875,126.1907,
0,1643480403772,RightHand_Target,1.634493,0.9923537,0.437198,9.522459,265.2628,127.9798,
0,1643480403874,RightHand_Target,1.639207,0.9907698,0.4502398,12.4294,265.6568,128.6379,
0,1643480404008,RightHand_Target,1.631371,0.9887778,0.4533193,7.091963,267.005,127.0342,
0,1643480404142,RightHand_Target,1.618877,0.9845663,0.4477779,7.35836,263.2777,123.7744,
0,1643480404274,RightHand_Target,1.609482,0.9874275,0.4442448,6.975668,259.2086,120.5602,
0,1643480404384,RightHand_Target,1.604441,0.9887425,0.447236,8.282264,260.0069,120.5084,
0,1643480404495,RightHand_Target,1.597413,0.9924637,0.4517531,9.921107,261.3611,120.6573,
0,1643480404617,RightHand_Target,1.581717,0.9922456,0.4594208,9.477553,260.0312,121.5601,
0,1643480404749,RightHand_Target,1.560584,0.9936119,0.4611171,7.840068,260.6079,122.1236,
0,1643480404851,RightHand_Target,1.54395,0.9972622,0.4528638,5.742857,261.6438,122.8052,
0,1643480404983,RightHand_Target,1.527688,0.9953605,0.4444068,4.334186,256.8309,121.1601,
0,1643480405118,RightHand_Target,1.512831,0.9967617,0.4400728,2.752392,258.1281,117.7119,
0,1643480405250,RightHand_Target,1.492368,1.001492,0.432559,2.078707,257.6082,117.6201,
0,1643480405384,RightHand_Target,1.464421,0.9959312,0.4262272,0.5656667,260.3721,121.6598,
0,1643480405484,RightHand_Target,1.441118,0.9919454,0.4094619,353.0345,264.8292,130.3753,
0,1643480405616,RightHand_Target,1.376662,1.012275,0.4000549,329.7788,311.3953,100.389,
0,1643480405739,RightHand_Target,1.325112,1.046938,0.4220266,333.9014,313.0658,65.87915,
0,1643480405849,RightHand_Target,1.25394,1.105767,0.4743847,327.8591,272.9359,73.98508,
0,1643480405960,RightHand_Target,1.176205,1.200421,0.5413642,327.3978,241.9018,100.8768,
0,1643480406071,RightHand_Target,1.133629,1.32706,0.5832952,331.9481,232.4995,133.2707,
0,1643480406205,RightHand_Target,1.134187,1.446812,0.6115531,327.2827,234.9402,161.3017,
0,1643480406337,RightHand_Target,1.119294,1.464517,0.6180456,321.9096,249.8414,169.8918,
0,1643480406440,RightHand_Target,1.085247,1.454564,0.6265568,323.0335,266.402,159.5468,
0,1643480406571,RightHand_Target,1.044128,1.485252,0.6434086,303.0247,302.0043,122.8156,
0,1643480406705,RightHand_Target,0.978173,1.615849,0.5942435,274.4848,167.7858,275.1846,
0,1643480406838,RightHand_Target,0.9061879,1.708755,0.4833351,339.5461,174.5378,282.4091,
0,1643480406939,RightHand_Target,0.8791798,1.749957,0.3951638,17.06803,194.8511,297.7016,
0,1643480407073,RightHand_Target,0.8155532,1.757559,0.3011684,44.10543,172.1252,305.6651,
0,1643480407172,RightHand_Target,0.7570811,1.764623,0.2810568,46.60371,163.942,301.773,
0,1643480407293,RightHand_Target,0.6830608,1.771771,0.2967243,41.71385,162.1142,295.0589,
0,1643480407406,RightHand_Target,0.5982353,1.777964,0.355475,24.78664,167.4734,294.5403,
0,1643480407516,RightHand_Target,0.5048659,1.77176,0.4421564,4.535157,179.8568,295.817,
0,1643480407627,RightHand_Target,0.4151668,1.736515,0.5295877,344.4489,189.4605,289.8129,
0,1643480407727,RightHand_Target,0.3327279,1.65441,0.6039668,321.1268,200.0052,276.8459,
0,1643480407828,RightHand_Target,0.2746901,1.556116,0.6405808,297.5019,224.004,244.839,
0,1643480407929,RightHand_Target,0.2230785,1.463379,0.6425104,295.1289,271.4501,186.4778,
0,1643480408061,RightHand_Target,0.154133,1.466908,0.638739,302.5276,285.7334,161.2203,
0,1643480408194,RightHand_Target,0.06654118,1.635076,0.6089842,292.793,217.4566,236.1279,
0,1643480408326,RightHand_Target,0.003529588,1.800646,0.4642551,336.7984,169.8241,282.2138,
0,1643480408428,RightHand_Target,-0.03898857,1.858845,0.3372385,21.0733,172.7447,300.3994,
0,1643480408560,RightHand_Target,-0.09966656,1.80866,0.2490553,56.59325,159.0031,296.78,
0,1643480408695,RightHand_Target,-0.2158137,1.818344,0.3478954,37.53662,174.99,312.4742,
0,1643480408827,RightHand_Target,-0.3151911,1.793325,0.5441531,352.2025,191.0046,306.5938,
0,1643480408940,RightHand_Target,-0.3974741,1.639246,0.7005513,315.5917,215.9957,284.086,
0,1643480409049,RightHand_Target,-0.4816582,1.421987,0.7170275,283.4768,300.374,195.0699,
0,1643480409160,RightHand_Target,-0.5524144,1.290186,0.6500452,312.9986,330.5462,133.5795,
0,1643480409271,RightHand_Target,-0.6218984,1.289959,0.640337,332.2323,318.1003,102.2343,
0,1643480409382,RightHand_Target,-0.7220516,1.368862,0.6608734,325.8403,302.5393,124.3117,
0,1643480409493,RightHand_Target,-0.8090231,1.42769,0.6589549,304.7638,297.7851,147.6379,
0,1643480409606,RightHand_Target,-0.887555,1.455982,0.6537221,302.091,281.7507,164.3653,
0,1643480409715,RightHand_Target,-0.9579481,1.536562,0.6423777,298.653,256.3425,184.0196,
0,1643480409827,RightHand_Target,-1.016254,1.676963,0.5830628,304.9778,202.4674,248.3145,
0,1643480409938,RightHand_Target,-1.06119,1.788774,0.4815824,341.0784,176.7358,282.6422,
0,1643480410049,RightHand_Target,-1.10475,1.819502,0.3703295,18.2242,175.5929,300.657,
0,1643480410160,RightHand_Target,-1.166035,1.793805,0.3416275,39.10709,183.3494,314.127,
0,1643480410272,RightHand_Target,-1.24123,1.783625,0.4037164,21.4444,178.9306,303.2547,
0,1643480410383,RightHand_Target,-1.333629,1.761885,0.4686132,6.102328,180.8936,304.272,
0,1643480410496,RightHand_Target,-1.438421,1.727777,0.5572535,346.7833,192.5491,300.814,
0,1643480410605,RightHand_Target,-1.538827,1.647888,0.6432066,318.9974,205.2576,282.8206,
0,1643480410715,RightHand_Target,-1.615805,1.530456,0.668192,290.4013,237.8796,235.3198,
0,1643480410827,RightHand_Target,-1.686447,1.446014,0.6665139,295.2207,336.2921,123.3376,
0,1643480410943,RightHand_Target,-1.76526,1.431901,0.6596774,316.8637,345.2471,96.90948,
0,1643480411073,RightHand_Target,-1.886815,1.554265,0.6575911,292.9605,313.7109,132.1606,
0,1643480411205,RightHand_Target,-1.990607,1.698684,0.5811722,301.718,190.5093,254.842,
0,1643480411304,RightHand_Target,-2.051983,1.75223,0.4958641,344.0708,176.0015,279.9252,
0,1643480411405,RightHand_Target,-2.114539,1.779768,0.4342344,19.42079,188.2726,303.4974,
