unixTime,lslTime,ECG
1643479709823,33895.1596754,-37
1643479709823,33895.1596784,-47
1643479709823,33895.1596812,-49
1643479709823,33895.1596842,-47
1643479709823,33895.159687,-49
1643479709823,33895.1596899,-47
1643479709823,33895.1596927,-37
1643479709823,33895.1596955,-28
1643479709823,33895.1596983,-26
1643479709823,33895.1597011,-23
1643479709856,33895.1597039,-18
1643479709856,33895.1597067,-9
1643479709856,33895.1597095,-4
1643479709856,33895.1597124,2
1643479709856,33895.1597152,11
1643479709856,33895.1597181,16
1643479709856,33895.1597209,14
1643479709856,33895.1597238,11
1643479709856,33895.1597267,18
1643479709856,33895.1597298,21
1643479709876,33895.1597326,16
1643479709876,33895.1597357,16
1643479709876,33895.1597386,16
1643479709876,33895.1597414,16
1643479709876,33895.1597442,18
1643479709876,33895.159747,18
1643479709876,33895.1597513,18
1643479709876,33895.1597544,23
1643479709876,33895.15976,33
1643479709876,33895.159764,33
1643479709896,33895.1597681,28
1643479709896,33895.1597712,33
1643479709896,33895.1597743,47
1643479709896,33895.1597795,66
1643479709896,33895.1597826,73
1643479709896,33895.1597876,61
1643479709896,33895.1597906,44
1643479709896,33895.1597934,35
1643479709896,33895.1597964,28
1643479709896,33895.1597992,26
1643479709914,33895.1598021,30
1643479709914,33895.1598049,30
1643479709914,33895.1598081,30
1643479709914,33895.159811,35
1643479709914,33895.1598139,30
1643479709914,33895.1598167,26
1643479709914,33895.1598197,139
1643479709914,33895.1598229,482
1643479709914,33895.1598259,851
1643479709914,33895.1598288,687
1643479709947,33895.1598325,21
1643479709947,33895.1598364,-210
1643479709947,33895.1598394,56
1643479709947,33895.1598425,73
1643479709947,33895.1598461,-61
1643479709947,33895.1598489,-9
1643479709947,33895.1598518,28
1643479709947,33895.1598549,-11
1643479709947,33895.1598578,2
1643479709947,33895.1598827,26
1643479709981,33895.6640407,18
1643479709981,33895.6640519,21
1643479709981,33895.6640556,33
1643479709981,33895.6640587,35
1643479709981,33895.6640617,40
1643479709981,33895.6640646,49
1643479709981,33895.6640675,56
1643479709981,33895.6640704,61
1643479709981,33895.6640732,63
1643479709981,33895.6640761,54
1643479710013,33895.6640789,59
1643479710013,33895.6640819,75
1643479710013,33895.6640848,82
1643479710013,33895.6640877,80
1643479710448,33895.6640906,75
1643479710448,33895.6640935,66
1643479710448,33895.6640964,61
1643479710448,33895.6640993,61
1643479710448,33895.6641021,54
1643479710448,33895.664105,35
1643479710448,33895.6641079,18
1643479710448,33895.6641107,7
1643479710448,33895.6641138,-9
1643479710448,33895.6641167,-30
1643479710480,33895.6641197,-47
1643479710480,33895.6641232,-54
1643479710480,33895.6641261,-54
1643479710480,33895.664129,-49
1643479710480,33895.6641319,-47
1643479710480,33895.6641347,-49
1643479710480,33895.6641376,-47
1643479710480,33895.6641405,-35
1643479710480,33895.6641435,-21
1643479710480,33895.6641464,-14
1643479710513,33895.6641492,-11
1643479710513,33895.6641521,-7
1643479710513,33895.6641549,-7
1643479710513,33895.6641578,-11
1643479710513,33895.6641606,-11
1643479710513,33895.6641636,-4
1643479710513,33895.6641664,4
1643479710513,33895.6641694,2
1643479710513,33895.6641723,-7
1643479710513,33895.6641752,-18
1643479710547,33895.664178,-33
1643479710547,33895.6641809,-33
1643479710547,33895.6641839,-26
1643479710547,33895.6641881,-33
1643479710547,33895.6641925,-47
1643479710547,33895.6641955,-40
1643479710547,33895.6641985,-35
1643479710547,33895.6642013,-42
1643479710547,33895.6642042,-44
1643479710547,33895.664207,-37
1643479710580,33895.6642104,-33
1643479710580,33895.6642133,-30
1643479710580,33895.6642162,-26
1643479710580,33895.6642191,-11
1643479710580,33895.6642219,2
1643479710580,33895.6642248,0
1643479710580,33895.6642277,-4
1643479710580,33895.6642307,-4
1643479710580,33895.6642336,-4
1643479710580,33895.6642365,-9
1643479710616,33895.6642404,-11
1643479710616,33895.6642433,-2
1643479710616,33895.6642471,7
1643479710616,33895.6642502,0
1643479710616,33895.6642533,-16
1643479710616,33895.66426,54
1643479710616,33895.6642634,342
1643479710616,33895.6642685,761
1643479710616,33895.6642717,796
1643479710616,33896.2635457,196
1643479710647,33896.2635582,-255
1643479710647,33896.2635631,-59
1643479710647,33896.2635682,94
1643479710647,33896.2635713,-35
1643479710647,33896.2635743,-40
1643479710647,33896.2635772,21
1643479710647,33896.2635802,-23
1643479710647,33896.2635832,-49
1643479710647,33896.263586,-7
1643479710647,33896.2635889,7
1643479710680,33896.2635919,-7
1643479710680,33896.2635949,4
1643479710680,33896.263599,16
1643479710680,33896.263602,16
1643479710980,33896.2636069,26
1643479710980,33896.2636106,37
1643479710980,33896.2636134,44
1643479710980,33896.2636162,59
1643479710980,33896.263619,68
1643479710980,33896.2636218,70
1643479710980,33896.2636245,80
1643479710980,33896.2636273,92
1643479710980,33896.2636301,96
1643479710980,33896.2636328,99
1643479711018,33896.2636356,99
1643479711018,33896.2636384,89
1643479711018,33896.2636411,85
1643479711018,33896.2636439,82
1643479711018,33896.2636466,68
1643479711018,33896.2636493,44
1643479711018,33896.2636521,18
1643479711018,33896.2636551,0
1643479711018,33896.2636581,-9
1643479711018,33896.263661,-16
1643479711050,33896.2636641,-23
1643479711050,33896.263667,-40
1643479711050,33896.2636699,-54
1643479711050,33896.2636728,-49
1643479711050,33896.2636757,-40
1643479711050,33896.2636786,-42
1643479711050,33896.2636815,-35
1643479711050,33896.2636845,-18
1643479711050,33896.2636874,-14
1643479711050,33896.2637446,-21
1643479711071,33896.2637507,-4
1643479711071,33896.2637537,7
1643479711071,33896.2637567,-9
1643479711071,33896.2637597,-14
1643479711071,33896.2637627,4
1643479711071,33896.2637656,14
1643479711071,33896.2637686,11
1643479711071,33896.2637716,14
1643479711071,33896.2637745,4
1643479711071,33896.2637786,-4
1643479711091,33896.2637816,2
1643479711091,33896.2637846,14
1643479711091,33896.2637875,9
1643479711091,33896.2637904,0
1643479711091,33896.2637934,4
1643479711091,33896.2637964,11
1643479711091,33896.2638012,11
1643479711091,33896.2638042,21
1643479711091,33896.2638072,30
1643479711091,33896.2638103,37
1643479711115,33896.2638142,37
1643479711115,33896.2638172,35
1643479711115,33896.2638202,28
1643479711115,33896.2638234,21
1643479711115,33896.2638281,18
1643479711115,33896.263831,26
1643479711115,33896.2638339,30
1643479711115,33896.2638369,26
1643479711115,33896.8126811,30
1643479711115,33896.812693,35
1643479711137,33896.8126968,23
1643479711137,33896.8127,7
1643479711137,33896.8127031,87
1643479711137,33896.8127061,397
1643479711137,33896.8127091,808
1643479711137,33896.8127121,749
1643479711137,33896.812715,92
1643479711137,33896.812718,-252
1643479711137,33896.812721,2
1643479711137,33896.8127238,82
1643479711165,33896.8127267,-73
1643479711165,33896.8127296,-61
1643479711165,33896.8127325,2
1643479711165,33896.8127354,-35
1643479711580,33896.8127383,-49
1643479711580,33896.8127415,-11
1643479711580,33896.8127445,-2
1643479711580,33896.8127474,-2
1643479711580,33896.8127503,11
1643479711580,33896.8127532,14
1643479711580,33896.8127561,9
1643479711580,33896.812759,21
1643479711580,33896.8127619,28
1643479711580,33896.8127648,33
1643479711613,33896.8127677,52
1643479711613,33896.8127706,63
1643479711613,33896.8127735,59
1643479711613,33896.8127764,63
1643479711613,33896.8127794,78
1643479711613,33896.8127823,82
1643479711613,33896.8127852,82
1643479711613,33896.8127882,85
1643479711613,33896.8127911,82
1643479711613,33896.812794,70
1643479711646,33896.8128044,54
1643479711646,33896.8128198,35
1643479711646,33896.8128285,11
1643479711646,33896.8128324,-16
1643479711646,33896.8128486,-35
1643479711646,33896.8128574,-44
1643479711646,33896.8128611,-59
1643479711646,33896.812864,-63
1643479711646,33896.812867,-66
1643479711646,33896.8128698,-66
1643479711680,33896.8128727,-59
1643479711680,33896.8128769,-52
1643479711680,33896.81288,-42
1643479711680,33896.8128829,-33
1643479711680,33896.8128857,-21
1643479711680,33896.8128886,-16
1643479711680,33896.8128914,-7
1643479711680,33896.8128943,2
1643479711680,33896.8128971,4
1643479711680,33896.8129,4
1643479711713,33896.8129028,11
1643479711713,33896.8129057,11
1643479711713,33896.8129085,2
1643479711713,33896.8129114,2
1643479711713,33896.8129142,9
1643479711713,33896.8129171,16
1643479711713,33896.81292,18
1643479711713,33896.8129229,14
1643479711713,33896.8129257,2
1643479711713,33896.812929,0
1643479711746,33896.8129318,4
1643479711746,33896.8129346,4
1643479711746,33896.8129375,11
1643479711746,33896.8129404,11
1643479711746,33896.8129435,9
1643479711746,33896.8129478,11
1643479711746,33896.812951,26
1643479711746,33897.4091376,35
1643479711746,33897.4091519,33
1643479711746,33897.4091575,28
1643479711782,33897.4091627,21
1643479711782,33897.4091659,11
1643479711782,33897.4091708,9
1643479711782,33897.4091743,16
1643479711782,33897.4091791,21
1643479711782,33897.4091822,21
1643479711782,33897.4091869,26
1643479711782,33897.4091899,16
1643479711782,33897.4091947,-18
1643479711782,33897.4091978,7
1643479711813,33897.4092027,238
1643479711813,33897.4092058,645
1643479711813,33897.4092099,794
1643479711813,33897.409213,312
1643479712147,33897.4092178,-208
1643479712147,33897.4092216,-122
1643479712147,33897.4092245,54
1643479712147,33897.4092274,-49
1643479712147,33897.4092302,-82
1643479712147,33897.4092331,-11
1643479712147,33897.4092361,-35
1643479712147,33897.4092498,-70
1643479712147,33897.4092546,-40
1643479712147,33897.4092723,-21
1643479712180,33897.409283,-18
1643479712180,33897.4093132,-2
1643479712180,33897.4093195,4
1643479712180,33897.4093232,2
1643479712180,33897.4093262,-2
1643479712180,33897.4093292,9
1643479712180,33897.409332,52
1643479712180,33897.409335,78
1643479712180,33897.4093697,54
1643479712180,33897.4093815,54
1643479712212,33897.4093856,92
1643479712212,33897.4093906,101
1643479712212,33897.4093936,99
1643479712212,33897.4093966,115
1643479712212,33897.4094016,125
1643479712212,33897.4094046,120
1643479712212,33897.4094104,115
1643479712212,33897.4094146,96
1643479712212,33897.4094175,80
1643479712212,33897.4094206,73
1643479712232,33897.4094235,52
1643479712232,33897.4094266,30
1643479712232,33897.4094296,16
1643479712232,33897.4094337,2
1643479712232,33897.4094369,-11
1643479712232,33897.4094417,-14
1643479712232,33897.4094447,-9
1643479712232,33897.409448,-4
1643479712232,33897.4094529,-7
1643479712232,33897.4094576,-7
1643479712252,33897.4094624,-7
1643479712252,33897.4094653,-9
1643479712252,33897.4094684,2
1643479712252,33897.4094733,9
1643479712252,33897.4094778,4
1643479712252,33897.4094828,0
1643479712252,33897.4094874,4
1643479712252,33897.4094922,18
1643479712252,33897.4094965,26
1643479712252,33897.4095012,26
1643479712271,33897.4095057,33
1643479712271,33897.4095105,35
1643479712271,33897.4095151,23
1643479712271,33897.4095202,18
1643479712271,33897.4095238,26
1643479712271,33897.4095293,28
1643479712271,33897.9635907,23
1643479712271,33897.9636029,26
1643479712271,33897.9636078,18
1643479712271,33897.9636135,4
1643479712290,33897.9636716,-2
1643479712290,33897.9636775,9
1643479712290,33897.9636808,16
1643479712290,33897.9636858,11
1643479712290,33897.963689,2
1643479712290,33897.9636939,-18
1643479712290,33897.9636987,-42
1643479712290,33897.9637035,-33
1643479712290,33897.9637074,-2
1643479712290,33897.9637106,-2
1643479712312,33897.9637148,-18
1643479712312,33897.9637179,-23
1643479712312,33897.9637219,-28
1643479712312,33897.963725,-35
1643479712625,33897.963729,-35
1643479712625,33897.963732,-30
1643479712625,33897.9637349,-40
1643479712625,33897.9637378,-42
1643479712625,33897.9637407,-33
1643479712625,33897.9637436,-33
1643479712625,33897.9637466,-47
1643479712625,33897.9637494,-40
1643479712625,33897.9637524,87
1643479712625,33897.9637553,425
1643479712646,33897.9637582,770
1643479712646,33897.9637611,588
1643479712646,33897.963764,-47
1643479712646,33897.9637669,-241
1643479712646,33897.9637698,9
1643479712646,33897.963773,21
1643479712646,33897.963776,-92
1643479712646,33897.9637789,-47
1643479712646,33897.9637819,-16
1643479712646,33897.9637847,-47
