pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643479709800,LeftHand_Target,1.608516,0.8419974,-0.1625411,0.9955074,116.1795,105.3535,
0,1643479709915,LeftHand_Target,1.579727,0.8518112,-0.1638341,4.426496,116.0616,99.74507,
0,1643479710047,LeftHand_Target,1.560674,0.8590626,-0.1551378,6.985094,113.434,101.8415,
0,1643479710180,LeftHand_Target,1.555826,0.8525711,-0.1262724,5.671347,106.5824,111.1629,
0,1643479710314,LeftHand_Target,1.555525,0.8532093,-0.09351614,6.071945,102.6894,109.3029,
0,1643479710448,LeftHand_Target,1.551011,0.8533408,-0.07199053,2.632632,115.7471,96.29839,
0,1643479710580,LeftHand_Target,1.552062,0.8592045,-0.08704565,4.857975,108.9211,97.83937,
0,1643479710714,LeftHand_Target,1.546276,0.8543129,-0.1032898,1.216528,122.4736,95.89378,
0,1643479710814,LeftHand_Target,1.535029,0.8588204,-0.1174627,2.141305,128.629,91.42403,
0,1643479710946,LeftHand_Target,1.538306,0.863992,-0.1192464,5.725698,122.2245,94.04527,
0,1643479711050,LeftHand_Target,1.547056,0.8619409,-0.1137853,8.098042,118.9923,91.35612,
0,1643479711165,LeftHand_Target,1.575698,0.8559598,-0.1009164,9.13536,120.277,94.40916,
0,1643479711282,LeftHand_Target,1.594995,0.850737,-0.1067449,7.21335,114.7318,93.87303,
0,1643479711413,LeftHand_Target,1.598488,0.8443899,-0.1094314,2.1848,114.9707,92.43011,
0,1643479711547,LeftHand_Target,1.577013,0.8440857,-0.10281,2.777866,119.7029,93.5506,
0,1643479711680,LeftHand_Target,1.537681,0.8440651,-0.09248142,3.949343,131.9841,92.84606,
0,1643479711813,LeftHand_Target,1.501478,0.845613,-0.07915697,6.188961,141.9355,92.10744,
0,1643479711946,LeftHand_Target,1.474595,0.8453971,-0.06468001,7.798176,146.6023,91.34731,
0,1643479712046,LeftHand_Target,1.459884,0.8479463,-0.05002354,8.220283,150.8387,91.5645,
0,1643479712147,LeftHand_Target,1.453261,0.8514868,-0.03484264,10.7042,151.5457,89.48768,
0,1643479712252,LeftHand_Target,1.457134,0.8543463,-0.0232996,12.57522,151.5469,88.31061,
0,1643479712358,LeftHand_Target,1.467604,0.8525829,-0.02030262,12.40569,152.8143,87.48259,
0,1643479712470,LeftHand_Target,1.462092,0.8497992,-0.03242315,10.84625,144.2728,86.56091,
0,1643479712579,LeftHand_Target,1.46578,0.8462451,-0.03195086,6.76731,151.4962,88.77361,
0,1643479712690,LeftHand_Target,1.460551,0.8467026,-0.02930497,6.029336,147.0555,88.87885,
0,1643479712801,LeftHand_Target,1.449354,0.8533059,-0.01392985,6.019122,155.7145,90.52736,
0,1643479712913,LeftHand_Target,1.432767,0.8574873,0.0009714589,7.326005,164.1187,94.20147,
0,1643479713024,LeftHand_Target,1.421017,0.8600065,0.01369594,9.863767,164.4264,101.195,
0,1643479713135,LeftHand_Target,1.418194,0.8634391,0.02683605,12.34505,160.9989,109.5348,
0,1643479713246,LeftHand_Target,1.424419,0.8667067,0.02478664,16.28517,155.6404,106.7645,
0,1643479713356,LeftHand_Target,1.444015,0.8653601,0.005580291,16.88639,151.2262,99.65845,
0,1643479713469,LeftHand_Target,1.475763,0.8579366,-0.02426562,12.73117,143.7317,98.67121,
0,1643479713581,LeftHand_Target,1.504006,0.8589122,-0.06164683,10.35364,128.2196,97.93935,
0,1643479713690,LeftHand_Target,1.541216,0.8598229,-0.08551671,7.654554,119.8343,98.01928,
0,1643479713802,LeftHand_Target,1.580735,0.8590477,-0.09090982,7.751242,107.1431,95.95274,
0,1643479713919,LeftHand_Target,1.606862,0.8578683,-0.08479315,10.70156,97.46751,97.97295,
0,1643479714038,LeftHand_Target,1.618487,0.8566724,-0.092383,10.25716,91.90069,94.45883,
0,1643479714140,LeftHand_Target,1.620115,0.8573829,-0.09170426,9.094139,90.76691,95.40808,
0,1643479714269,LeftHand_Target,1.614771,0.8570852,-0.08813453,8.00829,91.6704,99.73777,
0,1643479714404,LeftHand_Target,1.604096,0.8551652,-0.09339359,6.76451,97.007,98.97794,
0,1643479714536,LeftHand_Target,1.590608,0.8578764,-0.09972653,8.405971,102.81,96.16244,
0,1643479714670,LeftHand_Target,1.57349,0.8608766,-0.1003941,8.214799,112.9127,94.75533,
0,1643479714802,LeftHand_Target,1.57222,0.8604279,-0.09537032,7.527717,114.7887,97.04881,
0,1643479714903,LeftHand_Target,1.572596,0.8599841,-0.09841102,7.2459,110.947,96.83186,
0,1643479715036,LeftHand_Target,1.567542,0.8596573,-0.09974118,5.842945,109.5648,96.1986,
0,1643479715158,LeftHand_Target,1.561675,0.8618366,-0.09234157,6.358606,111.453,97.41413,
0,1643479715269,LeftHand_Target,1.560174,0.8660339,-0.08482221,8.190207,106.486,100.6413,
0,1643479715382,LeftHand_Target,1.56275,0.8683578,-0.0689213,8.257804,97.12845,106.222,
0,1643479715491,LeftHand_Target,1.569594,0.8664872,-0.06516302,7.105554,96.70951,107.1352,
0,1643479715603,LeftHand_Target,1.574696,0.8663028,-0.06543986,7.013308,88.49154,106.0004,
0,1643479715715,LeftHand_Target,1.578229,0.8659878,-0.06139505,6.90522,86.687,105.8792,
0,1643479715824,LeftHand_Target,1.579838,0.8656579,-0.05955052,5.944977,86.05201,104.2718,
0,1643479715937,LeftHand_Target,1.584185,0.8667498,-0.05845773,6.988789,87.14582,103.2345,
0,1643479716047,LeftHand_Target,1.584938,0.8681347,-0.05980769,7.311943,86.16496,102.082,
0,1643479716159,LeftHand_Target,1.581214,0.8739407,-0.05859113,6.881056,90.46352,101.886,
0,1643479716268,LeftHand_Target,1.572282,0.8734941,-0.05920842,6.924522,99.26545,101.8249,
0,1643479716381,LeftHand_Target,1.561274,0.8631737,-0.07475379,11.45989,110.0845,97.31771,
0,1643479716490,LeftHand_Target,1.564156,0.8684958,-0.07828426,12.49941,107.8991,96.87978,
0,1643479716605,LeftHand_Target,1.560266,0.865914,-0.07349504,10.9615,113.4326,97.71259,
0,1643479716713,LeftHand_Target,1.557377,0.8678234,-0.06743076,11.09793,115.8723,98.21,
0,1643479716826,LeftHand_Target,1.558634,0.8703846,-0.06139618,13.89653,121.3776,97.02956,
0,1643479716936,LeftHand_Target,1.563452,0.8671341,-0.05127779,14.46806,121.4819,102.6901,
0,1643479717050,LeftHand_Target,1.564088,0.864375,-0.04092866,12.81336,119.1432,105.6739,
0,1643479717158,LeftHand_Target,1.562305,0.8620583,-0.03389986,9.972256,115.8492,105.0983,
0,1643479717272,LeftHand_Target,1.56186,0.8613099,-0.03211045,8.740731,111.8519,102.3852,
0,1643479717381,LeftHand_Target,1.564595,0.8620434,-0.03290097,9.427312,103.8217,99.39317,
0,1643479717491,LeftHand_Target,1.576055,0.8634592,-0.03733203,12.61885,93.65853,95.83526,
0,1643479717603,LeftHand_Target,1.587654,0.8723698,-0.05216482,10.44144,86.88789,90.41164,
0,1643479717716,LeftHand_Target,1.591424,0.8666335,-0.03902048,4.271098,86.58342,115.2593,
0,1643479717824,LeftHand_Target,1.582417,0.8701506,-0.04503287,2.587115,87.66388,109.9091,
0,1643479717948,LeftHand_Target,1.555798,0.8695481,-0.04220948,3.545077,93.07013,104.16,
0,1643479718068,LeftHand_Target,1.52759,0.8692282,-0.03742197,6.763559,99.1151,104.0597,
0,1643479718169,LeftHand_Target,1.512004,0.8691039,-0.04052867,8.309578,100.8285,102.1492,
0,1643479718303,LeftHand_Target,1.500827,0.8702598,-0.04811789,7.077202,99.52846,102.49,
0,1643479718439,LeftHand_Target,1.490822,0.8664829,-0.05661143,6.01292,93.21317,102.2672,
0,1643479718568,LeftHand_Target,1.480281,0.8660194,-0.05671431,7.826658,96.05446,101.4013,
0,1643479718669,LeftHand_Target,1.476751,0.8665301,-0.05641352,8.958382,97.41566,100.6831,
0,1643479718769,LeftHand_Target,1.478674,0.8646276,-0.05713825,8.961064,97.44061,100.1072,
0,1643479718869,LeftHand_Target,1.48681,0.8627619,-0.05929066,8.230887,95.36012,99.48339,
0,1643479719003,LeftHand_Target,1.49959,0.8617789,-0.06455505,6.581938,91.92663,99.3935,
0,1643479719137,LeftHand_Target,1.506018,0.8601301,-0.06628855,5.723119,90.10677,99.79888,
0,1643479719246,LeftHand_Target,1.507602,0.8602029,-0.06570999,7.259911,88.57373,102.8233,
0,1643479719357,LeftHand_Target,1.506105,0.86112,-0.06753324,8.597236,86.49247,104.3984,
0,1643479719468,LeftHand_Target,1.504694,0.8601359,-0.06846794,8.951947,84.46437,103.8171,
0,1643479719579,LeftHand_Target,1.501023,0.8585485,-0.07256608,8.771986,77.99583,101.2728,
0,1643479719692,LeftHand_Target,1.493602,0.8573049,-0.0885233,11.43044,50.82995,92.55112,
0,1643479719803,LeftHand_Target,1.475972,0.8672333,-0.1138486,16.2301,21.06801,87.95203,
0,1643479719913,LeftHand_Target,1.426796,0.8854138,-0.1317109,27.04865,34.81525,94.8759,
0,1643479720026,LeftHand_Target,1.373201,0.9211912,-0.1558919,22.16364,356.2057,59.99306,
0,1643479720136,LeftHand_Target,1.32655,0.9610831,-0.1578802,18.33469,343.4482,43.59587,
0,1643479720246,LeftHand_Target,1.30007,0.9869081,-0.1543564,16.66912,343.1203,36.2994,
0,1643479720358,LeftHand_Target,1.29112,0.9934987,-0.1582503,16.55155,344.4203,34.2422,
0,1643479720471,LeftHand_Target,1.28907,0.992572,-0.1616384,18.82598,346.3685,36.85042,
0,1643479720580,LeftHand_Target,1.287638,0.9895164,-0.1665087,19.45528,346.8499,39.14062,
0,1643479720692,LeftHand_Target,1.282163,0.988343,-0.1696912,20.23834,347.1409,39.80511,
0,1643479720804,LeftHand_Target,1.278337,0.9901226,-0.1693143,21.78628,348.3367,40.02465,
0,1643479720913,LeftHand_Target,1.274654,0.9912336,-0.1694273,21.4648,348.1336,38.95161,
0,1643479721024,LeftHand_Target,1.268876,0.9934627,-0.1702807,21.02128,347.786,39.04148,
0,1643479721136,LeftHand_Target,1.26706,0.9932146,-0.1710305,17.83321,345.952,35.55595,
0,1643479721246,LeftHand_Target,1.261182,1.000115,-0.1670203,17.75508,343.8759,32.89799,
0,1643479721359,LeftHand_Target,1.254962,1.004087,-0.1656076,17.35348,343.6956,30.59116,
0,1643479721472,LeftHand_Target,1.249748,1.009834,-0.1679611,17.69619,345.5101,25.38337,
0,1643479721581,LeftHand_Target,1.226047,1.043814,-0.1886777,49.21926,3.589255,22.24212,
0,1643479721695,LeftHand_Target,1.185988,1.127948,-0.2237443,50.5829,166.341,176.0957,
0,1643479721802,LeftHand_Target,1.146436,1.196196,-0.2761632,13.70955,166.4436,211.8493,
0,1643479721912,LeftHand_Target,1.150505,1.260521,-0.3177132,23.88569,171.191,229.4062,
0,1643479722024,LeftHand_Target,1.151114,1.269038,-0.3495172,10.45029,164.9531,243.2048,
0,1643479722126,LeftHand_Target,1.154783,1.34681,-0.3855347,10.83456,161.3973,251.66,
0,1643479722258,LeftHand_Target,1.162441,1.471416,-0.4039542,2.122498,161.7484,281.2603,
0,1643479722358,LeftHand_Target,1.176498,1.514917,-0.3859479,354.239,163.5615,293.0234,
0,1643479722458,LeftHand_Target,1.173495,1.503966,-0.3776841,345.218,162.6996,293.313,
0,1643479722593,LeftHand_Target,1.131878,1.495058,-0.386211,347.471,163.1323,289.2855,
0,1643479722695,LeftHand_Target,1.097535,1.490421,-0.3938795,352.2253,164.554,285.1693,
0,1643479722792,LeftHand_Target,1.064982,1.482881,-0.3954842,354.6562,165.4454,283.8397,
0,1643479722895,LeftHand_Target,1.035428,1.482086,-0.3969482,355.3361,164.4649,283.0764,
0,1643479723012,LeftHand_Target,0.9973832,1.490922,-0.3924494,356.5053,165.0473,283.5146,
0,1643479723124,LeftHand_Target,0.9661846,1.503262,-0.3808056,356.095,166.9101,285.3401,
0,1643479723235,LeftHand_Target,0.9425793,1.506546,-0.3746854,354.433,165.3008,287.9838,
0,1643479723346,LeftHand_Target,0.9195059,1.499287,-0.3781393,357.4794,167.3193,291.2047,
0,1643479723458,LeftHand_Target,0.9005286,1.500687,-0.3957104,350.2387,154.732,286.4583,
0,1643479723571,LeftHand_Target,0.8594644,1.496352,-0.3943613,353.3635,158.6247,285.5071,
0,1643479723679,LeftHand_Target,0.79725,1.507922,-0.3764095,359.6413,172.8216,286.83,
0,1643479723798,LeftHand_Target,0.7335343,1.541876,-0.3569523,1.323517,176.8021,286.8446,
0,1643479723905,LeftHand_Target,0.6718712,1.573424,-0.3338919,356.6358,175.8449,283.8738,
0,1643479724035,LeftHand_Target,0.6181833,1.563959,-0.3295488,350.9279,175.308,287.4898,
0,1643479724136,LeftHand_Target,0.5775721,1.550085,-0.3419632,352.5171,174.0475,287.9897,
0,1643479724269,LeftHand_Target,0.5284489,1.540707,-0.3627459,356.1052,173.0166,286.5029,
0,1643479724369,LeftHand_Target,0.4995648,1.532862,-0.3716631,357.4746,171.654,284.1855,
0,1643479724503,LeftHand_Target,0.4648682,1.523108,-0.3783516,357.6454,171.4587,283.9427,
0,1643479724603,LeftHand_Target,0.4398372,1.525117,-0.3813299,357.4721,169.3005,281.9158,
0,1643479724713,LeftHand_Target,0.4063631,1.521114,-0.3784022,357.2625,169.9842,282.6269,
0,1643479724825,LeftHand_Target,0.3708574,1.52059,-0.3763998,356.4355,169.1861,281.852,
0,1643479724936,LeftHand_Target,0.3291578,1.531522,-0.3754569,357.4419,171.7906,283.2894,
0,1643479725046,LeftHand_Target,0.2822779,1.547099,-0.3751903,356.6866,171.5254,285.0089,
0,1643479725159,LeftHand_Target,0.2472163,1.529432,-0.3952813,357.9362,163.3562,288.2405,
0,1643479725271,LeftHand_Target,0.2227528,1.494952,-0.4301208,10.32466,164.8469,284.5261,
0,1643479725382,LeftHand_Target,0.1840249,1.470822,-0.4362938,9.196296,163.0556,281.6974,
0,1643479725493,LeftHand_Target,0.1407659,1.486882,-0.4325044,9.200098,164.8329,281.7638,
0,1643479725609,LeftHand_Target,0.0754503,1.50256,-0.416971,3.656121,167.0581,281.2742,
0,1643479725713,LeftHand_Target,0.0276809,1.505007,-0.406442,1.280551,168.5573,281.8697,
0,1643479725828,LeftHand_Target,-0.02826053,1.491723,-0.4049396,1.156509,169.091,284.2289,
0,1643479725935,LeftHand_Target,-0.07863756,1.487734,-0.4193757,1.438677,165.718,279.7379,
0,1643479726054,LeftHand_Target,-0.1363553,1.481551,-0.4291136,4.374646,168.5832,282.4159,
0,1643479726158,LeftHand_Target,-0.170173,1.485017,-0.4357446,3.160049,165.5525,279.8579,
0,1643479726269,LeftHand_Target,-0.2117922,1.494593,-0.4386461,1.945941,166.0606,280.1958,
0,1643479726383,LeftHand_Target,-0.250161,1.500286,-0.4426814,0.7241529,166.1069,281.1277,
0,1643479726494,LeftHand_Target,-0.2870021,1.488039,-0.4560645,4.061234,166.8895,279.1655,
0,1643479726624,LeftHand_Target,-0.3267436,1.465567,-0.4658703,6.400584,164.4231,275.1889,
0,1643479726757,LeftHand_Target,-0.3703007,1.456904,-0.4632024,8.587646,164.199,273.7837,
0,1643479726890,LeftHand_Target,-0.4270532,1.477898,-0.4460546,4.391906,165.2453,275.7161,
0,1643479726991,LeftHand_Target,-0.478379,1.515018,-0.4307612,0.9330062,166.3741,278.562,
0,1643479727091,LeftHand_Target,-0.5349761,1.545516,-0.4135076,359.4994,169.7631,281.5169,
0,1643479727213,LeftHand_Target,-0.6000596,1.553341,-0.4041417,357.2016,170.231,281.5518,
0,1643479727322,LeftHand_Target,-0.6397464,1.531799,-0.4194257,357.8073,167.3504,280.4452,
0,1643479727439,LeftHand_Target,-0.6709452,1.486907,-0.4491411,6.195992,165.6903,277.4173,
0,1643479727547,LeftHand_Target,-0.7101793,1.4621,-0.4564648,8.267164,163.9773,275.086,
0,1643479727656,LeftHand_Target,-0.7733116,1.475401,-0.442187,5.41855,166.6624,275.8085,
0,1643479727767,LeftHand_Target,-0.8484505,1.500916,-0.4194373,359.5394,169.1308,276.7364,
0,1643479727879,LeftHand_Target,-0.9190061,1.52128,-0.401413,356.1082,171.9062,278.9593,
0,1643479727991,LeftHand_Target,-0.9726841,1.539214,-0.3946285,355.1823,172.1761,281.1479,
0,1643479728101,LeftHand_Target,-1.027798,1.54216,-0.3932389,355.0082,173.4149,280.8686,
0,1643479728215,LeftHand_Target,-1.070885,1.543797,-0.397886,354.1738,171.9776,276.9456,
0,1643479728327,LeftHand_Target,-1.10076,1.545036,-0.3979821,354.7997,173.6722,278.839,
0,1643479728435,LeftHand_Target,-1.132579,1.545057,-0.4046024,354.5247,172.2343,277.6215,
0,1643479728572,LeftHand_Target,-1.171164,1.540094,-0.409855,355.3586,172.0744,277.2599,
0,1643479728702,LeftHand_Target,-1.219758,1.521571,-0.4173254,356.4641,170.4588,276.5353,
0,1643479728802,LeftHand_Target,-1.269176,1.514033,-0.422916,357.2505,169.384,275.1704,
0,1643479728936,LeftHand_Target,-1.350733,1.524488,-0.4223178,358.2201,170.8766,277.2396,
0,1643479729068,LeftHand_Target,-1.437072,1.531902,-0.4097325,356.8419,171.93,276.8301,
0,1643479729169,LeftHand_Target,-1.489032,1.541064,-0.4018335,355.5125,173.6505,277.899,
0,1643479729268,LeftHand_Target,-1.535837,1.535488,-0.4009233,354.7971,174.8105,278.801,
0,1643479729379,LeftHand_Target,-1.585201,1.533692,-0.407622,356.499,174.2573,276.8543,
0,1643479729491,LeftHand_Target,-1.632728,1.525068,-0.4167375,357.3619,174.4137,277.0138,
0,1643479729604,LeftHand_Target,-1.683111,1.511728,-0.4340177,358.3381,173.3228,276.8252,
0,1643479729716,LeftHand_Target,-1.739456,1.495667,-0.4474483,1.182348,172.1172,279.0717,
0,1643479729829,LeftHand_Target,-1.80138,1.493946,-0.4533159,3.006824,171.995,278.7369,
0,1643479729936,LeftHand_Target,-1.856984,1.510842,-0.4524279,0.8229342,172.0982,278.2502,
0,1643479730047,LeftHand_Target,-1.901123,1.521611,-0.4451129,358.3864,173.1095,279.3977,
0,1643479730156,LeftHand_Target,-1.935508,1.52967,-0.4492465,356.3999,171.3665,277.944,
0,1643479730270,LeftHand_Target,-1.978162,1.516959,-0.4542208,359.541,173.6718,278.8002,
0,1643479730381,LeftHand_Target,-2.025035,1.492916,-0.4699281,0.0009673255,169.7561,274.4967,
