pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643479709800,RightHand_Target,1.654691,0.8666378,0.261216,6.079288,245.8131,119.2014,
0,1643479709915,RightHand_Target,1.637356,0.8604062,0.2661256,6.657724,248.7012,120.318,
0,1643479710047,RightHand_Target,1.612167,0.8598828,0.2747343,6.765633,244.0012,120.8929,
0,1643479710180,RightHand_Target,1.58166,0.8616545,0.3086512,4.414351,243.113,118.2728,
0,1643479710314,RightHand_Target,1.549994,0.8654641,0.3370959,2.389488,238.3214,118.6593,
0,1643479710448,RightHand_Target,1.530343,0.865784,0.3518909,1.344199,237.2971,118.9778,
0,1643479710580,RightHand_Target,1.525416,0.8614271,0.3497797,1.666859,235.6482,118.2025,
0,1643479710714,RightHand_Target,1.535098,0.8551615,0.3290133,358.9905,241.6821,120.9488,
0,1643479710814,RightHand_Target,1.544058,0.8519065,0.3087509,358.3137,246.7851,115.8583,
0,1643479710946,RightHand_Target,1.543042,0.8557321,0.3102081,359.4789,242.8131,116.6971,
0,1643479711050,RightHand_Target,1.543808,0.86032,0.3186214,359.2586,237.6073,118.8013,
0,1643479711165,RightHand_Target,1.559227,0.8656431,0.3230239,356.5195,240.9619,120.0137,
0,1643479711282,RightHand_Target,1.585647,0.8600012,0.3215065,359.6479,240.0212,118.4729,
0,1643479711413,RightHand_Target,1.624284,0.8557636,0.3217067,4.540187,243.3599,114.8013,
0,1643479711547,RightHand_Target,1.649886,0.8612319,0.3316751,4.857776,250.1071,116.4993,
0,1643479711680,RightHand_Target,1.666509,0.864105,0.3333071,3.606958,256.0638,116.9346,
0,1643479711813,RightHand_Target,1.67856,0.8657608,0.3270751,1.078875,260.7634,117.1223,
0,1643479711946,RightHand_Target,1.695925,0.8635654,0.318815,359.1813,266.8967,117.5911,
0,1643479712046,RightHand_Target,1.710175,0.8595502,0.3174123,359.2566,273.039,116.9486,
0,1643479712147,RightHand_Target,1.717088,0.8522258,0.314236,1.660944,274.4783,115.8249,
0,1643479712252,RightHand_Target,1.71507,0.8516755,0.3156721,1.262126,274.2728,116.2202,
0,1643479712358,RightHand_Target,1.704873,0.8530543,0.3247416,0.1719912,270.0212,117.9337,
0,1643479712470,RightHand_Target,1.693934,0.8555396,0.333384,357.9388,267.4947,119.3914,
0,1643479712579,RightHand_Target,1.689336,0.8569095,0.3339409,355.6453,268.8317,121.7165,
0,1643479712690,RightHand_Target,1.696387,0.8541632,0.3287906,356.6089,271.4828,122.3676,
0,1643479712801,RightHand_Target,1.708292,0.8467787,0.3230214,357.7191,278.1295,124.3682,
0,1643479712913,RightHand_Target,1.720073,0.8439217,0.3174718,358.4561,284.9631,125.4273,
0,1643479713024,RightHand_Target,1.723871,0.838439,0.311079,0.3173749,286.41,126.613,
0,1643479713135,RightHand_Target,1.71972,0.8369365,0.3088173,1.315113,285.5744,126.7681,
0,1643479713246,RightHand_Target,1.70781,0.8380873,0.3158642,1.578955,280.538,126.7629,
0,1643479713356,RightHand_Target,1.690067,0.8401909,0.3263177,0.5098718,273.0149,128.7195,
0,1643479713469,RightHand_Target,1.664985,0.8441144,0.3385314,359.7894,264.2664,127.2182,
0,1643479713581,RightHand_Target,1.635499,0.8442265,0.342585,359.9752,254.3464,126.0552,
0,1643479713690,RightHand_Target,1.603646,0.8445721,0.3443674,0.5870343,244.7382,121.6013,
0,1643479713802,RightHand_Target,1.575709,0.8461634,0.3426413,0.5963256,236.8523,119.5015,
0,1643479713919,RightHand_Target,1.551293,0.8494881,0.3405072,1.399153,229.6852,119.315,
0,1643479714038,RightHand_Target,1.520057,0.8555902,0.3394961,2.115941,222.1711,117.5766,
0,1643479714140,RightHand_Target,1.502778,0.8572741,0.3337466,359.8074,221.4949,118.4301,
0,1643479714269,RightHand_Target,1.491582,0.8583829,0.3208625,359.4078,218.8169,118.8691,
0,1643479714404,RightHand_Target,1.496726,0.8567171,0.3106672,357.5956,221.5736,120.5695,
0,1643479714536,RightHand_Target,1.50665,0.854305,0.3136021,359.6308,222.8681,118.5386,
0,1643479714670,RightHand_Target,1.514241,0.8518128,0.321626,1.595277,226.2334,116.9853,
0,1643479714802,RightHand_Target,1.517283,0.8519166,0.324659,1.533477,227.4838,116.3357,
0,1643479714903,RightHand_Target,1.519603,0.8530958,0.32377,1.536823,229.825,115.8956,
0,1643479715036,RightHand_Target,1.521341,0.8541226,0.3228202,3.381686,232.1551,117.1212,
0,1643479715158,RightHand_Target,1.521486,0.8538568,0.3227368,6.783377,232.3413,118.4572,
0,1643479715269,RightHand_Target,1.521655,0.8526048,0.3208753,7.575057,230.9279,122.4831,
0,1643479715382,RightHand_Target,1.521586,0.8546553,0.3192791,7.87397,229.6492,121.537,
0,1643479715491,RightHand_Target,1.523863,0.8541565,0.3163879,7.443391,228.3303,120.6965,
0,1643479715603,RightHand_Target,1.523988,0.8561692,0.3237072,7.061333,233.2404,118.294,
0,1643479715715,RightHand_Target,1.524589,0.8564948,0.3222342,7.055589,232.6796,119.3829,
0,1643479715824,RightHand_Target,1.52535,0.8560426,0.3238119,7.393088,231.3984,119.3543,
0,1643479715937,RightHand_Target,1.529234,0.8558186,0.3243257,6.902835,231.2058,119.8436,
0,1643479716047,RightHand_Target,1.535944,0.8545646,0.3261581,6.194803,235.3336,118.6023,
0,1643479716159,RightHand_Target,1.544281,0.8542735,0.3268652,5.188082,239.1264,117.7611,
0,1643479716268,RightHand_Target,1.551305,0.852782,0.3365173,4.515403,239.1968,116.1317,
0,1643479716381,RightHand_Target,1.556453,0.849353,0.3512984,0.7146288,240.8638,114.1948,
0,1643479716490,RightHand_Target,1.569089,0.8514155,0.3610208,359.7637,244.7306,113.7359,
0,1643479716605,RightHand_Target,1.579052,0.8464245,0.367657,3.099325,240.1777,111.6444,
0,1643479716713,RightHand_Target,1.585703,0.8452249,0.373957,2.662461,242.9773,109.2725,
0,1643479716826,RightHand_Target,1.582763,0.8433571,0.3799216,2.228231,241.9988,108.7545,
0,1643479716936,RightHand_Target,1.575992,0.8452739,0.383358,1.459983,240.4833,110.0263,
0,1643479717050,RightHand_Target,1.568386,0.8478563,0.3828973,1.175959,239.6557,112.2501,
0,1643479717158,RightHand_Target,1.566833,0.8468342,0.379311,359.5112,238.8205,119.1582,
0,1643479717272,RightHand_Target,1.565356,0.846838,0.38403,0.2993088,237.4065,122.9587,
0,1643479717381,RightHand_Target,1.564155,0.8499624,0.3992192,2.297743,238.8026,122.7469,
0,1643479717491,RightHand_Target,1.556509,0.8495908,0.4275198,5.520696,243.051,111.4063,
0,1643479717603,RightHand_Target,1.557949,0.8525347,0.442743,3.461589,251.1339,106.9923,
0,1643479717716,RightHand_Target,1.560753,0.857498,0.4519401,355.5704,265.3702,100.5354,
0,1643479717824,RightHand_Target,1.555823,0.8537821,0.4486673,355.9195,261.877,103.6887,
0,1643479717948,RightHand_Target,1.547937,0.8530593,0.441602,356.1113,259.0043,104.5256,
0,1643479718068,RightHand_Target,1.537903,0.8517851,0.4317627,357.4647,253.7281,104.8159,
0,1643479718169,RightHand_Target,1.522887,0.8498595,0.4262374,2.144671,247.1189,103.3365,
0,1643479718303,RightHand_Target,1.502704,0.8594786,0.4226655,358.8092,251.5931,103.879,
0,1643479718439,RightHand_Target,1.481867,0.8667957,0.423106,354.2037,255.0155,104.3427,
0,1643479718568,RightHand_Target,1.469468,0.8653662,0.4202848,353.3729,253.463,106.5836,
0,1643479718669,RightHand_Target,1.47079,0.8644635,0.4150631,353.2374,252.5161,105.6446,
0,1643479718769,RightHand_Target,1.475399,0.8605464,0.4117007,355.4893,250.5158,104.5314,
0,1643479718869,RightHand_Target,1.48169,0.8578866,0.4114987,357.6628,250.1883,102.8203,
0,1643479719003,RightHand_Target,1.48603,0.857036,0.4142139,359.0418,249.4683,100.8163,
