pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643555412432,LeftFoot_Target,1.73274,0.2037208,0.08476329,9.763957,350.8265,8.189274,
0,1643555412538,LeftFoot_Target,1.732742,0.2037033,0.08489785,9.738776,350.8383,8.187543,
0,1643555412650,LeftFoot_Target,1.732664,0.2038355,0.08479317,9.707402,350.8498,8.181013,
0,1643555412761,LeftFoot_Target,1.732836,0.2036504,0.0848564,9.71292,350.8601,8.14684,
0,1643555412873,LeftFoot_Target,1.732729,0.2037882,0.08478412,9.694939,350.8469,8.143366,
0,1643555412983,LeftFoot_Target,1.732731,0.2036362,0.084765,9.69773,350.8436,8.133363,
0,1643555413094,LeftFoot_Target,1.732704,0.2037422,0.08486321,9.680597,350.8403,8.131254,
0,1643555413206,LeftFoot_Target,1.732795,0.2037031,0.08481656,9.676899,350.8368,8.090235,
0,1643555413317,LeftFoot_Target,1.732876,0.2035684,0.08470606,9.660028,350.8368,8.093626,
0,1643555413427,LeftFoot_Target,1.732954,0.2037378,0.08488733,9.652982,350.8076,8.11616,
0,1643555413539,LeftFoot_Target,1.732787,0.2037445,0.08480805,9.637309,350.8123,8.129749,
0,1643555413650,LeftFoot_Target,1.732881,0.2034799,0.08470109,9.63935,350.8223,8.097708,
0,1643555413761,LeftFoot_Target,1.732872,0.2035642,0.08464172,9.617221,350.8141,8.08528,
0,1643555413872,LeftFoot_Target,1.732883,0.2035728,0.08471166,9.596595,350.8047,8.087477,
0,1643555413984,LeftFoot_Target,1.732938,0.2033241,0.08456981,9.574268,350.797,8.107016,
0,1643555414094,LeftFoot_Target,1.732808,0.2032797,0.08462303,9.577709,350.7904,8.117363,
0,1643555414206,LeftFoot_Target,1.732801,0.2035059,0.08460659,9.506935,350.8098,8.123123,
0,1643555414318,LeftFoot_Target,1.732848,0.2035316,0.08478862,9.505018,350.8001,8.158154,
0,1643555414429,LeftFoot_Target,1.732772,0.2038729,0.08507927,9.44759,350.8296,8.173483,
0,1643555414539,LeftFoot_Target,1.732785,0.2031167,0.08462267,9.413066,350.8186,8.203571,
0,1643555414650,LeftFoot_Target,1.732812,0.2030577,0.08453754,9.436609,350.8236,8.186563,
0,1643555414761,LeftFoot_Target,1.732823,0.203672,0.08490528,9.468805,350.826,8.184155,
0,1643555414872,LeftFoot_Target,1.732876,0.2033026,0.08466709,9.48644,350.8195,8.164226,
0,1643555414984,LeftFoot_Target,1.732698,0.2035834,0.08481969,9.506055,350.8244,8.177013,
0,1643555415095,LeftFoot_Target,1.732778,0.2036325,0.08482402,9.521245,350.8484,8.159661,
0,1643555415206,LeftFoot_Target,1.732629,0.2034356,0.08475858,9.509458,350.863,8.183487,
0,1643555415318,LeftFoot_Target,1.732583,0.2033007,0.08446011,9.523512,350.8666,8.188233,
0,1643555415429,LeftFoot_Target,1.732718,0.2033886,0.08481854,9.531946,350.8528,8.204883,
0,1643555415540,LeftFoot_Target,1.732666,0.2033826,0.08475278,9.559755,350.8425,8.210071,
0,1643555415651,LeftFoot_Target,1.732721,0.2034067,0.08469678,9.55326,350.8503,8.209476,
0,1643555415761,LeftFoot_Target,1.732605,0.203519,0.08482635,9.524537,350.8751,8.217911,
0,1643555415872,LeftFoot_Target,1.732615,0.2032688,0.08463125,9.518887,350.883,8.211152,
0,1643555415984,LeftFoot_Target,1.732668,0.2034893,0.08482942,9.50868,350.8884,8.205388,
0,1643555416095,LeftFoot_Target,1.732552,0.2033909,0.08458777,9.472192,350.8897,8.220798,
0,1643555416205,LeftFoot_Target,1.732784,0.2038156,0.08491029,9.469575,350.8827,8.204539,
0,1643555416317,LeftFoot_Target,1.732513,0.2034024,0.08454847,9.426709,350.8941,8.199485,
0,1643555416428,LeftFoot_Target,1.73265,0.2033537,0.08467533,9.416294,350.8906,8.212885,
0,1643555416539,LeftFoot_Target,1.732491,0.2030849,0.08436723,9.39379,350.9096,8.213718,
0,1643555416652,LeftFoot_Target,1.73255,0.2032807,0.08449213,9.420963,350.893,8.203701,
0,1643555416761,LeftFoot_Target,1.732912,0.203343,0.08475926,9.384678,350.9261,8.202435,
0,1643555416872,LeftFoot_Target,1.73281,0.2034947,0.0846881,9.419291,350.9553,8.197128,
0,1643555416985,LeftFoot_Target,1.732865,0.2032608,0.0846067,9.469009,350.9846,8.116015,
0,1643555417095,LeftFoot_Target,1.732936,0.2034834,0.08465376,9.49835,350.9736,8.039705,
0,1643555417206,LeftFoot_Target,1.732812,0.2035631,0.0845962,9.557406,350.9719,8.028578,
0,1643555417317,LeftFoot_Target,1.732799,0.2036974,0.08472586,9.618584,350.9761,7.98069,
0,1643555417428,LeftFoot_Target,1.733075,0.2037199,0.08467199,9.658419,350.976,7.967436,
0,1643555417540,LeftFoot_Target,1.733032,0.2040199,0.08487448,9.69193,350.9918,7.959885,
0,1643555417652,LeftFoot_Target,1.732812,0.2039002,0.08464709,9.708184,351.0103,7.979855,
0,1643555417762,LeftFoot_Target,1.732803,0.2038879,0.08466081,9.704389,351.0115,7.958857,
0,1643555417873,LeftFoot_Target,1.732826,0.2040671,0.08472504,9.733766,351.0181,7.936149,
0,1643555417984,LeftFoot_Target,1.732884,0.2039052,0.08463098,9.777819,351.0172,7.944807,
0,1643555418095,LeftFoot_Target,1.732943,0.2042348,0.08467734,9.780369,351.0068,7.900457,
0,1643555418205,LeftFoot_Target,1.733117,0.2041237,0.08461535,9.760973,351.0109,7.815406,
0,1643555418318,LeftFoot_Target,1.733348,0.2046544,0.08456984,9.737047,351.0218,7.707182,
0,1643555418427,LeftFoot_Target,1.733187,0.2045089,0.0845414,9.839229,350.98,7.621098,
0,1643555418538,LeftFoot_Target,1.733326,0.2047787,0.08483113,9.856947,350.9561,7.653944,
0,1643555418650,LeftFoot_Target,1.73288,0.2049501,0.0848708,9.903282,350.9414,7.653378,
0,1643555418761,LeftFoot_Target,1.733317,0.2045084,0.08501202,9.983685,350.8936,7.651909,
0,1643555418871,LeftFoot_Target,1.733205,0.2048273,0.08489011,10.0062,350.8604,7.611316,
0,1643555418983,LeftFoot_Target,1.733123,0.2046356,0.0850627,10.08346,350.8618,7.560513,
0,1643555419094,LeftFoot_Target,1.733297,0.2049959,0.08483097,10.06661,350.9786,7.603625,
0,1643555419205,LeftFoot_Target,1.733245,0.205258,0.08526026,10.14323,350.9846,7.571342,
0,1643555419316,LeftFoot_Target,1.733433,0.2052985,0.08523475,10.18789,350.9633,7.541728,
0,1643555419427,LeftFoot_Target,1.733341,0.2052448,0.08516349,10.22071,350.9722,7.545834,
0,1643555419538,LeftFoot_Target,1.733344,0.2051687,0.08504598,10.20036,351.0156,7.631371,
0,1643555419650,LeftFoot_Target,1.733275,0.2050899,0.08494233,10.17695,351.0221,7.668431,
0,1643555419761,LeftFoot_Target,1.733169,0.2049464,0.0848523,10.13923,351.0331,7.679718,
0,1643555419896,LeftFoot_Target,1.73336,0.2048723,0.08466853,10.10558,351.032,7.727478,
0,1643555419976,LeftFoot_Target,1.733203,0.2050114,0.084811,10.08826,351.0115,7.722061,
