pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643555412432,Pelvis_Target,1.836507,1.090754,0.2124368,354.0684,176.9502,335.6219,
0,1643555412538,Pelvis_Target,1.836956,1.090619,0.2119007,354.084,176.9744,335.6215,
0,1643555412650,Pelvis_Target,1.837484,1.090237,0.2113156,354.0831,176.9488,335.5658,
0,1643555412761,Pelvis_Target,1.838017,1.090134,0.2108305,354.0988,176.9789,335.5819,
0,1643555412873,Pelvis_Target,1.838475,1.090118,0.2103906,354.1358,176.9537,335.6181,
0,1643555412983,Pelvis_Target,1.838914,1.090094,0.2098924,354.1617,176.9792,335.6561,
0,1643555413094,Pelvis_Target,1.839718,1.090641,0.209777,354.1834,177.0739,335.6768,
0,1643555413206,Pelvis_Target,1.84049,1.090731,0.2091132,354.2382,177.0774,335.7147,
0,1643555413317,Pelvis_Target,1.841116,1.090379,0.2077528,354.2688,177.1229,335.7497,
0,1643555413427,Pelvis_Target,1.841343,1.090737,0.2070518,354.3171,177.1478,335.7402,
0,1643555413539,Pelvis_Target,1.841355,1.090935,0.20614,354.3649,177.1568,335.8204,
0,1643555413650,Pelvis_Target,1.841436,1.090737,0.2049252,354.4034,177.1172,335.8052,
0,1643555413761,Pelvis_Target,1.84146,1.090951,0.204112,354.4519,177.1205,335.8318,
0,1643555413872,Pelvis_Target,1.841192,1.091459,0.2036001,354.4856,177.0953,335.8017,
0,1643555413984,Pelvis_Target,1.840686,1.091733,0.2030052,354.5228,177.1124,335.7699,
0,1643555414094,Pelvis_Target,1.840376,1.091668,0.2024256,354.5546,177.2056,335.7622,
0,1643555414206,Pelvis_Target,1.840067,1.091869,0.2021096,354.5517,177.2988,335.6332,
0,1643555414318,Pelvis_Target,1.839635,1.091917,0.2018702,354.5878,177.3137,335.649,
0,1643555414429,Pelvis_Target,1.839185,1.091874,0.2016655,354.5688,177.3533,335.5882,
0,1643555414539,Pelvis_Target,1.838752,1.092099,0.202147,354.5711,177.3463,335.6168,
0,1643555414650,Pelvis_Target,1.838399,1.091665,0.201963,354.5539,177.3584,335.5634,
0,1643555414761,Pelvis_Target,1.83825,1.091266,0.2022099,354.5284,177.3329,335.5691,
0,1643555414872,Pelvis_Target,1.838112,1.091671,0.2030254,354.516,177.3295,335.5154,
0,1643555414984,Pelvis_Target,1.837612,1.091721,0.2036445,354.4839,177.3291,335.555,
0,1643555415095,Pelvis_Target,1.837487,1.091607,0.2040547,354.4467,177.3129,335.5221,
0,1643555415206,Pelvis_Target,1.837096,1.091662,0.2046698,354.4207,177.2902,335.5298,
0,1643555415318,Pelvis_Target,1.836969,1.091923,0.2055375,354.4087,177.2768,335.5062,
0,1643555415429,Pelvis_Target,1.837045,1.09201,0.2059755,354.361,177.2652,335.4945,
0,1643555415540,Pelvis_Target,1.837363,1.091429,0.2058132,354.3309,177.2585,335.4856,
0,1643555415651,Pelvis_Target,1.837661,1.091958,0.2064315,354.3083,177.2417,335.4737,
0,1643555415761,Pelvis_Target,1.837913,1.092179,0.2067133,354.315,177.2108,335.4966,
0,1643555415872,Pelvis_Target,1.838335,1.092141,0.2067528,354.2832,177.1546,335.5407,
0,1643555415984,Pelvis_Target,1.839255,1.092009,0.2066405,354.2793,177.009,335.6131,
0,1643555416095,Pelvis_Target,1.840709,1.091935,0.206581,354.2503,176.8657,335.6243,
0,1643555416205,Pelvis_Target,1.842281,1.092203,0.2071781,354.2312,176.6627,335.5421,
0,1643555416317,Pelvis_Target,1.842892,1.092117,0.2075313,354.2365,176.3697,335.45,
0,1643555416428,Pelvis_Target,1.842575,1.091938,0.2080138,354.2049,176.2352,335.4999,
0,1643555416539,Pelvis_Target,1.842566,1.091756,0.2084728,354.1784,176.1148,335.532,
0,1643555416652,Pelvis_Target,1.84304,1.091158,0.2088835,354.1429,176.0358,335.5396,
0,1643555416761,Pelvis_Target,1.843425,1.090879,0.2097905,354.0967,175.9896,335.5685,
0,1643555416872,Pelvis_Target,1.843909,1.090687,0.2111444,354.039,175.9458,335.6182,
0,1643555416985,Pelvis_Target,1.844801,1.090886,0.2133525,353.9435,175.8407,335.707,
0,1643555417095,Pelvis_Target,1.846176,1.091335,0.2158953,353.864,175.6711,335.583,
0,1643555417206,Pelvis_Target,1.847106,1.091039,0.2179436,353.7982,175.5175,335.5568,
0,1643555417317,Pelvis_Target,1.847921,1.090712,0.2197473,353.6986,175.3971,335.6068,
0,1643555417428,Pelvis_Target,1.848673,1.090889,0.2217456,353.6471,175.3248,335.6622,
0,1643555417540,Pelvis_Target,1.849356,1.090719,0.2235581,353.5753,175.3981,335.8175,
0,1643555417652,Pelvis_Target,1.850542,1.090445,0.2249552,353.5414,175.4523,335.8751,
0,1643555417762,Pelvis_Target,1.851959,1.090738,0.2262919,353.5029,175.4214,335.9305,
0,1643555417873,Pelvis_Target,1.853852,1.090784,0.2278309,353.4573,175.416,336.0534,
0,1643555417984,Pelvis_Target,1.856178,1.090807,0.2292158,353.4529,175.209,336.3563,
0,1643555418095,Pelvis_Target,1.861168,1.090547,0.230557,353.3968,174.9826,336.5525,
0,1643555418205,Pelvis_Target,1.868456,1.091139,0.2320614,353.3288,174.8816,335.8607,
