pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643554231260,Head_Target,1.486108,1.823158,0.1962669,3.093131,182.4439,249.0153,
0,1643554231366,Head_Target,1.49096,1.825546,0.1973491,3.169063,181.8305,250.0087,
0,1643554231477,Head_Target,1.498672,1.82363,0.2025106,2.509135,180.4567,249.9937,
0,1643554231588,Head_Target,1.498572,1.82667,0.2046748,2.641392,181.9561,250.2295,
0,1643554231698,Head_Target,1.493371,1.83126,0.2054304,3.17349,181.5204,249.2398,
0,1643554231813,Head_Target,1.492172,1.835835,0.2075175,3.281753,181.1943,248.8019,
0,1643554231920,Head_Target,1.494649,1.833196,0.2123904,2.506153,180.8812,248.8771,
0,1643554232031,Head_Target,1.498151,1.82969,0.2177564,1.810946,180.7178,249.2955,
0,1643554232142,Head_Target,1.500859,1.829437,0.2205658,1.93705,181.4392,248.4294,
0,1643554232254,Head_Target,1.504967,1.827171,0.2224764,2.427209,181.4396,248.2984,
0,1643554232365,Head_Target,1.510341,1.823758,0.2234961,2.528239,181.291,248.2472,
0,1643554232477,Head_Target,1.51498,1.822334,0.2245386,2.773206,180.8636,247.7497,
0,1643554232588,Head_Target,1.521754,1.822113,0.2246438,2.945328,181.0437,246.9205,
0,1643554232699,Head_Target,1.532053,1.82027,0.2247978,2.835299,181.3793,247.0134,
0,1643554232810,Head_Target,1.544273,1.817407,0.2239834,2.880957,181.7106,246.9357,
0,1643554232921,Head_Target,1.558769,1.814078,0.2218146,2.936467,182.2608,247.0445,
0,1643554233033,Head_Target,1.572256,1.806648,0.2191846,3.105002,182.6004,247.5368,
0,1643554233143,Head_Target,1.583227,1.795818,0.2165653,3.365317,182.7373,248.1225,
0,1643554233255,Head_Target,1.586594,1.788154,0.2169483,3.921749,182.7344,247.5049,
0,1643554233367,Head_Target,1.590038,1.784144,0.2187787,3.353349,183.0567,246.5515,
0,1643554233478,Head_Target,1.597582,1.782025,0.2184626,3.336613,183.5718,246.8955,
0,1643554233587,Head_Target,1.602086,1.77884,0.2170224,3.147739,183.5634,247.607,
0,1643554233699,Head_Target,1.599731,1.776191,0.214375,2.733495,184.7607,247.4094,
0,1643554233812,Head_Target,1.593458,1.773773,0.2119507,2.978125,184.5105,246.5333,
0,1643554233932,Head_Target,1.587547,1.77255,0.2062111,2.982991,185.426,246.022,
0,1643554234033,Head_Target,1.584414,1.77418,0.2004669,3.134795,185.3463,246.4101,
0,1643554234168,Head_Target,1.581371,1.776388,0.1926332,3.195991,185.8967,247.2285,
0,1643554234300,Head_Target,1.579778,1.777368,0.184074,2.948909,186.9222,249.1961,
0,1643554234401,Head_Target,1.58023,1.777995,0.1770216,3.028362,187.2127,250.8151,
0,1643554234535,Head_Target,1.582098,1.777048,0.1667946,3.077595,187.2885,252.8203,
0,1643554234665,Head_Target,1.578603,1.768746,0.1594832,3.260979,187.4598,253.9376,
0,1643554234766,Head_Target,1.573532,1.769752,0.1618325,4.136476,187.5763,252.9193,
0,1643554234876,Head_Target,1.568116,1.771245,0.1743969,4.715974,186.9006,254.442,
0,1643554234988,Head_Target,1.555541,1.773129,0.1993077,4.761194,185.2867,255.7596,
0,1643554235099,Head_Target,1.545146,1.771886,0.2233986,5.612276,185.9667,254.6312,
0,1643554235209,Head_Target,1.537579,1.770911,0.2497233,5.073275,184.7314,253.8107,
