pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643554231260,Pelvis_Target,1.657682,1.158984,0.2225101,353.1269,172.7038,324.3354,
0,1643554231366,Pelvis_Target,1.654245,1.159264,0.2240015,353.2263,172.2381,324.4362,
0,1643554231477,Pelvis_Target,1.648544,1.15326,0.2255799,352.8781,171.507,325.1461,
0,1643554231588,Pelvis_Target,1.646916,1.156556,0.2265023,352.7245,171.0095,325.9744,
0,1643554231698,Pelvis_Target,1.649644,1.1617,0.2291322,352.7358,172.2421,325.6255,
0,1643554231813,Pelvis_Target,1.652319,1.167494,0.2299269,352.5883,172.2041,325.5,
0,1643554231920,Pelvis_Target,1.655459,1.165204,0.2311919,352.5904,171.5105,325.3647,
0,1643554232031,Pelvis_Target,1.660194,1.162381,0.2316427,352.4855,171.6722,325.3655,
0,1643554232142,Pelvis_Target,1.667015,1.162461,0.2341128,352.4575,172.2801,324.8049,
0,1643554232254,Pelvis_Target,1.67256,1.161093,0.2367355,352.4265,172.5585,324.8164,
0,1643554232365,Pelvis_Target,1.677356,1.157419,0.2398606,352.2066,172.209,325.0305,
0,1643554232477,Pelvis_Target,1.683414,1.156928,0.23979,352.3209,172.5521,325.3659,
0,1643554232588,Pelvis_Target,1.691249,1.156343,0.2404658,352.2842,172.7186,325.2274,
0,1643554232699,Pelvis_Target,1.69716,1.154434,0.239352,352.4105,172.7027,325.9337,
0,1643554232810,Pelvis_Target,1.704028,1.150026,0.2375876,352.5522,172.7295,326.6987,
0,1643554232921,Pelvis_Target,1.711641,1.14569,0.2359561,352.9093,172.7603,327.2444,
0,1643554233033,Pelvis_Target,1.721286,1.138035,0.2344092,352.9713,173.4714,327.7207,
0,1643554233143,Pelvis_Target,1.733355,1.12824,0.2307703,352.1982,174.3536,327.9051,
0,1643554233255,Pelvis_Target,1.749702,1.123622,0.2280779,351.5171,175.3971,327.4977,
0,1643554233367,Pelvis_Target,1.76304,1.120083,0.2239812,351.6157,175.623,327.1968,
0,1643554233478,Pelvis_Target,1.771832,1.117981,0.2225083,351.6667,175.6452,327.4209,
0,1643554233587,Pelvis_Target,1.777795,1.114622,0.2219243,352.587,175.7991,327.5271,
0,1643554233699,Pelvis_Target,1.784098,1.114447,0.2193933,353.0685,176.195,326.86,
0,1643554233812,Pelvis_Target,1.786386,1.114209,0.2140598,353.0115,176.7829,326.4434,
0,1643554233932,Pelvis_Target,1.782585,1.114692,0.2087742,353.3069,176.7858,326.5654,
0,1643554234033,Pelvis_Target,1.776463,1.115684,0.2043366,353.4948,177.156,326.7646,
0,1643554234168,Pelvis_Target,1.768224,1.117409,0.1972931,353.9603,177.6371,327.1066,
0,1643554234300,Pelvis_Target,1.762345,1.119241,0.1905485,354.3788,178.257,327.3011,
0,1643554234401,Pelvis_Target,1.759208,1.119959,0.1836118,354.7766,178.8794,327.5552,
0,1643554234535,Pelvis_Target,1.756492,1.118361,0.1691876,354.9846,179.1117,328.8633,
0,1643554234665,Pelvis_Target,1.762823,1.111997,0.1555939,354.0443,180.504,329.5685,
0,1643554234766,Pelvis_Target,1.759935,1.114218,0.1628534,354.431,180.2695,329.9669,
0,1643554234876,Pelvis_Target,1.746287,1.115586,0.1838433,353.9664,179.8994,329.2606,
0,1643554234988,Pelvis_Target,1.736917,1.119138,0.2091942,354.0688,181.151,328.7284,
