pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643558247360,BeamEnd_Target,-4.374089,0.2337722,0.07455226,271.0076,161.7359,15.13067,
0,1643558247466,BeamEnd_Target,-4.374084,0.2336437,0.07455508,271.0266,162.19,14.67176,
0,1643558247575,BeamEnd_Target,-4.374177,0.2338361,0.07449808,271.0157,162.0351,14.81856,
0,1643558247685,BeamEnd_Target,-4.37418,0.2341247,0.07427499,271.0228,162.0224,14.82957,
0,1643558247796,BeamEnd_Target,-4.374132,0.23375,0.07437961,271.0272,161.5302,15.31624,
0,1643558247908,BeamEnd_Target,-4.374092,0.2337403,0.07447214,271.0296,161.4961,15.35741,
0,1643558248020,BeamEnd_Target,-4.374125,0.2340114,0.07424019,271.0327,160.389,16.45807,
0,1643558248131,BeamEnd_Target,-4.374258,0.2336789,0.07466073,271.0316,160.7754,16.09447,
0,1643558248242,BeamEnd_Target,-4.374054,0.2340842,0.0744032,271.0425,160.8253,16.02648,
0,1643558248352,BeamEnd_Target,-4.374164,0.2338363,0.0745298,271.0381,160.9039,15.95743,
0,1643558248468,BeamEnd_Target,-4.374083,0.2338357,0.07454798,271.0308,161.6098,15.25683,
0,1643558248574,BeamEnd_Target,-4.374181,0.2339281,0.07449769,271.0355,161.4753,15.38736,
0,1643558248686,BeamEnd_Target,-4.374248,0.2339528,0.07462432,271.0427,161.2099,15.65853,
0,1643558248797,BeamEnd_Target,-4.374159,0.2337353,0.07455446,271.0447,160.6875,16.1593,
0,1643558248908,BeamEnd_Target,-4.374293,0.2338332,0.07447848,271.04,161.3344,15.51384,
0,1643558249019,BeamEnd_Target,-4.374324,0.2339273,0.07437373,271.0459,161.5762,15.27579,
0,1643558249130,BeamEnd_Target,-4.374182,0.2339087,0.07449375,271.0444,161.3555,15.50687,
0,1643558249242,BeamEnd_Target,-4.374107,0.2338316,0.07456211,271.0453,161.0865,15.77281,
