pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643560763221,LeftFoot_Target,1.714113,0.2325114,-0.0008426942,0.8606984,359.3576,0.1204528,
0,1643560763327,LeftFoot_Target,1.71414,0.2328817,-0.0008648038,0.8536189,359.3404,0.1136738,
0,1643560763438,LeftFoot_Target,1.714587,0.2327878,-0.0005494915,0.8599873,359.3531,0.1158194,
0,1643560763549,LeftFoot_Target,1.71448,0.2327494,-0.0008604825,0.8746347,359.3526,0.1285807,
0,1643560763659,LeftFoot_Target,1.714435,0.2327845,-0.0007845238,0.9451991,359.3617,0.0830675,
0,1643560763771,LeftFoot_Target,1.714474,0.2331723,-0.0007609986,0.979018,359.3541,0.06463843,
0,1643560763883,LeftFoot_Target,1.714493,0.2328753,-0.0007828362,0.9725106,359.3606,0.05714076,
0,1643560763993,LeftFoot_Target,1.714492,0.2330081,-0.0006083474,0.976133,359.3664,0.03097821,
0,1643560764103,LeftFoot_Target,1.71437,0.2326628,-0.0008378737,0.9458354,359.3694,0.01638987,
0,1643560764215,LeftFoot_Target,1.714352,0.2328053,-0.0007661134,0.9321343,359.3976,-0.004477299,
0,1643560764326,LeftFoot_Target,1.714356,0.2327264,-0.0009470731,0.9040881,359.3575,359.9741,
0,1643560764437,LeftFoot_Target,1.71445,0.2330908,-0.0006064512,0.893142,359.3769,359.9615,
0,1643560764550,LeftFoot_Target,1.714258,0.232723,-0.000888586,0.8889772,359.3585,359.972,
0,1643560764668,LeftFoot_Target,1.714344,0.2328285,-0.0007899702,0.8870316,359.3407,359.9832,
0,1643560764781,LeftFoot_Target,1.714268,0.2328589,-0.0007152669,0.8888547,359.3281,0.008298849,
0,1643560764882,LeftFoot_Target,1.71444,0.2328333,-0.0007818304,0.8284016,359.3375,0.002618052,
0,1643560765015,LeftFoot_Target,1.714118,0.2326539,-0.001024678,0.8543997,359.3349,359.9819,
0,1643560765115,LeftFoot_Target,1.71422,0.233006,-0.0007459857,0.8463443,359.322,0.01265904,
0,1643560765248,LeftFoot_Target,1.71416,0.2326432,-0.0007514581,0.8407631,359.315,0.03837135,
0,1643560765382,LeftFoot_Target,1.714208,0.2331135,-0.0004224256,0.857666,359.3187,0.05021726,
0,1643560765515,LeftFoot_Target,1.714195,0.2327035,-0.0008213148,0.8833008,359.3128,0.07534061,
0,1643560765626,LeftFoot_Target,1.714202,0.2326852,-0.0009160712,0.885403,359.3001,0.09456331,
0,1643560765737,LeftFoot_Target,1.713863,0.2326424,-0.0009935834,0.8745522,359.3054,0.1141061,
