pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643560763221,RightFoot_Target,1.718879,0.2263287,0.1877784,0.1495375,14.78358,354.5199,
0,1643560763327,RightFoot_Target,1.718803,0.2263191,0.188006,0.1881725,14.73493,354.4846,
0,1643560763438,RightFoot_Target,1.719081,0.2260203,0.1880417,0.2813134,14.72733,354.4415,
0,1643560763549,RightFoot_Target,1.719254,0.225878,0.1879462,0.3779328,14.68249,354.3928,
0,1643560763659,RightFoot_Target,1.719298,0.2260658,0.1880317,0.4084041,14.65773,354.3436,
0,1643560763771,RightFoot_Target,1.719417,0.225926,0.1879273,0.4319412,14.66319,354.3664,
0,1643560763883,RightFoot_Target,1.71953,0.2262606,0.188154,0.428332,14.64478,354.3945,
0,1643560763993,RightFoot_Target,1.719716,0.2259713,0.1880555,0.3897959,14.66865,354.4055,
0,1643560764103,RightFoot_Target,1.719663,0.2258316,0.1878036,0.3887667,14.66096,354.4032,
0,1643560764215,RightFoot_Target,1.719842,0.2261431,0.188256,0.3330611,14.68358,354.3882,
0,1643560764326,RightFoot_Target,1.720024,0.2261218,0.1878442,0.3242441,14.66718,354.3153,
0,1643560764437,RightFoot_Target,1.720123,0.2261002,0.1878611,0.2800262,14.6761,354.2983,
0,1643560764550,RightFoot_Target,1.720076,0.2261179,0.1878919,0.2518993,14.69145,354.3004,
0,1643560764668,RightFoot_Target,1.720308,0.2256013,0.187675,0.2226036,14.68385,354.3141,
0,1643560764781,RightFoot_Target,1.720421,0.2253749,0.1876618,0.2251735,14.70367,354.35,
0,1643560764882,RightFoot_Target,1.72029,0.2257749,0.1877577,0.2653375,14.70586,354.3721,
0,1643560765015,RightFoot_Target,1.720474,0.2254512,0.1878865,0.2647361,14.68883,354.3709,
0,1643560765115,RightFoot_Target,1.72051,0.225632,0.1878418,0.2722715,14.71481,354.3633,
0,1643560765248,RightFoot_Target,1.720706,0.2252952,0.1877576,0.3140372,14.70011,354.3952,
0,1643560765382,RightFoot_Target,1.720488,0.225291,0.1876094,0.2964826,14.72908,354.4606,
0,1643560765515,RightFoot_Target,1.720561,0.2249664,0.18762,0.3290244,14.72034,354.4772,
0,1643560765626,RightFoot_Target,1.720527,0.2250039,0.1876095,0.342676,14.71953,354.4574,
0,1643560765737,RightFoot_Target,1.720416,0.2249303,0.1875312,0.3178658,14.71458,354.4548,
0,1643560765849,RightFoot_Target,1.720626,0.2250797,0.187624,0.3295168,14.71484,354.4445,
0,1643560765962,RightFoot_Target,1.720609,0.2252555,0.187399,0.3034621,14.73158,354.4533,
