pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643568051118,Head_Target,1.949431,1.792835,0.05260194,359.341,174.8745,258.2122,
0,1643568051219,Head_Target,1.947077,1.792228,0.05151462,359.715,174.6045,258.8799,
0,1643568051333,Head_Target,1.945148,1.791846,0.05059098,0.1663139,174.9176,258.5156,
0,1643568051444,Head_Target,1.944356,1.791897,0.04928306,0.6246738,175.9217,257.1203,
0,1643568051555,Head_Target,1.94564,1.792543,0.04773292,0.6909443,176.9943,255.7227,
0,1643568051668,Head_Target,1.9462,1.792481,0.04698363,1.203687,177.7828,255.6979,
0,1643568051777,Head_Target,1.947222,1.792203,0.04684355,1.352725,177.9757,256.8867,
0,1643568051888,Head_Target,1.948999,1.790933,0.04740871,1.099955,177.7878,257.9279,
0,1643568051999,Head_Target,1.950766,1.790083,0.04744188,0.5354308,177.7139,259.0364,
0,1643568052110,Head_Target,1.952442,1.788841,0.04671454,0.291342,177.7878,259.9154,
0,1643568052221,Head_Target,1.955257,1.788061,0.04643667,0.03925758,177.3882,260.507,
0,1643568052332,Head_Target,1.958574,1.788135,0.0471368,0.2121824,176.7942,260.472,
0,1643568052445,Head_Target,1.960602,1.788534,0.0484564,0.05974987,176.4447,260.0162,
0,1643568052555,Head_Target,1.961327,1.789136,0.04961009,359.6474,176.8253,259.6007,
0,1643568052670,Head_Target,1.961348,1.789735,0.05145678,359.483,177.1843,259.0958,
0,1643568052777,Head_Target,1.95972,1.789958,0.0547694,359.465,177.1683,258.6136,
0,1643568052890,Head_Target,1.955998,1.790102,0.06183394,0.05881755,177.1994,258.0849,
0,1643568053000,Head_Target,1.948594,1.790254,0.07474138,0.5746866,176.3674,257.9357,
0,1643568053112,Head_Target,1.9364,1.789466,0.09127042,0.7020511,175.3078,257.9611,
0,1643568053221,Head_Target,1.922958,1.788105,0.0990301,359.8176,175.5589,257.2769,
0,1643568053335,Head_Target,1.913856,1.793571,0.09494163,359.3669,176.2925,257.434,
0,1643568053455,Head_Target,1.902198,1.794237,0.0716686,358.3968,178.3653,257.6629,
0,1643568053558,Head_Target,1.894966,1.794751,0.05188671,358.7851,179.8883,257.9546,
0,1643568053667,Head_Target,1.884571,1.795646,0.03736813,359.6576,180.0302,257.7513,
0,1643568053777,Head_Target,1.876964,1.798954,0.03429813,359.9636,179.3189,257.5068,
0,1643568053889,Head_Target,1.873399,1.795977,0.04275372,359.9903,178.1847,257.4409,
0,1643568054000,Head_Target,1.870843,1.797634,0.06143855,359.8578,176.2545,257.9221,
0,1643568054111,Head_Target,1.864549,1.798101,0.07985738,358.945,175.9814,258.7859,
0,1643568054222,Head_Target,1.861465,1.790355,0.09796135,358.929,176.3427,258.4749,
0,1643568054334,Head_Target,1.858527,1.790592,0.1077804,358.3336,176.9619,257.4467,
0,1643568054447,Head_Target,1.856252,1.794681,0.1134849,359.3137,177.1862,257.5806,
0,1643568054556,Head_Target,1.853509,1.795281,0.1168343,359.3485,176.2098,257.2435,
0,1643568054666,Head_Target,1.853412,1.79454,0.1174315,359.8638,176.4264,256.6172,
0,1643568054778,Head_Target,1.856367,1.792694,0.115864,359.6762,176.3502,256.9811,
0,1643568054890,Head_Target,1.858943,1.790281,0.1114926,359.6313,176.6845,258.1602,
0,1643568055000,Head_Target,1.855489,1.793438,0.1036476,359.6413,177.5806,259.7347,
0,1643568055111,Head_Target,1.849917,1.796111,0.09675276,0.7414473,178.5562,260.7034,
0,1643568055223,Head_Target,1.838315,1.795754,0.08463255,359.5122,178.8695,261.8347,
0,1643568055332,Head_Target,1.836653,1.797996,0.06843627,358.9744,180.4343,261.0837,
0,1643568055445,Head_Target,1.832438,1.797667,0.05972259,358.9149,180.3528,261.8379,
0,1643568055555,Head_Target,1.827834,1.799176,0.05543599,358.9593,180.1934,260.6549,
0,1643568055676,Head_Target,1.827676,1.801015,0.0529935,359.2613,180.4582,260.0823,
