pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643568051118,LeftHand_Target,1.817562,1.077794,-0.1925948,14.69122,119.5008,101.1242,
0,1643568051219,LeftHand_Target,1.824355,1.073436,-0.1918452,11.94876,120.8393,99.38804,
0,1643568051333,LeftHand_Target,1.83287,1.069243,-0.1901828,11.32421,119.2621,98.21488,
0,1643568051444,LeftHand_Target,1.836743,1.06828,-0.1882792,11.76771,117.7188,98.26768,
0,1643568051555,LeftHand_Target,1.832172,1.066963,-0.1860976,11.02376,121.0307,97.84888,
0,1643568051668,LeftHand_Target,1.822423,1.066613,-0.1835371,10.90581,126.6033,97.9444,
0,1643568051777,LeftHand_Target,1.810779,1.068702,-0.1793834,11.52336,124.8247,97.96128,
0,1643568051888,LeftHand_Target,1.799188,1.070815,-0.1716678,11.85372,128.3574,96.74591,
0,1643568051999,LeftHand_Target,1.794177,1.073906,-0.1648517,12.08038,132.2228,93.67244,
0,1643568052110,LeftHand_Target,1.799932,1.072286,-0.1630451,12.06625,133.1576,91.85006,
0,1643568052221,LeftHand_Target,1.810101,1.068574,-0.1691891,10.63534,124.7414,89.51325,
0,1643568052332,LeftHand_Target,1.820151,1.066991,-0.1753307,9.567988,126.9489,91.59168,
0,1643568052445,LeftHand_Target,1.824969,1.069867,-0.1830117,7.028533,127.1826,89.89764,
0,1643568052555,LeftHand_Target,1.832738,1.070826,-0.1871016,7.382764,127.5836,89.6729,
0,1643568052670,LeftHand_Target,1.83706,1.071616,-0.1853569,7.548216,128.5278,90.35675,
0,1643568052777,LeftHand_Target,1.840324,1.070315,-0.1801724,8.10855,129.9447,91.89191,
0,1643568052890,LeftHand_Target,1.840521,1.068281,-0.1711431,8.044398,130.0062,92.44022,
0,1643568053000,LeftHand_Target,1.838134,1.066383,-0.1564762,7.646146,129.91,93.56715,
0,1643568053112,LeftHand_Target,1.831595,1.066156,-0.1386484,9.730718,123.4448,97.6593,
0,1643568053221,LeftHand_Target,1.813465,1.069465,-0.1299804,13.71364,110.641,99.79053,
