pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643568051118,Pelvis_Target,1.92387,1.094346,0.04105065,4.528146,199.1979,318.8147,
0,1643568051219,Pelvis_Target,1.921896,1.094488,0.04161482,4.396234,198.2802,318.6948,
0,1643568051333,Pelvis_Target,1.919055,1.094486,0.04271367,4.250084,197.8399,318.9229,
0,1643568051444,Pelvis_Target,1.91632,1.093809,0.04448634,4.0974,198.0202,319.2974,
0,1643568051555,Pelvis_Target,1.914141,1.093974,0.04534458,4.013642,199.263,319.7089,
0,1643568051668,Pelvis_Target,1.914216,1.09416,0.04598971,4.139293,200.2967,319.5079,
0,1643568051777,Pelvis_Target,1.914955,1.094388,0.04623908,4.230534,200.5393,319.2954,
0,1643568051888,Pelvis_Target,1.913795,1.094033,0.04677819,4.080358,200.3466,319.7616,
0,1643568051999,Pelvis_Target,1.912684,1.093682,0.04669333,3.822469,199.8328,320.1722,
0,1643568052110,Pelvis_Target,1.911376,1.09344,0.04558658,3.443206,199.6066,320.7692,
0,1643568052221,Pelvis_Target,1.912067,1.093103,0.04499923,3.410959,199.4227,320.9652,
0,1643568052332,Pelvis_Target,1.914756,1.093051,0.04448175,3.431377,199.6458,321.0385,
0,1643568052445,Pelvis_Target,1.918605,1.092782,0.04406419,3.363151,199.7705,321.1909,
0,1643568052555,Pelvis_Target,1.923893,1.092879,0.04455595,3.555273,199.7146,321.3022,
0,1643568052670,Pelvis_Target,1.929269,1.092851,0.04779948,4.046024,200.1646,321.485,
0,1643568052777,Pelvis_Target,1.933937,1.092806,0.05532964,4.449934,200.7897,321.5621,
0,1643568052890,Pelvis_Target,1.934963,1.092843,0.06623326,4.443087,201.651,321.324,
0,1643568053000,Pelvis_Target,1.931957,1.093275,0.07864596,3.788049,202.1383,321.2025,
0,1643568053112,Pelvis_Target,1.934145,1.092395,0.0847517,3.008018,200.6382,319.4911,
0,1643568053221,Pelvis_Target,1.92538,1.091882,0.08819231,3.669633,201.9782,321.7328,
0,1643568053335,Pelvis_Target,1.918192,1.096436,0.07484089,3.551423,202.7265,319.5905,
0,1643568053455,Pelvis_Target,1.905228,1.097297,0.0556152,4.146968,204.208,319.2608,
0,1643568053558,Pelvis_Target,1.910319,1.09651,0.04603928,5.794522,205.7077,316.3822,
0,1643568053667,Pelvis_Target,1.90972,1.099469,0.04326575,6.344149,204.8386,316.1093,
0,1643568053777,Pelvis_Target,1.913176,1.101297,0.04856408,8.10701,204.5142,314.805,
0,1643568053889,Pelvis_Target,1.906472,1.100322,0.05727357,7.727342,203.0617,314.8378,
0,1643568054000,Pelvis_Target,1.889707,1.099961,0.06396082,6.060776,202.9822,316.326,
0,1643568054111,Pelvis_Target,1.879174,1.102256,0.08292019,5.63225,203.8665,317.0729,
0,1643568054222,Pelvis_Target,1.874815,1.093583,0.1001931,6.542963,201.9424,317.9844,
0,1643568054334,Pelvis_Target,1.871538,1.093057,0.1118977,5.996104,204.0432,318.6967,
0,1643568054447,Pelvis_Target,1.870293,1.097488,0.1139069,4.47178,203.5515,317.3407,
0,1643568054556,Pelvis_Target,1.87279,1.098768,0.1180107,4.67486,203.6346,316.9511,
0,1643568054666,Pelvis_Target,1.873153,1.09841,0.1199052,4.277982,203.4246,317.1619,
0,1643568054778,Pelvis_Target,1.87077,1.096045,0.1193202,4.302023,203.5164,317.2648,
0,1643568054890,Pelvis_Target,1.86147,1.093392,0.1161909,4.78747,203.1448,318.02,
0,1643568055000,Pelvis_Target,1.845048,1.097576,0.1092974,3.23032,204.4503,319.1248,
0,1643568055111,Pelvis_Target,1.844968,1.101022,0.09384135,3.156788,202.1201,315.6347,
0,1643568055223,Pelvis_Target,1.834556,1.10056,0.08259733,3.503007,202.3857,316.8468,
0,1643568055332,Pelvis_Target,1.815328,1.101752,0.07265846,3.92908,201.1537,318.3352,
0,1643568055445,Pelvis_Target,1.810089,1.099679,0.06222962,5.564362,200.2944,317.1396,
0,1643568055555,Pelvis_Target,1.809535,1.10037,0.05350429,6.154847,200.4565,316.9653,
0,1643568055676,Pelvis_Target,1.813882,1.10154,0.04874408,6.671986,201.313,316.1517,
0,1643568055779,Pelvis_Target,1.815146,1.097564,0.04746693,6.167192,202.1499,317.6912,
0,1643568055889,Pelvis_Target,1.815051,1.097287,0.04664758,5.928779,202.973,318.0282,
0,1643568055999,Pelvis_Target,1.816211,1.096188,0.04641263,5.984475,203.8708,318.7349,
0,1643568056116,Pelvis_Target,1.821248,1.095899,0.04872006,6.124313,204.6645,318.9094,
0,1643568056222,Pelvis_Target,1.828897,1.09662,0.05428794,7.343947,206.1775,318.3529,
0,1643568056333,Pelvis_Target,1.833563,1.096529,0.05884208,6.84475,206.496,316.9165,
0,1643568056444,Pelvis_Target,1.82843,1.098741,0.07058567,6.559292,205.7721,318.006,
0,1643568056555,Pelvis_Target,1.824687,1.09884,0.08032888,5.16713,206.2048,318.729,
0,1643568056669,Pelvis_Target,1.827894,1.099538,0.08069216,3.048446,205.1717,317.2246,
0,1643568056780,Pelvis_Target,1.821335,1.098831,0.0824244,3.427665,208.9346,319.0687,
0,1643568056889,Pelvis_Target,1.819862,1.095668,0.08657308,4.778608,208.0441,319.4957,
0,1643568057000,Pelvis_Target,1.815998,1.096187,0.08509009,3.777528,206.9992,319.3196,
0,1643568057111,Pelvis_Target,1.812549,1.095537,0.08773068,3.794522,205.505,319.8552,
0,1643568057224,Pelvis_Target,1.811185,1.095667,0.08894216,3.467643,203.75,319.6909,
0,1643568057333,Pelvis_Target,1.81155,1.095963,0.08806069,3.159235,203.613,319.3755,
0,1643568057445,Pelvis_Target,1.814546,1.097062,0.08755511,3.195919,202.9787,318.7126,
0,1643568057554,Pelvis_Target,1.816381,1.097524,0.08660311,3.160068,202.7068,318.6014,
0,1643568057666,Pelvis_Target,1.816567,1.097,0.08564383,3.164397,202.9358,318.6699,
0,1643568057789,Pelvis_Target,1.816913,1.096724,0.08404982,3.041293,202.5625,319.0564,
0,1643568057911,Pelvis_Target,1.818626,1.095891,0.08223775,3.307865,202.6589,318.7593,
0,1643568058021,Pelvis_Target,1.818996,1.096106,0.08034284,3.418729,202.2546,318.9242,
0,1643568058145,Pelvis_Target,1.819795,1.095884,0.07751746,3.764889,202.3208,318.818,
0,1643568058255,Pelvis_Target,1.81835,1.09558,0.07416469,3.920587,202.5445,318.9326,
0,1643568058366,Pelvis_Target,1.814048,1.095027,0.07157105,4.200549,202.787,319.329,
0,1643568058480,Pelvis_Target,1.807212,1.093409,0.0698339,4.498047,203.297,319.6972,
0,1643568058589,Pelvis_Target,1.801323,1.091166,0.06740795,4.354297,203.6008,320.4078,
0,1643568058700,Pelvis_Target,1.798823,1.093156,0.06899737,4.368262,203.45,320.2773,
0,1643568058813,Pelvis_Target,1.800625,1.092029,0.06685838,4.326886,202.9825,319.6917,
0,1643568058924,Pelvis_Target,1.800183,1.093913,0.06519175,4.17664,202.7421,319.3991,
0,1643568059035,Pelvis_Target,1.800344,1.093342,0.0637707,4.340779,202.4644,319.1238,
0,1643568059144,Pelvis_Target,1.798047,1.092919,0.06240131,4.198052,202.3824,319.3332,
0,1643568059256,Pelvis_Target,1.796633,1.092396,0.06221928,4.459868,202.5619,319.3068,
0,1643568059366,Pelvis_Target,1.795118,1.092679,0.0627211,4.470803,201.9455,319.4188,
0,1643568059476,Pelvis_Target,1.792258,1.092142,0.06264433,4.365257,201.7348,319.5615,
0,1643568059588,Pelvis_Target,1.790583,1.092047,0.06330089,4.316845,201.9499,319.6142,
0,1643568059699,Pelvis_Target,1.788908,1.091322,0.06244728,4.294394,201.8056,319.7652,
0,1643568059811,Pelvis_Target,1.788389,1.092113,0.06260161,4.293625,201.7238,319.7545,
0,1643568059921,Pelvis_Target,1.789879,1.09156,0.06143461,4.389179,201.469,319.8187,
0,1643568060035,Pelvis_Target,1.791993,1.091348,0.0624952,4.726365,201.6992,319.4793,
0,1643568060144,Pelvis_Target,1.793893,1.091592,0.06294267,4.942086,201.9097,319.3186,
0,1643568060255,Pelvis_Target,1.795117,1.092967,0.06407782,4.880005,202.3264,319.2555,
0,1643568060366,Pelvis_Target,1.796288,1.092479,0.06310339,4.710975,202.4087,319.2119,
0,1643568060478,Pelvis_Target,1.796597,1.092333,0.06333368,4.704617,202.8614,319.3087,
0,1643568060588,Pelvis_Target,1.796751,1.091681,0.06364518,4.71665,202.8444,319.5618,
0,1643568060699,Pelvis_Target,1.796421,1.091331,0.06444331,4.637125,202.9299,319.8088,
0,1643568060811,Pelvis_Target,1.796097,1.090963,0.06508343,4.389846,202.9265,320.3307,
0,1643568060922,Pelvis_Target,1.797546,1.090763,0.06604882,4.312352,202.526,320.3707,
0,1643568061033,Pelvis_Target,1.799561,1.091016,0.06641205,4.284636,201.9446,320.1721,
0,1643568061147,Pelvis_Target,1.802117,1.091449,0.06748635,4.301456,201.6696,319.7094,
0,1643568061255,Pelvis_Target,1.80418,1.091698,0.06859212,4.389871,201.5111,319.1034,
0,1643568061367,Pelvis_Target,1.803682,1.09201,0.06828907,4.134647,201.7032,319.125,
0,1643568061478,Pelvis_Target,1.801414,1.092348,0.06883769,4.1795,201.5813,318.9173,
0,1643568061588,Pelvis_Target,1.797719,1.091481,0.06857635,3.946199,201.3728,319.2055,
0,1643568061699,Pelvis_Target,1.794161,1.091804,0.0692098,3.918581,201.1544,319.2324,
0,1643568061811,Pelvis_Target,1.791367,1.091237,0.06821635,3.990813,201.2444,319.1191,
0,1643568061922,Pelvis_Target,1.789444,1.091445,0.06703638,4.072767,201.3701,318.9178,
0,1643568062033,Pelvis_Target,1.788997,1.091553,0.06637201,4.307449,201.4126,318.9525,
0,1643568062153,Pelvis_Target,1.792027,1.091423,0.06516975,4.544146,201.0918,318.7662,
0,1643568062260,Pelvis_Target,1.791946,1.091639,0.06291264,4.468635,201.1877,318.9526,
0,1643568062377,Pelvis_Target,1.793802,1.091923,0.060444,4.656783,201.3258,319.1107,
0,1643568062478,Pelvis_Target,1.796139,1.091515,0.06005348,4.862405,201.3873,319.3524,
0,1643568062610,Pelvis_Target,1.799113,1.092264,0.06006315,5.047864,201.1174,319.3114,
0,1643568062743,Pelvis_Target,1.801094,1.092443,0.06030773,5.066423,201.0814,319.2676,
0,1643568062879,Pelvis_Target,1.802263,1.091863,0.06120318,4.85878,201.0935,319.5475,
0,1643568063014,Pelvis_Target,1.802245,1.092048,0.06103213,4.624357,201.293,319.6956,
0,1643568063133,Pelvis_Target,1.803839,1.09274,0.06441101,4.507237,200.9929,319.6135,
0,1643568063244,Pelvis_Target,1.804506,1.092618,0.06533237,4.221407,201.1855,319.4965,
0,1643568063355,Pelvis_Target,1.804358,1.093996,0.06779519,4.072392,201.3837,319.7973,
0,1643568063466,Pelvis_Target,1.805541,1.091258,0.0672738,3.866976,201.3596,319.865,
0,1643568063577,Pelvis_Target,1.80838,1.09149,0.0683106,3.856467,201.5672,319.6014,
0,1643568063688,Pelvis_Target,1.809182,1.091862,0.06926677,3.787707,201.4952,319.7681,
0,1643568063800,Pelvis_Target,1.809425,1.091718,0.06936999,3.646009,201.5995,319.9493,
0,1643568063911,Pelvis_Target,1.809183,1.09172,0.06941083,3.670452,201.6812,320.0357,
0,1643568064021,Pelvis_Target,1.809042,1.091588,0.06925692,3.707121,201.6294,320.1976,
0,1643568064135,Pelvis_Target,1.808069,1.091415,0.06905629,3.670869,201.6795,320.4257,
0,1643568064245,Pelvis_Target,1.80747,1.091635,0.0702122,3.73983,201.5134,320.5912,
0,1643568064359,Pelvis_Target,1.807413,1.09133,0.07097064,3.762501,201.4937,320.4932,
0,1643568064468,Pelvis_Target,1.808354,1.091976,0.07261147,3.788987,201.4338,320.3002,
