pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643569254963,Head_Target,1.826712,1.921157,0.1942543,0.2646334,174.161,257.471,
0,1643569255069,Head_Target,1.827511,1.921127,0.1940754,0.3677634,174.5439,257.6001,
0,1643569255179,Head_Target,1.830031,1.921525,0.1932934,0.3854725,174.7351,257.4683,
0,1643569255289,Head_Target,1.830868,1.921341,0.1924859,0.4142727,174.8032,257.8926,
0,1643569255400,Head_Target,1.83165,1.921045,0.1920731,0.4233513,174.7262,257.932,
0,1643569255514,Head_Target,1.832144,1.921026,0.1920978,0.5572225,174.7119,257.8515,
0,1643569255629,Head_Target,1.832183,1.921225,0.1924589,0.5333394,174.721,257.5405,
0,1643569255727,Head_Target,1.831716,1.921454,0.1925279,0.493505,174.9095,257.3062,
0,1643569255845,Head_Target,1.831066,1.921584,0.1928813,0.5849027,174.8908,257.3019,
0,1643569255957,Head_Target,1.830678,1.921646,0.1932368,0.5581539,174.9251,257.1805,
0,1643569256079,Head_Target,1.830477,1.921836,0.1939958,0.5358114,174.8141,257.4342,
0,1643569256213,Head_Target,1.830392,1.921927,0.1955812,0.5668402,174.7086,257.4544,
0,1643569256345,Head_Target,1.829303,1.92149,0.1964501,0.3639647,174.8913,257.5027,
0,1643569256478,Head_Target,1.827523,1.921256,0.1966789,0.2144898,175.0863,256.9583,
0,1643569256580,Head_Target,1.825498,1.920583,0.1950443,359.8694,174.997,255.7173,
0,1643569256683,Head_Target,1.826045,1.920947,0.1936872,359.7887,175.1413,252.2988,
0,1643569256790,Head_Target,1.823766,1.92104,0.192101,359.8414,176.2458,251.2848,
0,1643569256901,Head_Target,1.822131,1.922142,0.1886994,359.6097,177.8293,251.3415,
0,1643569257011,Head_Target,1.821154,1.922588,0.1848257,0.02773092,179.3451,251.6371,
0,1643569257123,Head_Target,1.823107,1.923782,0.1809918,359.8921,179.866,251.8629,
0,1643569257234,Head_Target,1.824792,1.92311,0.1782292,0.2986971,179.9594,253.1575,
0,1643569257346,Head_Target,1.826683,1.922562,0.174941,0.2398704,180.134,253.5916,
0,1643569257446,Head_Target,1.827781,1.92272,0.1727787,359.9647,179.8238,253.6705,
0,1643569257579,Head_Target,1.827481,1.923245,0.1711494,359.8404,179.4943,253.9278,
0,1643569257679,Head_Target,1.827691,1.924118,0.1711214,359.8751,179.0961,254.0212,
0,1643569257815,Head_Target,1.825552,1.924562,0.1728871,359.6114,178.0064,254.6625,
0,1643569257945,Head_Target,1.821466,1.925083,0.1750522,359.016,177.0167,255.5053,
