pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643569181395,BeamEnd_Target,-4.42696,0.3243784,-0.04240681,272.8999,149.7425,28.78824,
0,1643569181496,BeamEnd_Target,-4.426915,0.3243527,-0.04237013,272.9117,149.6515,28.87082,
0,1643569181607,BeamEnd_Target,-4.427019,0.3243313,-0.04243615,272.8977,149.7992,28.74163,
0,1643569181707,BeamEnd_Target,-4.426974,0.324232,-0.04244564,272.8999,149.7791,28.75234,
0,1643569181840,BeamEnd_Target,-4.426974,0.3242713,-0.04243088,272.9113,149.9661,28.56705,
0,1643569181941,BeamEnd_Target,-4.426896,0.3242484,-0.04246371,272.907,149.8748,28.64816,
0,1643569182073,BeamEnd_Target,-4.427008,0.3243079,-0.04241002,272.9034,149.7806,28.75365,
0,1643569182173,BeamEnd_Target,-4.426903,0.3244261,-0.04241389,272.9122,149.6686,28.87089,
0,1643569182306,BeamEnd_Target,-4.427037,0.3241554,-0.04231006,272.8942,149.7645,28.7613,
0,1643569182417,BeamEnd_Target,-4.427022,0.3243558,-0.04241133,272.9047,149.6607,28.87259,
0,1643569182531,BeamEnd_Target,-4.426969,0.3244544,-0.04231958,272.9078,149.3625,29.17103,
0,1643569182641,BeamEnd_Target,-4.426868,0.3241482,-0.04246274,272.9121,149.3668,29.16282,
0,1643569182751,BeamEnd_Target,-4.426833,0.3244266,-0.04248621,272.9078,149.3809,29.15574,
0,1643569182862,BeamEnd_Target,-4.427031,0.3244108,-0.04246343,272.9033,149.2972,29.23187,
0,1643569182974,BeamEnd_Target,-4.42685,0.3243583,-0.04226089,272.9105,149.0141,29.54021,
0,1643569183085,BeamEnd_Target,-4.426867,0.3244177,-0.04246892,272.923,149.1718,29.37186,
0,1643569183196,BeamEnd_Target,-4.426964,0.3243863,-0.04238095,272.9017,149.5612,28.97828,
0,1643569183307,BeamEnd_Target,-4.426814,0.3244756,-0.04235239,272.9043,149.6643,28.87388,
0,1643569183418,BeamEnd_Target,-4.42693,0.3241187,-0.04213738,272.897,149.6126,28.93139,
0,1643569183529,BeamEnd_Target,-4.426771,0.3244076,-0.04236739,272.9004,149.7802,28.76778,
0,1643569183641,BeamEnd_Target,-4.426919,0.3245758,-0.04241431,272.9014,149.5521,28.98654,
0,1643569183752,BeamEnd_Target,-4.427062,0.3243503,-0.04241862,272.8969,149.8433,28.68821,
0,1643569183862,BeamEnd_Target,-4.426916,0.3244683,-0.04244109,272.9121,149.6705,28.85546,
0,1643569183974,BeamEnd_Target,-4.426846,0.3243186,-0.04238798,272.9187,150.0473,28.48567,
0,1643569184085,BeamEnd_Target,-4.427006,0.324497,-0.04257055,272.9087,149.9189,28.61213,
0,1643569184196,BeamEnd_Target,-4.426875,0.3245476,-0.04233181,272.9083,150.0513,28.48991,
0,1643569184307,BeamEnd_Target,-4.427001,0.3243629,-0.04247327,272.9081,150.0634,28.46491,
0,1643569184418,BeamEnd_Target,-4.427003,0.3244374,-0.04237027,272.9041,150.0567,28.47099,
0,1643569184543,BeamEnd_Target,-4.427027,0.3242038,-0.04229391,272.9105,150.0408,28.49087,
0,1643569184664,BeamEnd_Target,-4.426995,0.324472,-0.04255016,272.9094,149.6195,28.91057,
0,1643569184797,BeamEnd_Target,-4.426838,0.3245707,-0.04254606,272.9076,149.5854,28.95286,
0,1643569184930,BeamEnd_Target,-4.426962,0.3245138,-0.0423435,272.9064,149.7382,28.80272,
0,1643569185065,BeamEnd_Target,-4.426893,0.3244686,-0.04249178,272.9077,149.7747,28.76179,
0,1643569185196,BeamEnd_Target,-4.426925,0.3246357,-0.04232095,272.9131,149.8009,28.73364,
0,1643569185297,BeamEnd_Target,-4.427022,0.324446,-0.04248034,272.9136,149.8503,28.67676,
0,1643569185429,BeamEnd_Target,-4.426971,0.3245756,-0.04252751,272.9179,149.7346,28.79272,
0,1643569185539,BeamEnd_Target,-4.426947,0.3242293,-0.0423927,272.917,149.9163,28.61142,
0,1643569185653,BeamEnd_Target,-4.427034,0.3243039,-0.04220936,272.9105,149.6677,28.86156,
0,1643569185764,BeamEnd_Target,-4.426872,0.324417,-0.04246738,272.9099,149.8857,28.65636,
0,1643569185874,BeamEnd_Target,-4.42694,0.324259,-0.04238892,272.9044,150.1275,28.40862,
0,1643569185985,BeamEnd_Target,-4.426859,0.3243917,-0.0424774,272.9042,150.0114,28.52831,
0,1643569186096,BeamEnd_Target,-4.427096,0.3245485,-0.04257451,272.9048,149.6643,28.86388,
0,1643569186207,BeamEnd_Target,-4.426869,0.3245076,-0.04245451,272.8988,149.7682,28.76443,
0,1643569186317,BeamEnd_Target,-4.426993,0.3243995,-0.04242522,272.8991,149.644,28.89289,
0,1643569186430,BeamEnd_Target,-4.427011,0.3244268,-0.04238482,272.913,149.8054,28.72979,
0,1643569186540,BeamEnd_Target,-4.427067,0.3242896,-0.04249433,272.9043,149.7527,28.77607,
0,1643569186652,BeamEnd_Target,-4.42709,0.3243028,-0.04233994,272.8926,149.7825,28.73974,
0,1643569186764,BeamEnd_Target,-4.426972,0.3240147,-0.04235949,272.9008,149.6964,28.82719,
0,1643569186875,BeamEnd_Target,-4.427058,0.3244099,-0.04252314,272.9074,149.9889,28.53028,
0,1643569186987,BeamEnd_Target,-4.426992,0.3244607,-0.04229461,272.9001,149.9948,28.54495,
0,1643569187096,BeamEnd_Target,-4.42702,0.3243097,-0.04250026,272.9107,149.9269,28.60905,
0,1643569187207,BeamEnd_Target,-4.426864,0.324277,-0.04243127,272.8962,150.0087,28.52729,
0,1643569187318,BeamEnd_Target,-4.427,0.3244584,-0.04242708,272.9117,149.7844,28.7494,
0,1643569187430,BeamEnd_Target,-4.42696,0.324422,-0.04244731,272.901,149.8969,28.64878,
0,1643569187541,BeamEnd_Target,-4.42679,0.3242886,-0.04235416,272.9048,149.9527,28.58835,
0,1643569187652,BeamEnd_Target,-4.426968,0.3243175,-0.04253101,272.9077,150.046,28.49966,
0,1643569187765,BeamEnd_Target,-4.426877,0.324413,-0.04233292,272.9052,149.9513,28.58363,
0,1643569187876,BeamEnd_Target,-4.426948,0.3244517,-0.04257701,272.9199,149.9418,28.58237,
0,1643569187986,BeamEnd_Target,-4.426931,0.3241887,-0.04241561,272.9077,149.7676,28.76112,
0,1643569188098,BeamEnd_Target,-4.426978,0.3244455,-0.04243969,272.9091,149.5876,28.94366,
0,1643569188208,BeamEnd_Target,-4.426911,0.3244515,-0.04233089,272.9145,149.7218,28.81141,
0,1643569188321,BeamEnd_Target,-4.426893,0.3243355,-0.0425668,272.9102,149.6927,28.84222,
0,1643569188430,BeamEnd_Target,-4.426842,0.3239557,-0.04248382,272.8959,149.8723,28.66419,
0,1643569188540,BeamEnd_Target,-4.4268,0.3241974,-0.04244779,272.9121,150.1186,28.42051,
0,1643569188651,BeamEnd_Target,-4.426987,0.324481,-0.04233745,272.9074,150.3684,28.16881,
0,1643569188764,BeamEnd_Target,-4.426877,0.3243213,-0.04245531,272.9168,150.2262,28.31681,
0,1643569188875,BeamEnd_Target,-4.426817,0.3245249,-0.04248469,272.9023,150.0241,28.51587,
0,1643569188986,BeamEnd_Target,-4.426948,0.3243741,-0.04242412,272.9119,149.8025,28.73206,
0,1643569189096,BeamEnd_Target,-4.426933,0.3244129,-0.04246004,272.9193,149.8665,28.66,
0,1643569189207,BeamEnd_Target,-4.426924,0.3242892,-0.04254673,272.9172,149.7825,28.73958,
0,1643569189318,BeamEnd_Target,-4.426971,0.3242579,-0.04236681,272.9117,149.8914,28.64131,
0,1643569189419,BeamEnd_Target,-4.427008,0.324396,-0.04247864,272.907,149.8003,28.7317,
0,1643569189551,BeamEnd_Target,-4.427005,0.3245341,-0.04247896,272.8993,149.67,28.87,
0,1643569189653,BeamEnd_Target,-4.42702,0.3244102,-0.04250248,272.9028,149.8788,28.65896,
0,1643569189785,BeamEnd_Target,-4.426847,0.3244128,-0.04251646,272.8936,149.42,29.12085,
0,1643569189918,BeamEnd_Target,-4.426936,0.3245007,-0.0425332,272.9077,149.691,28.84496,
0,1643569190018,BeamEnd_Target,-4.426925,0.324414,-0.042377,272.9117,149.2854,29.27423,
0,1643569190130,BeamEnd_Target,-4.426885,0.3245659,-0.04261047,272.9233,149.7201,28.82556,
0,1643569190241,BeamEnd_Target,-4.426885,0.3244869,-0.0424277,272.914,149.6181,28.92415,
0,1643569190351,BeamEnd_Target,-4.426943,0.3244305,-0.0424777,272.9175,149.5616,28.9713,
0,1643569190463,BeamEnd_Target,-4.427109,0.3244011,-0.04237042,272.9111,149.7996,28.73442,
0,1643569190576,BeamEnd_Target,-4.42691,0.3244549,-0.04256403,272.9185,149.8956,28.62618,
0,1643569190679,BeamEnd_Target,-4.426776,0.3242809,-0.04229849,272.9094,149.7301,28.81347,
0,1643569190785,BeamEnd_Target,-4.426966,0.3243343,-0.04251738,272.9151,149.7215,28.81788,
0,1643569190891,BeamEnd_Target,-4.42694,0.3244077,-0.0424211,272.9111,149.9262,28.61513,
0,1643569191025,BeamEnd_Target,-4.427004,0.3244274,-0.04237495,272.9152,149.8043,28.74705,
0,1643569191157,BeamEnd_Target,-4.427028,0.3243349,-0.04242898,272.9149,149.7832,28.76057,
0,1643569191289,BeamEnd_Target,-4.427034,0.3243807,-0.04249385,272.9212,149.5159,29.03381,
0,1643569191419,BeamEnd_Target,-4.426736,0.3246648,-0.042728,272.9391,149.4795,29.08154,
0,1643569191521,BeamEnd_Target,-4.426993,0.3247812,-0.04284316,272.9089,149.4698,29.06714,
0,1643569191643,BeamEnd_Target,-4.427072,0.3244427,-0.04248004,272.9105,149.3382,29.1954,
0,1643569191745,BeamEnd_Target,-4.426868,0.3242917,-0.04237202,272.9124,149.6949,28.83811,
