pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643569181395,Head_Target,1.877505,1.799683,0.1027361,1.144902,178.3962,261.526,
0,1643569181496,Head_Target,1.876822,1.79962,0.102229,1.131459,178.5935,261.7906,
0,1643569181607,Head_Target,1.875365,1.799716,0.1019774,1.125825,179.0434,261.8783,
0,1643569181707,Head_Target,1.874636,1.80056,0.1007534,0.9115536,179.4446,261.8544,
0,1643569181840,Head_Target,1.871555,1.800143,0.09563891,0.06831107,179.6016,262.8281,
0,1643569181941,Head_Target,1.868996,1.80004,0.09343433,359.6036,179.3084,262.371,
0,1643569182073,Head_Target,1.862157,1.800316,0.09231417,0.1602976,179.6438,262.558,
0,1643569182173,Head_Target,1.859053,1.800496,0.09265583,0.5364597,179.5987,262.4102,
0,1643569182306,Head_Target,1.855341,1.800742,0.09435167,359.726,178.6751,262.9758,
0,1643569182417,Head_Target,1.852295,1.800231,0.09261551,359.6128,179.4032,263.6588,
0,1643569182531,Head_Target,1.852726,1.799125,0.0928966,0.005148175,179.5412,263.8491,
0,1643569182641,Head_Target,1.852991,1.799075,0.09377238,0.4459185,180.0656,264.04,
0,1643569182751,Head_Target,1.854087,1.79916,0.09615431,0.6402428,180.5061,263.8225,
0,1643569182862,Head_Target,1.855104,1.799113,0.1001024,0.7094696,180.725,263.4998,
0,1643569182974,Head_Target,1.857229,1.799578,0.1051392,0.7224742,180.3721,263.1565,
0,1643569183085,Head_Target,1.859303,1.799614,0.1088108,0.5429446,180.5046,263.2867,
0,1643569183196,Head_Target,1.861613,1.799658,0.1130011,0.3246593,180.1465,263.3381,
0,1643569183307,Head_Target,1.863948,1.799696,0.1172175,0.318538,179.3912,263.3459,
0,1643569183418,Head_Target,1.866315,1.79989,0.1198904,0.100291,179.2751,263.4058,
0,1643569183529,Head_Target,1.869234,1.799648,0.1216124,359.9619,179.1304,263.4271,
0,1643569183641,Head_Target,1.872353,1.799813,0.1233684,-0.0003295033,178.6301,263.3988,
0,1643569183752,Head_Target,1.875323,1.799842,0.1243554,359.9751,178.4954,263.2399,
0,1643569183862,Head_Target,1.878463,1.799754,0.1246457,0.05561445,178.6741,263.4532,
0,1643569183974,Head_Target,1.880962,1.799698,0.1247692,0.1391531,178.7122,263.4895,
0,1643569184085,Head_Target,1.882835,1.799693,0.124495,0.2817973,178.6744,263.4413,
0,1643569184196,Head_Target,1.884057,1.799741,0.1233825,0.3356234,178.6184,263.4937,
0,1643569184307,Head_Target,1.884155,1.799682,0.1215678,0.302184,178.4656,263.581,
0,1643569184418,Head_Target,1.88323,1.79971,0.1191434,0.4746365,178.2818,263.398,
0,1643569184543,Head_Target,1.880606,1.799888,0.11563,0.7121297,178.1054,263.015,
0,1643569184664,Head_Target,1.874832,1.800333,0.112206,1.082687,178.1963,261.9902,
0,1643569184797,Head_Target,1.87798,1.804161,0.1091038,1.372187,178.509,255.1867,
0,1643569184930,Head_Target,1.875867,1.803736,0.1047131,1.077222,179.1127,254.5943,
0,1643569185065,Head_Target,1.875167,1.803004,0.1005538,0.8680442,179.8442,257.1295,
0,1643569185196,Head_Target,1.874856,1.802294,0.09916656,0.7337513,179.3559,258.8137,
0,1643569185297,Head_Target,1.876513,1.80241,0.09839872,0.5774886,179.3297,258.1796,
0,1643569185429,Head_Target,1.87715,1.802166,0.09812812,0.127891,179.5322,258.8958,
0,1643569185539,Head_Target,1.877208,1.801463,0.09906182,359.8804,180.0681,259.6083,
0,1643569185653,Head_Target,1.877931,1.80153,0.1008428,0.09032346,180.2067,258.9465,
0,1643569185764,Head_Target,1.877811,1.801239,0.1019069,359.7897,179.6365,259.1893,
0,1643569185874,Head_Target,1.876696,1.800882,0.1025717,359.7525,179.6148,259.6716,
0,1643569185985,Head_Target,1.875661,1.800704,0.1032481,359.8573,179.6653,259.6756,
0,1643569186096,Head_Target,1.873871,1.800771,0.1037479,359.9666,179.6268,259.168,
0,1643569186207,Head_Target,1.873982,1.800784,0.1040958,0.1936185,179.3851,258.9573,
0,1643569186317,Head_Target,1.874063,1.800282,0.1040853,0.2975456,179.0789,259.3346,
0,1643569186430,Head_Target,1.874496,1.799919,0.1039159,0.5801073,179.1085,259.35,
0,1643569186540,Head_Target,1.874364,1.799984,0.10404,0.7392386,179.1127,259.5384,
0,1643569186652,Head_Target,1.873614,1.800158,0.1043361,0.8829275,179.2659,259.6252,
0,1643569186764,Head_Target,1.872403,1.800756,0.104875,0.8582748,179.2013,259.462,
0,1643569186875,Head_Target,1.87064,1.800987,0.1051203,0.7249816,179.1768,259.5178,
0,1643569186987,Head_Target,1.867006,1.800672,0.104726,0.5497218,179.3101,260.8412,
0,1643569187096,Head_Target,1.863756,1.800136,0.1042184,0.5073577,179.3103,262.1823,
0,1643569187207,Head_Target,1.867698,1.800464,0.1042592,0.4723697,179.2059,260.4096,
0,1643569187318,Head_Target,1.870334,1.800327,0.1036639,0.4147768,179.5005,261.2988,
0,1643569187430,Head_Target,1.873107,1.799658,0.1031407,0.3383935,179.4099,262.3399,
0,1643569187541,Head_Target,1.875235,1.799207,0.1018139,0.2042373,179.1968,262.1052,
0,1643569187652,Head_Target,1.876418,1.798775,0.1000557,0.465843,179.1076,261.6898,
0,1643569187765,Head_Target,1.876803,1.798693,0.09832533,0.7152374,179.0096,261.5002,
0,1643569187876,Head_Target,1.87645,1.798688,0.09634186,0.8000689,179.0827,261.3439,
0,1643569187986,Head_Target,1.876231,1.798764,0.09452631,0.921417,179.2302,261.2063,
0,1643569188098,Head_Target,1.876391,1.798907,0.09330741,0.9952101,179.0674,261.2375,
0,1643569188208,Head_Target,1.877176,1.798754,0.09257913,1.044285,178.867,261.3301,
0,1643569188321,Head_Target,1.878659,1.7983,0.09188784,0.9341038,178.9163,261.3923,
0,1643569188430,Head_Target,1.880111,1.797788,0.09125338,0.7609375,179.2813,261.5482,
0,1643569188540,Head_Target,1.88171,1.797387,0.09114753,0.7562598,179.6849,261.6172,
0,1643569188651,Head_Target,1.882609,1.797249,0.09157137,0.7217906,179.8174,261.6786,
0,1643569188764,Head_Target,1.882776,1.797463,0.09297956,0.7928421,179.7377,261.5793,
0,1643569188875,Head_Target,1.882581,1.797759,0.0949892,0.7719091,179.4941,261.3891,
0,1643569188986,Head_Target,1.881665,1.798181,0.09697671,0.7463313,179.1454,261.3832,
0,1643569189096,Head_Target,1.880572,1.798798,0.09833265,0.6868853,178.9596,261.3056,
0,1643569189207,Head_Target,1.878863,1.79956,0.0991017,0.6632402,178.6609,261.1731,
0,1643569189318,Head_Target,1.876962,1.800218,0.1004009,0.9114292,178.2648,260.8297,
0,1643569189419,Head_Target,1.876019,1.800639,0.1013162,0.920165,178.0859,260.5204,
0,1643569189551,Head_Target,1.875419,1.800649,0.1016044,0.7361465,178.5213,260.481,
0,1643569189653,Head_Target,1.875515,1.8007,0.1012543,0.6431417,178.7859,260.6251,
0,1643569189785,Head_Target,1.875365,1.800615,0.1004307,0.5261155,178.8101,260.9105,
0,1643569189918,Head_Target,1.873997,1.80047,0.09894289,0.6164111,179.1295,260.9464,
0,1643569190018,Head_Target,1.872338,1.800676,0.09856446,0.8148081,179.1675,260.8973,
0,1643569190130,Head_Target,1.8696,1.800766,0.09833606,0.6679532,179.1804,260.9785,
0,1643569190241,Head_Target,1.865159,1.801286,0.09782948,0.536356,179.2539,260.9437,
0,1643569190351,Head_Target,1.862754,1.802213,0.09847647,0.6754543,179.0142,260.3257,
0,1643569190463,Head_Target,1.861707,1.802949,0.09909157,0.448667,178.7302,260.0408,
0,1643569190576,Head_Target,1.861285,1.803116,0.1005472,0.448761,177.9939,259.8569,
0,1643569190679,Head_Target,1.861613,1.803573,0.1012804,0.2538929,177.6735,259.554,
0,1643569190785,Head_Target,1.863188,1.803172,0.1023082,0.1327746,177.2276,259.5769,
0,1643569190891,Head_Target,1.863177,1.802905,0.102143,359.8513,177.1952,259.7786,
0,1643569191025,Head_Target,1.864255,1.803444,0.1017462,359.9926,177.2308,259.3169,
0,1643569191157,Head_Target,1.866189,1.803259,0.1001169,359.7176,176.8681,259.1107,
0,1643569191289,Head_Target,1.868453,1.803399,0.09771861,359.6755,177.0599,259.2446,
0,1643569191419,Head_Target,1.868919,1.804427,0.09729773,358.8531,176.2319,259.215,
0,1643569191521,Head_Target,1.866371,1.803996,0.09726159,358.2872,175.2703,259.2631,
0,1643569191643,Head_Target,1.867504,1.805532,0.09924281,358.4003,174.0756,257.7632,
0,1643569191745,Head_Target,1.868423,1.805335,0.09927654,358.9579,173.8605,257.6458,
