unixTime,lslTime,ECG
1643567520939,17094.373637,97
1643567520939,17094.37364,101
1643567520939,17094.3736429,142
1643567520939,17094.3736457,78
1643567520939,17094.3736485,-4
1643567520939,17094.3736513,54
1643567520939,17094.3736542,104
1643567520939,17094.3736569,61
1643567520939,17094.3736597,35
1643567520939,17094.3736625,47
1643567520960,17094.3736653,42
1643567520960,17094.3736681,42
1643567520960,17094.373671,75
1643567520960,17094.3736738,73
1643567520960,17094.3736766,71
1643567520960,17094.3736794,104
1643567520960,17094.3736822,130
1643567520960,17094.373685,139
1643567520960,17094.3736878,108
1643567520960,17094.3736914,9
1643567520983,17094.3736944,-258
1643567520983,17094.3736972,-890
1643567520983,17094.3737,-1444
1643567520983,17094.3737029,-978
1643567520983,17094.3737057,111
1643567520983,17094.3737085,547
1643567520983,17094.3737114,407
1643567520983,17094.3737142,331
1643567520983,17094.3737173,293
1643567520983,17094.37372,232
1643567521006,17094.3737228,182
1643567521006,17094.3737257,132
1643567521006,17094.3737285,153
1643567521006,17094.3737313,182
1643567521006,17094.3737342,146
1643567521006,17094.3737371,123
1643567521006,17094.37374,144
1643567521006,17094.3737429,151
1643567521006,17094.3737457,94
1643567521006,17094.3737485,40
1643567521027,17094.3737513,33
1643567521027,17094.3737542,23
1643567521027,17094.3737571,21
1643567521027,17094.37376,7
1643567521027,17094.3737629,-66
1643567521027,17094.3737659,-123
1643567521027,17094.373769,-116
1643567521027,17094.3737718,-113
1643567521027,17094.3737746,-158
1643567521027,17094.3737774,-134
1643567521050,17094.3737804,-40
1643567521050,17094.3737831,-44
1643567521050,17094.373786,-49
1643567521050,17094.3737888,37
1643567521050,17094.3737917,63
1643567521050,17094.3737945,49
1643567521050,17094.3737973,142
1643567521050,17094.3738001,182
1643567521050,17094.373803,66
1643567521050,17094.9718317,63
1643567521072,17094.9718435,170
1643567521072,17094.9718484,123
1643567521072,17094.9718534,68
1643567521072,17094.9718563,163
1643567521072,17094.9718591,161
1643567521072,17094.971864,40
1643567521072,17094.9718668,87
1643567521072,17094.9718697,165
1643567521072,17094.9718726,59
1643567521072,17094.9718755,-11
1643567521094,17094.9718784,71
1643567521094,17094.9718812,92
1643567521094,17094.9718838,56
1643567521094,17094.9718879,94
1643567521449,17094.9718908,99
1643567521449,17094.9718935,63
1643567521449,17094.9718961,101
1643567521449,17094.9718988,118
1643567521449,17094.9719015,52
1643567521449,17094.9719041,21
1643567521449,17094.9719068,66
1643567521449,17094.9719095,89
1643567521449,17094.9719122,42
1643567521449,17094.9719148,37
1643567521472,17094.9719175,106
1643567521472,17094.9719201,130
1643567521472,17094.9719228,97
1643567521472,17094.9719283,59
1643567521472,17094.9719312,28
1643567521472,17094.9720541,66
1643567521472,17094.9721586,134
1643567521472,17094.9721749,-2
1643567521472,17094.9721792,-539
1643567521472,17094.9721822,-1323
1643567521494,17094.972185,-1522
1643567521494,17094.9721879,-610
1643567521494,17094.9722132,402
1643567521494,17094.9722194,582
1643567521494,17094.9722224,421
1643567521494,17094.9722251,362
1643567521494,17094.9722279,279
1643567521494,17094.9722306,201
1643567521494,17094.9722333,194
1643567521494,17094.9722361,198
1643567521526,17094.9722389,213
1643567521526,17094.9722416,222
1643567521526,17094.9722444,175
1643567521526,17094.9722473,108
1643567521526,17094.9722501,132
1643567521526,17094.9722528,168
1643567521526,17094.9722555,101
1643567521526,17094.9722584,56
1643567521526,17094.9722645,82
1643567521526,17094.9722691,56
1643567521544,17094.9722719,16
1643567521544,17094.9722746,4
1643567521544,17094.9722774,-30
1643567521544,17094.9722803,-92
1643567521544,17094.9722832,-113
1643567521544,17094.9722861,-80
1643567521544,17094.9722915,-66
1643567521544,17094.9722945,-66
1643567521544,17094.9722974,-18
1643567521544,17094.9723003,26
1643567521561,17094.9723033,16
1643567521561,17094.9723081,28
1643567521561,17094.9723112,113
1643567521561,17094.972316,156
1643567521561,17094.9723188,134
1643567521561,17094.9723222,127
1643567521561,17094.9723271,156
1643567521561,17094.9723302,163
1643567521561,17095.4717706,113
1643567521561,17095.4717827,123
1643567521583,17095.4717872,168
1643567521583,17095.4717921,132
1643567521583,17095.4717949,82
1643567521583,17095.4717979,106
1643567521583,17095.4718019,134
1643567521583,17095.4718048,85
1643567521583,17095.4718088,47
1643567521583,17095.4718118,101
1643567521583,17095.4718166,151
1643567521583,17095.4718194,125
1643567521604,17095.4718222,106
1643567521604,17095.4718252,116
1643567521604,17095.4718281,82
1643567521604,17095.4718323,42
1643567521984,17095.4718352,61
1643567521984,17095.471838,87
1643567521984,17095.4718408,75
1643567521984,17095.4718435,40
1643567521984,17095.4718463,33
1643567521984,17095.471849,56
1643567521984,17095.4718517,54
1643567521984,17095.4718545,49
1643567521984,17095.4718571,99
1643567521984,17095.4718598,146
1643567522005,17095.4718625,106
1643567522005,17095.4718652,37
1643567522005,17095.4718679,63
1643567522005,17095.4718706,142
1643567522005,17095.4718764,99
1643567522005,17095.4718804,-236
1643567522005,17095.4718833,-963
1643567522005,17095.4718862,-1596
1643567522005,17095.471889,-1219
1643567522005,17095.4718919,-89
1643567522027,17095.471897,575
1643567522027,17095.4719007,549
