pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643567520701,BeamStart_Target,1.586259,0.2368388,0.1757509,272.523,165.0269,99.73528,
0,1643567520812,BeamStart_Target,1.58634,0.236544,0.1756469,272.5366,164.8795,99.88324,
0,1643567520916,BeamStart_Target,1.586188,0.2365884,0.1757277,272.559,164.5363,100.2239,
0,1643567521027,BeamStart_Target,1.586361,0.2370138,0.175796,272.5464,164.8739,99.87537,
0,1643567521138,BeamStart_Target,1.58636,0.2372411,0.1758616,272.5298,164.8309,99.91187,
0,1643567521250,BeamStart_Target,1.586327,0.2367737,0.1758219,272.5399,164.6761,100.0593,
0,1643567521361,BeamStart_Target,1.586299,0.2369117,0.175809,272.5164,165.0873,99.63846,
0,1643567521472,BeamStart_Target,1.586537,0.2369048,0.1760503,272.5222,165.1999,99.54244,
0,1643567521583,BeamStart_Target,1.586266,0.2369246,0.1757375,272.5197,165.0381,99.69203,
0,1643567521694,BeamStart_Target,1.586332,0.2364882,0.1756232,272.5274,164.7411,100.0054,
0,1643567521804,BeamStart_Target,1.58653,0.2370595,0.1757664,272.4964,165.4776,99.2612,
0,1643567521916,BeamStart_Target,1.586349,0.2368628,0.1757587,272.515,165.0676,99.67804,
0,1643567522027,BeamStart_Target,1.586271,0.2367412,0.1757554,272.5047,164.6609,100.0734,
0,1643567522139,BeamStart_Target,1.586361,0.2371543,0.1760859,272.5052,165.0067,99.72495,
0,1643567522251,BeamStart_Target,1.586334,0.2365568,0.175648,272.5224,164.7421,99.99558,
0,1643567522360,BeamStart_Target,1.586415,0.2368448,0.1758876,272.5295,164.553,100.192,
0,1643567522473,BeamStart_Target,1.586384,0.2369261,0.1758327,272.5283,164.4357,100.3155,
0,1643567522583,BeamStart_Target,1.586382,0.2370653,0.175842,272.5479,164.3358,100.4072,
0,1643567522694,BeamStart_Target,1.586467,0.237332,0.1761902,272.524,164.2537,100.4806,
0,1643567522806,BeamStart_Target,1.586384,0.2366087,0.1758339,272.5162,164.306,100.4181,
0,1643567522915,BeamStart_Target,1.586512,0.2371361,0.1760241,272.498,164.5754,100.154,
0,1643567523027,BeamStart_Target,1.586351,0.2367983,0.1759365,272.4954,164.7668,99.96296,
0,1643567523139,BeamStart_Target,1.586393,0.2364876,0.1756819,272.5028,164.5664,100.1547,
0,1643567523250,BeamStart_Target,1.586308,0.2368713,0.1758382,272.5039,164.2289,100.5223,
0,1643567523360,BeamStart_Target,1.586356,0.2365156,0.1756272,272.5224,164.4638,100.2817,
0,1643567523471,BeamStart_Target,1.586435,0.2365437,0.1759369,272.5243,164.0955,100.6562,
0,1643567523582,BeamStart_Target,1.586196,0.2363901,0.175567,272.5444,163.9153,100.835,
0,1643567523694,BeamStart_Target,1.586333,0.236575,0.1757553,272.5479,164.2617,100.4899,
0,1643567523805,BeamStart_Target,1.586258,0.2370276,0.175711,272.5262,164.437,100.3064,
0,1643567523916,BeamStart_Target,1.586225,0.236826,0.1755772,272.4933,164.7239,100.0322,
0,1643567524028,BeamStart_Target,1.586336,0.2368776,0.1759208,272.4947,164.5981,100.1563,
0,1643567524139,BeamStart_Target,1.586384,0.2369661,0.175732,272.5201,164.7598,99.97756,
0,1643567524249,BeamStart_Target,1.586328,0.2370946,0.1758354,272.5136,164.1815,100.5457,
0,1643567524362,BeamStart_Target,1.5864,0.237054,0.1758932,272.4987,164.9146,99.83038,
0,1643567524472,BeamStart_Target,1.586302,0.2365183,0.1756411,272.4918,165.0684,99.67985,
0,1643567524583,BeamStart_Target,1.586313,0.2368912,0.1757196,272.5106,164.8927,99.8447,
0,1643567524695,BeamStart_Target,1.586419,0.237039,0.1759999,272.5042,164.5693,100.1685,
0,1643567524805,BeamStart_Target,1.586176,0.2365697,0.1756067,272.5053,164.4965,100.2409,
0,1643567524916,BeamStart_Target,1.586391,0.237111,0.1759691,272.5033,164.5538,100.1934,
0,1643567525027,BeamStart_Target,1.586385,0.2364993,0.1755751,272.4917,164.721,100.0121,
0,1643567525138,BeamStart_Target,1.586308,0.2364926,0.1757113,272.5049,163.9671,100.7642,
0,1643567525249,BeamStart_Target,1.586276,0.2369026,0.1759564,272.4964,164.2686,100.4802,
0,1643567525360,BeamStart_Target,1.58659,0.2367662,0.1759058,272.5098,164.2467,100.477,
0,1643567525472,BeamStart_Target,1.586352,0.2364736,0.1756684,272.5034,164.1288,100.6235,
0,1643567525584,BeamStart_Target,1.586336,0.2368857,0.1758356,272.5006,164.1505,100.5935,
0,1643567525694,BeamStart_Target,1.586293,0.2366904,0.1757211,272.5098,163.7974,100.9465,
0,1643567525805,BeamStart_Target,1.586209,0.2367511,0.1756733,272.503,163.7545,101.0034,
0,1643567525917,BeamStart_Target,1.586319,0.2369748,0.1757492,272.4876,164.1854,100.5627,
0,1643567526027,BeamStart_Target,1.586335,0.2368754,0.1758803,272.5033,164.8168,99.92471,
0,1643567526138,BeamStart_Target,1.586391,0.2367233,0.1757376,272.4816,164.8744,99.85033,
0,1643567526249,BeamStart_Target,1.586334,0.236931,0.1758812,272.4939,164.6389,100.1004,
0,1643567526361,BeamStart_Target,1.586423,0.2367115,0.1758328,272.4923,164.6503,100.0811,
0,1643567526472,BeamStart_Target,1.58636,0.2367742,0.1757941,272.5083,163.9527,100.7899,
0,1643567526583,BeamStart_Target,1.58641,0.2366186,0.1758506,272.4961,164.1628,100.5719,
0,1643567526694,BeamStart_Target,1.586381,0.2365854,0.1757762,272.4807,164.7976,99.93863,
0,1643567526805,BeamStart_Target,1.586191,0.2362548,0.1754445,272.5073,164.484,100.2933,
0,1643567526916,BeamStart_Target,1.586377,0.2368931,0.1758812,272.5066,164.5511,100.2146,
0,1643567527027,BeamStart_Target,1.586383,0.2365505,0.1756513,272.5163,164.5999,100.1628,
0,1643567527139,BeamStart_Target,1.586402,0.2366506,0.1757862,272.4888,164.3287,100.4224,
0,1643567527249,BeamStart_Target,1.586338,0.2364097,0.1756252,272.5012,164.3672,100.3838,
0,1643567527361,BeamStart_Target,1.586441,0.2372037,0.1757977,272.4951,164.0848,100.6533,
0,1643567527472,BeamStart_Target,1.586285,0.2369213,0.1758856,272.4731,164.2587,100.5009,
0,1643567527583,BeamStart_Target,1.586325,0.2363907,0.1755672,272.507,163.8072,100.9586,
0,1643567527694,BeamStart_Target,1.586252,0.2365776,0.175632,272.5048,164.252,100.4999,
0,1643567527804,BeamStart_Target,1.586305,0.2365572,0.1756389,272.5243,163.9789,100.7775,
0,1643567527916,BeamStart_Target,1.586467,0.2368491,0.1757117,272.5232,164.0252,100.7195,
0,1643567528026,BeamStart_Target,1.586388,0.2368598,0.1759326,272.5052,164.3968,100.3486,
0,1643567528139,BeamStart_Target,1.586313,0.2364698,0.1756398,272.5269,164.3137,100.4263,
0,1643567528250,BeamStart_Target,1.586363,0.2366457,0.1756166,272.5089,164.6954,100.0563,
0,1643567528360,BeamStart_Target,1.586413,0.2369157,0.1758923,272.5119,164.3545,100.3722,
0,1643567528471,BeamStart_Target,1.586256,0.2365641,0.1756565,272.5108,164.4861,100.2448,
0,1643567528583,BeamStart_Target,1.586446,0.236786,0.1758913,272.5176,164.0453,100.6807,
0,1643567528694,BeamStart_Target,1.586527,0.2368511,0.1757571,272.5112,164.0919,100.6385,
0,1643567528805,BeamStart_Target,1.586318,0.2365522,0.1756984,272.5139,164.0816,100.6764,
0,1643567528916,BeamStart_Target,1.586321,0.2367208,0.175828,272.5064,164.3904,100.3668,
0,1643567529027,BeamStart_Target,1.586392,0.2367069,0.1757995,272.4847,165.0874,99.64088,
0,1643567529138,BeamStart_Target,1.586399,0.2365851,0.1756252,272.4921,164.6106,100.1353,
0,1643567529249,BeamStart_Target,1.586271,0.2363838,0.1756179,272.4828,164.2907,100.4556,
0,1643567529360,BeamStart_Target,1.586294,0.2368141,0.1758078,272.4837,164.3739,100.3588,
0,1643567529472,BeamStart_Target,1.586415,0.2369432,0.1758648,272.4724,164.7227,100.0117,
0,1643567529582,BeamStart_Target,1.586302,0.2367274,0.1756419,272.5041,164.5101,100.2251,
0,1643567529694,BeamStart_Target,1.586288,0.2363189,0.1755998,272.4958,164.6725,100.0619,
0,1643567529805,BeamStart_Target,1.586257,0.2368883,0.175763,272.4964,165.0464,99.69361,
0,1643567529915,BeamStart_Target,1.586411,0.2368103,0.1757043,272.5035,164.6461,100.0898,
0,1643567530026,BeamStart_Target,1.586366,0.2367447,0.1759026,272.491,164.396,100.3386,
0,1643567530138,BeamStart_Target,1.586494,0.2370736,0.1759699,272.4788,164.6431,100.0803,
0,1643567530254,BeamStart_Target,1.586378,0.2366537,0.17562,272.4975,164.4629,100.2646,
0,1643567530361,BeamStart_Target,1.586172,0.2365905,0.1754995,272.4926,164.5281,100.2309,
0,1643567530471,BeamStart_Target,1.586367,0.2363251,0.1756616,272.4951,164.4047,100.338,
0,1643567530582,BeamStart_Target,1.58653,0.2369403,0.1756827,272.4932,164.4887,100.2449,
0,1643567530693,BeamStart_Target,1.586249,0.2367837,0.1757446,272.4794,165.2668,99.45892,
0,1643567530805,BeamStart_Target,1.58629,0.2369557,0.175838,272.4841,165.6734,99.06432,
0,1643567530916,BeamStart_Target,1.586381,0.2368702,0.1757478,272.4921,165.1373,99.59521,
0,1643567531027,BeamStart_Target,1.586108,0.2366811,0.1756052,272.5022,165.3128,99.42849,
0,1643567531139,BeamStart_Target,1.586249,0.2363908,0.1756282,272.517,164.9726,99.76991,
0,1643567531249,BeamStart_Target,1.586361,0.2366132,0.1759666,272.4942,165.0657,99.66464,
0,1643567531361,BeamStart_Target,1.586407,0.2366768,0.1756975,272.4901,165.3701,99.36478,
0,1643567531472,BeamStart_Target,1.586347,0.2367032,0.1757044,272.4811,165.1545,99.58676,
0,1643567531583,BeamStart_Target,1.586275,0.2364583,0.1755718,272.485,164.5086,100.2491,
0,1643567531694,BeamStart_Target,1.586371,0.236966,0.1759541,272.5034,164.2775,100.4586,
0,1643567531805,BeamStart_Target,1.586345,0.2368824,0.1757521,272.4962,164.5066,100.2446,
0,1643567531916,BeamStart_Target,1.586353,0.2363872,0.1755355,272.4832,164.6697,100.0723,
0,1643567532027,BeamStart_Target,1.586495,0.237148,0.1759187,272.4669,164.4965,100.2427,
0,1643567532138,BeamStart_Target,1.586194,0.2361945,0.1754802,272.4981,164.6842,100.0704,
0,1643567532249,BeamStart_Target,1.58614,0.2363857,0.1755192,272.5048,164.5368,100.2187,
0,1643567532361,BeamStart_Target,1.586398,0.2366493,0.1758465,272.5087,163.8761,100.864,
0,1643567532472,BeamStart_Target,1.58636,0.2368159,0.1759371,272.5145,164.2473,100.4989,
0,1643567532583,BeamStart_Target,1.586449,0.2364898,0.1756118,272.5203,164.4671,100.2863,
0,1643567532694,BeamStart_Target,1.586325,0.2367278,0.1758576,272.494,164.4378,100.3091,
0,1643567532805,BeamStart_Target,1.586285,0.2369772,0.1757052,272.4818,164.7195,100.025,
0,1643567532916,BeamStart_Target,1.58643,0.2368143,0.1758369,272.4954,164.5392,100.2036,
0,1643567533027,BeamStart_Target,1.586294,0.2364602,0.175603,272.4921,164.5243,100.2258,
0,1643567533138,BeamStart_Target,1.586245,0.2366118,0.1756241,272.5039,164.1573,100.5881,
0,1643567533250,BeamStart_Target,1.586342,0.2364456,0.1756283,272.5037,164.3449,100.3968,
0,1643567533361,BeamStart_Target,1.586367,0.2367894,0.1757544,272.5042,164.6876,100.0519,
