pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643567520701,Pelvis_Target,1.987263,1.101747,-0.06339274,18.15476,200.0696,330.8018,
0,1643567520812,Pelvis_Target,1.989142,1.102295,-0.06112771,18.38711,200.3159,330.6415,
0,1643567520916,Pelvis_Target,1.990481,1.102097,-0.06095585,18.27373,200.6487,330.7505,
0,1643567521027,Pelvis_Target,1.991728,1.101812,-0.0603354,18.11187,201.3272,330.9172,
0,1643567521138,Pelvis_Target,1.991701,1.101712,-0.05943102,18.19528,201.6776,330.8421,
0,1643567521250,Pelvis_Target,1.990577,1.101573,-0.05992252,17.99731,201.9259,330.8232,
0,1643567521361,Pelvis_Target,1.988866,1.101591,-0.05988848,18.04249,201.9773,330.8125,
0,1643567521472,Pelvis_Target,1.986993,1.10144,-0.05903488,18.11738,202.6965,330.9109,
0,1643567521583,Pelvis_Target,1.98634,1.10109,-0.0597221,18.08907,203.5648,331.3577,
0,1643567521694,Pelvis_Target,1.987173,1.101734,-0.06100166,18.2349,202.952,331.4258,
0,1643567521804,Pelvis_Target,1.988999,1.101137,-0.06330098,18.22781,202.5578,331.2753,
0,1643567521916,Pelvis_Target,1.991024,1.101115,-0.06563537,18.22039,201.7017,330.9641,
0,1643567522027,Pelvis_Target,1.991919,1.101019,-0.0655604,18.35649,201.533,330.9272,
0,1643567522139,Pelvis_Target,1.992302,1.101252,-0.06496558,18.05156,204.0346,331.7548,
0,1643567522251,Pelvis_Target,1.99494,1.101081,-0.06160641,18.11674,205.6179,332.2172,
0,1643567522360,Pelvis_Target,1.99801,1.101036,-0.05795421,18.20716,205.8151,332.526,
0,1643567522473,Pelvis_Target,2.003103,1.101252,-0.05877559,18.24792,205.4956,331.8749,
0,1643567522583,Pelvis_Target,2.006888,1.102032,-0.06076571,18.2682,204.1198,331.4816,
0,1643567522694,Pelvis_Target,2.008876,1.102508,-0.0603939,18.2299,203.283,331.3643,
0,1643567522806,Pelvis_Target,2.01042,1.102532,-0.05869414,18.06509,202.908,331.1003,
0,1643567522915,Pelvis_Target,2.01073,1.102583,-0.05726127,18.01898,202.4658,330.839,
0,1643567523027,Pelvis_Target,2.009024,1.102244,-0.05660826,17.81173,202.3679,331.0622,
0,1643567523139,Pelvis_Target,2.006746,1.102211,-0.05538045,17.58787,202.1282,331.5905,
0,1643567523250,Pelvis_Target,2.005863,1.101722,-0.05573717,17.47241,202.0559,331.6915,
0,1643567523360,Pelvis_Target,2.005786,1.101966,-0.05644011,17.40358,202.2893,331.4671,
0,1643567523471,Pelvis_Target,2.005323,1.102413,-0.05679221,17.44849,202.2392,331.4189,
0,1643567523582,Pelvis_Target,2.004357,1.102573,-0.05707997,17.622,201.7695,331.291,
0,1643567523694,Pelvis_Target,2.00212,1.10276,-0.05723798,17.74181,201.4837,330.9461,
0,1643567523805,Pelvis_Target,2.000462,1.103009,-0.05726646,18.09939,201.2382,330.4341,
0,1643567523916,Pelvis_Target,1.999837,1.103925,-0.05772199,18.27327,200.8398,329.8997,
0,1643567524028,Pelvis_Target,2.00074,1.104388,-0.05790929,18.73838,200.4648,328.8702,
0,1643567524139,Pelvis_Target,1.999527,1.10352,-0.0589896,18.75979,200.0216,328.3385,
0,1643567524249,Pelvis_Target,2.000005,1.103331,-0.05874828,18.80748,199.338,327.8884,
0,1643567524362,Pelvis_Target,1.999988,1.102947,-0.05864531,18.92753,198.6567,327.5128,
0,1643567524472,Pelvis_Target,2.000495,1.102021,-0.0595286,19.17449,197.9528,326.7634,
0,1643567524583,Pelvis_Target,1.999296,1.101145,-0.05972075,18.99509,197.3306,327.271,
0,1643567524695,Pelvis_Target,1.999093,1.102073,-0.05868855,18.81226,197.332,327.7424,
0,1643567524805,Pelvis_Target,1.999897,1.103631,-0.05806588,18.95724,198.084,327.7354,
0,1643567524916,Pelvis_Target,1.999403,1.104331,-0.05873561,19.02039,198.6248,328.1445,
0,1643567525027,Pelvis_Target,1.997722,1.104261,-0.05927451,19.20851,197.9352,328.3579,
0,1643567525138,Pelvis_Target,1.996042,1.103788,-0.06044969,19.03693,197.9294,328.6431,
0,1643567525249,Pelvis_Target,1.995737,1.103351,-0.06201603,18.96696,198.6827,328.8306,
0,1643567525360,Pelvis_Target,1.99644,1.102579,-0.06270921,18.8581,198.9581,329.2132,
0,1643567525472,Pelvis_Target,1.999462,1.10077,-0.06424253,18.51662,198.4084,329.3634,
0,1643567525584,Pelvis_Target,2.003296,1.097963,-0.06592856,18.36172,197.6131,329.251,
0,1643567525694,Pelvis_Target,2.006613,1.093337,-0.07054815,18.02628,197.4274,329.7091,
0,1643567525805,Pelvis_Target,2.00971,1.090413,-0.07416904,17.91621,197.503,329.7416,
0,1643567525917,Pelvis_Target,2.010196,1.101902,-0.06288764,17.88589,198.1779,329.6485,
0,1643567526027,Pelvis_Target,2.011672,1.101184,-0.06280726,17.71861,200.0354,329.798,
0,1643567526138,Pelvis_Target,2.01319,1.100811,-0.06028682,17.95201,201.1438,329.6458,
0,1643567526249,Pelvis_Target,2.013498,1.100874,-0.05796503,17.85378,201.534,329.611,
0,1643567526361,Pelvis_Target,2.015739,1.100572,-0.05661029,17.92203,200.3867,329.1799,
0,1643567526472,Pelvis_Target,2.017124,1.100727,-0.05504832,18.07347,199.5114,328.6446,
0,1643567526583,Pelvis_Target,2.016572,1.100832,-0.05432862,18.08527,199.6142,328.4514,
0,1643567526694,Pelvis_Target,2.015683,1.101019,-0.05387159,18.13451,200.2222,328.2859,
0,1643567526805,Pelvis_Target,2.014933,1.101064,-0.05335462,18.16739,199.7352,328.157,
0,1643567526916,Pelvis_Target,2.014431,1.10067,-0.05298619,17.93385,199.2696,328.6188,
0,1643567527027,Pelvis_Target,2.013321,1.100286,-0.05368225,17.48068,199.2965,329.1927,
0,1643567527139,Pelvis_Target,2.008808,1.101096,-0.0553683,17.12308,199.8917,329.6547,
0,1643567527249,Pelvis_Target,2.006529,1.100451,-0.05635633,17.63251,199.7846,328.9846,
0,1643567527361,Pelvis_Target,2.0053,1.100854,-0.05561037,17.87831,198.7671,328.4666,
0,1643567527472,Pelvis_Target,2.008336,1.101038,-0.05173486,18.40083,196.5644,327.0161,
0,1643567527583,Pelvis_Target,2.007409,1.100457,-0.05026132,18.46832,193.6089,326.3911,
0,1643567527694,Pelvis_Target,2.005706,1.100609,-0.05125463,18.51222,191.1601,326.3746,
0,1643567527804,Pelvis_Target,2.005092,1.100693,-0.05448335,18.27801,190.9822,326.2907,
0,1643567527916,Pelvis_Target,2.00478,1.102147,-0.05549115,18.52692,191.5699,326.0315,
0,1643567528026,Pelvis_Target,2.004312,1.103496,-0.05643065,18.41842,192.2612,326.3049,
0,1643567528139,Pelvis_Target,2.005166,1.104503,-0.05539799,18.51086,192.8194,326.3361,
0,1643567528250,Pelvis_Target,2.005067,1.104871,-0.05372089,18.4559,193.1449,326.7231,
0,1643567528360,Pelvis_Target,2.005077,1.104832,-0.05232897,18.35019,193.6546,326.9127,
0,1643567528471,Pelvis_Target,2.005914,1.104758,-0.05103698,18.36532,194.0228,327.0243,
0,1643567528583,Pelvis_Target,2.007547,1.104496,-0.05094667,18.44941,194.037,326.8144,
0,1643567528694,Pelvis_Target,2.0085,1.103944,-0.05258098,18.29918,194.3022,326.9096,
0,1643567528805,Pelvis_Target,2.008903,1.102914,-0.05296019,18.27879,194.4134,326.9484,
0,1643567528916,Pelvis_Target,2.010751,1.101355,-0.0536526,18.11259,195.5262,327.0069,
0,1643567529027,Pelvis_Target,2.012887,1.099652,-0.05434182,18.0599,195.6058,327.3236,
0,1643567529138,Pelvis_Target,2.014743,1.100182,-0.05358575,18.08305,194.3821,327.0914,
0,1643567529249,Pelvis_Target,2.015527,1.101375,-0.05245498,18.08429,193.8993,327.0177,
0,1643567529360,Pelvis_Target,2.016222,1.102709,-0.05229872,18.10116,194.4052,326.9806,
0,1643567529472,Pelvis_Target,2.017387,1.103417,-0.05187118,18.37665,194.8555,326.9973,
0,1643567529582,Pelvis_Target,2.020032,1.102294,-0.05411996,18.60205,196.1232,327.1057,
0,1643567529694,Pelvis_Target,2.023888,1.09629,-0.06164367,18.64241,198.2325,327.4598,
0,1643567529805,Pelvis_Target,2.026003,1.097517,-0.06120917,18.57243,199.7433,327.9178,
0,1643567529915,Pelvis_Target,2.028401,1.098874,-0.05977911,18.62584,199.563,327.9069,
0,1643567530026,Pelvis_Target,2.02879,1.100758,-0.05815762,18.64462,198.3991,327.6997,
0,1643567530138,Pelvis_Target,2.028897,1.095198,-0.06263271,18.64249,197.2069,327.7062,
0,1643567530254,Pelvis_Target,2.027827,1.095175,-0.06435443,18.3968,197.6031,327.8832,
0,1643567530361,Pelvis_Target,2.028366,1.098226,-0.06124082,18.48747,197.8795,327.7806,
0,1643567530471,Pelvis_Target,2.028141,1.101513,-0.05864827,18.47878,198.3082,327.9464,
0,1643567530582,Pelvis_Target,2.027531,1.102844,-0.0587413,18.43965,198.9243,327.9595,
0,1643567530693,Pelvis_Target,2.02639,1.10408,-0.05845039,18.51093,199.4737,328.0189,
0,1643567530805,Pelvis_Target,2.025458,1.105269,-0.0591547,18.57596,199.9219,327.8512,
