pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643567520701,RightHand_Target,1.257497,1.275752,-0.6236551,8.64357,291.71,305.6649,
0,1643567520812,RightHand_Target,1.248638,1.282651,-0.6442982,8.830962,288.5229,306.8092,
0,1643567520916,RightHand_Target,1.240855,1.285217,-0.6536068,9.072496,285.1884,310.1014,
0,1643567521027,RightHand_Target,1.238046,1.285205,-0.6397877,7.295408,285.9414,312.9655,
0,1643567521138,RightHand_Target,1.244383,1.304142,-0.6175473,5.068388,291.7836,319.3843,
0,1643567521250,RightHand_Target,1.243793,1.329891,-0.6048144,0.478631,295.5759,329.1615,
0,1643567521361,RightHand_Target,1.238341,1.339745,-0.609293,0.3056558,297.4177,335.5865,
0,1643567521472,RightHand_Target,1.240013,1.355235,-0.6246697,1.927377,300.3683,346.7984,
0,1643567521583,RightHand_Target,1.237466,1.340773,-0.6363143,359.7085,298.9467,343.6534,
0,1643567521694,RightHand_Target,1.229831,1.328254,-0.6428394,0.410445,296.5369,339.9255,
0,1643567521804,RightHand_Target,1.224217,1.328425,-0.6474197,358.8914,295.0771,338.7889,
0,1643567521916,RightHand_Target,1.216023,1.327112,-0.6510783,355.9364,292.8528,335.8882,
0,1643567522027,RightHand_Target,1.203253,1.322375,-0.6558019,354.6791,289.237,332.6672,
0,1643567522139,RightHand_Target,1.191839,1.321637,-0.6619104,353.5741,285.9355,331.1157,
0,1643567522251,RightHand_Target,1.182528,1.331114,-0.6753186,351.5201,282.1292,332.8739,
0,1643567522360,RightHand_Target,1.173828,1.33538,-0.6910307,356.9242,279.3986,336.6805,
0,1643567522473,RightHand_Target,1.167535,1.347425,-0.7034718,358.4439,278.2779,343.8492,
0,1643567522583,RightHand_Target,1.15987,1.353272,-0.7083934,359.7221,277.494,345.5285,
0,1643567522694,RightHand_Target,1.152136,1.349512,-0.708491,0.4805001,276.7091,341.8775,
0,1643567522806,RightHand_Target,1.152734,1.345714,-0.7017298,358.2764,278.7874,339.2656,
0,1643567522915,RightHand_Target,1.158844,1.344331,-0.6804041,358.0756,282.955,338.8467,
0,1643567523027,RightHand_Target,1.174731,1.34143,-0.6426564,356.1343,289.4324,340.3238,
0,1643567523139,RightHand_Target,1.212193,1.335903,-0.5948357,356.5382,299.3863,336.8893,
0,1643567523250,RightHand_Target,1.257568,1.320415,-0.5570444,1.921358,308.8175,328.4786,
0,1643567523360,RightHand_Target,1.294825,1.306578,-0.5337951,4.976016,313.3093,320.3321,
0,1643567523471,RightHand_Target,1.325658,1.297164,-0.5251888,5.960418,316.8182,314.4612,
0,1643567523582,RightHand_Target,1.335917,1.285188,-0.5255601,356.7214,318.7351,307.7436,
0,1643567523694,RightHand_Target,1.34278,1.301855,-0.5242722,356.371,322.1931,318.3925,
0,1643567523805,RightHand_Target,1.348027,1.304903,-0.5059772,353.414,330.438,325.7373,
0,1643567523916,RightHand_Target,1.34677,1.303346,-0.483998,352.8056,337.4225,322.5376,
0,1643567524028,RightHand_Target,1.34787,1.304704,-0.4807741,347.7301,345.9773,327.2658,
0,1643567524139,RightHand_Target,1.343433,1.29997,-0.4867659,349.5629,349.3344,327.2333,
0,1643567524249,RightHand_Target,1.339344,1.313017,-0.5033288,345.378,348.7469,332.8784,
0,1643567524362,RightHand_Target,1.336496,1.300705,-0.5035339,343.4005,346.6091,326.3892,
0,1643567524472,RightHand_Target,1.345307,1.312648,-0.5030354,339.3822,346.1171,323.0791,
0,1643567524583,RightHand_Target,1.356866,1.319548,-0.4931382,331.419,349.7778,311.4813,
0,1643567524695,RightHand_Target,1.380792,1.375099,-0.4780875,315.2547,356.137,306.943,
0,1643567524805,RightHand_Target,1.391726,1.451753,-0.4482845,296.8717,4.600595,288.3433,
0,1643567524916,RightHand_Target,1.410321,1.491534,-0.4118321,286.9414,32.42342,260.5742,
0,1643567525027,RightHand_Target,1.430709,1.483998,-0.3385003,289.1667,19.9434,275.1785,
0,1643567525138,RightHand_Target,1.461143,1.481234,-0.2674775,286.0477,31.14398,263.8688,
0,1643567525249,RightHand_Target,1.483902,1.484717,-0.2058678,284.0319,36.44609,267.8396,
0,1643567525360,RightHand_Target,1.484352,1.485288,-0.1563,283.9094,59.23739,242.0213,
0,1643567525472,RightHand_Target,1.457922,1.481647,-0.1309113,285.2746,48.18508,251.3991,
0,1643567525584,RightHand_Target,1.413159,1.487136,-0.1358981,283.0504,38.7781,261.1058,
0,1643567525694,RightHand_Target,1.374724,1.455433,-0.1405718,287.4138,31.79733,269.6389,
0,1643567525805,RightHand_Target,1.327452,1.430221,-0.1329052,290.2148,25.19264,266.6692,
0,1643567525917,RightHand_Target,1.296456,1.413827,-0.1318743,297.3794,17.07121,278.9574,
0,1643567526027,RightHand_Target,1.287358,1.417947,-0.1313448,298.3291,13.51752,285.0518,
0,1643567526138,RightHand_Target,1.290119,1.417673,-0.1315353,300.7519,10.51315,289.4879,
0,1643567526249,RightHand_Target,1.290219,1.426273,-0.134358,300.17,6.839262,296.5661,
0,1643567526361,RightHand_Target,1.289225,1.429233,-0.1347221,299.4386,7.504894,295.4261,
0,1643567526472,RightHand_Target,1.282913,1.434488,-0.1426132,298.3233,8.38537,299.472,
0,1643567526583,RightHand_Target,1.274745,1.43364,-0.1454202,299.7691,7.680216,302.0064,
