unixTime,lslTime,ECG
1643568861995,18435.3315185,54
1643568861995,18435.3315218,61
1643568861995,18435.3315248,82
1643568861995,18435.3315281,103
1643568861995,18435.3315313,80
1643568861995,18435.3315344,58
1643568861995,18435.3315374,65
1643568861995,18435.3315405,65
1643568861995,18435.3315437,61
1643568861995,18435.3315467,51
1643568862017,18435.3315498,32
1643568862017,18435.3315539,37
1643568862017,18435.3315571,54
1643568862017,18435.3315604,49
1643568862017,18435.3315656,42
1643568862017,18435.3315689,44
1643568862017,18435.3315741,49
1643568862017,18435.3315773,61
1643568862017,18435.3315825,73
1643568862017,18435.3315857,75
1643568862039,18435.3315888,75
1643568862039,18435.3315919,84
1643568862039,18435.331595,89
1643568862039,18435.3315982,73
1643568862039,18435.3316034,63
1643568862039,18435.3316066,77
1643568862039,18435.3316096,54
1643568862039,18435.331613,23
1643568862039,18435.331618,54
1643568862039,18435.3316212,87
1643568862061,18435.3316246,77
1643568862061,18435.3316298,70
1643568862061,18435.3316328,84
1643568862061,18435.3316361,89
1643568862061,18435.3316414,87
1643568862061,18435.3316445,87
1643568862061,18435.3316478,82
1643568862061,18435.3316529,84
1643568862061,18435.3316561,82
1643568862061,18435.3316594,-106
1643568862089,18435.3316649,-619
1643568862089,18435.3316681,-1185
1643568862089,18435.3316715,-1156
1643568862089,18435.3316766,-424
1643568862089,18435.3316799,245
1643568862089,18435.3316833,395
1643568862089,18435.3316883,282
1643568862089,18435.3316914,197
1643568862089,18435.3316948,197
1643568862089,18435.3316998,190
1643568862106,18435.331703,157
1643568862106,18435.3317061,157
1643568862106,18436.0262207,164
1643568862106,18436.0262347,141
1643568862106,18436.0262384,124
1643568862106,18436.0262438,120
1643568862106,18436.0262474,94
1643568862106,18436.0262505,63
1643568862106,18436.0262537,49
1643568862106,18436.0262596,37
1643568862127,18436.0262627,11
1643568862127,18436.0262678,-16
1643568862127,18436.0262715,-44
1643568862127,18436.0262761,-89
1643568862127,18436.0262793,-136
1643568862127,18436.0262843,-167
1643568862127,18436.0262874,-171
1643568862127,18436.0262921,-169
1643568862127,18436.0262952,-157
1643568862127,18436.0263,-136
1643568862150,18436.0263033,-113
1643568862150,18436.0263081,-84
1643568862150,18436.0263112,-56
1643568862150,18436.0263161,-25
1643568862395,18436.0263192,21
1643568862395,18436.0263222,40
1643568862395,18436.026325,25
1643568862395,18436.026328,44
1643568862395,18436.0263313,65
1643568862395,18436.0263347,51
1643568862395,18436.0263375,51
1643568862395,18436.0263404,65
1643568862395,18436.0263432,54
1643568862395,18436.0263461,40
1643568862417,18436.0263489,51
1643568862417,18436.0263518,63
1643568862417,18436.0263546,56
1643568862417,18436.0263574,54
1643568862417,18436.0263602,61
1643568862417,18436.0263632,54
1643568862417,18436.0263662,49
1643568862417,18436.0263692,68
1643568862417,18436.0263722,80
1643568862417,18436.0264027,82
1643568862440,18436.0264118,91
1643568862440,18436.0264167,87
1643568862440,18436.0264218,80
1643568862440,18436.0264266,87
1643568862440,18436.0264317,106
1643568862440,18436.0264346,98
1643568862440,18436.0264376,70
1643568862440,18436.0264406,56
1643568862440,18436.0264436,61
1643568862440,18436.0264466,54
1643568862461,18436.0264495,51
1643568862461,18436.0264536,75
1643568862461,18436.0264567,94
1643568862461,18436.0264617,89
1643568862461,18436.0264656,84
1643568862461,18436.0264698,96
1643568862461,18436.0264751,103
1643568862461,18436.0264804,98
1643568862461,18436.0264835,101
1643568862461,18436.0264883,101
1643568862483,18436.0264915,-16
1643568862483,18436.0264965,-400
1643568862483,18436.0264995,-951
1643568862483,18436.0265024,-1109
1643568862483,18436.0265055,-541
1643568862483,18436.0265084,155
1643568862483,18436.0265113,402
1643568862483,18436.0265143,346
1643568862483,18436.0265173,247
1643568862483,18436.0265206,195
1643568862507,18436.0265257,179
1643568862507,18436.4310887,171
1643568862507,18436.4311016,171
1643568862507,18436.4311052,162
1643568862507,18436.4311105,139
1643568862507,18436.4311135,124
1643568862507,18436.4311184,115
1643568862507,18436.4311221,103
1643568862507,18436.4311268,91
1643568862507,18436.4311298,80
1643568862529,18436.4311345,54
1643568862529,18436.4311375,23
1643568862529,18436.4311405,0
1643568862529,18436.4311434,-25
1643568862529,18436.4311485,-56
1643568862529,18436.4311515,-94
1643568862529,18436.4311545,-120
1643568862529,18436.4311574,-129
1643568862529,18436.4311604,-136
1643568862529,18436.4311633,-136
1643568862550,18436.4311661,-110
1643568862550,18436.431169,-70
1643568862550,18436.4311719,-42
1643568862550,18436.4311747,-25
1643568862994,18436.4311778,-2
1643568862994,18436.4311806,14
1643568862994,18436.4311833,30
1643568862994,18436.4311861,47
1643568862994,18436.4311888,54
1643568862994,18436.4311915,65
1643568862994,18436.4311943,73
1643568862994,18436.4311971,65
1643568862994,18436.4311998,63
1643568862994,18436.4312025,68
1643568863016,18436.4312052,65
1643568863016,18436.4312079,65
1643568863016,18436.4312107,63
1643568863016,18436.4312135,56
1643568863016,18436.4312162,51
1643568863016,18436.4312189,54
1643568863016,18436.4312217,63
1643568863016,18436.4312244,70
1643568863016,18436.4312276,68
1643568863016,18436.4312305,65
1643568863039,18436.4312336,70
1643568863039,18436.4312365,80
1643568863039,18436.4312416,80
1643568863039,18436.4312455,80
1643568863039,18436.4312504,82
1643568863039,18436.4312536,82
1643568863039,18436.4312565,77
1643568863039,18436.4312595,58
1643568863039,18436.4312647,44
1643568863039,18436.4312677,51
1643568863062,18436.4312706,51
1643568863062,18436.4312736,44
