pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643568861911,BeamStart_Target,1.584117,0.2353707,0.1730266,272.5146,161.2723,105.0057,
0,1643568862017,BeamStart_Target,1.584206,0.2353718,0.1730748,272.4992,161.3784,104.9003,
0,1643568862127,BeamStart_Target,1.584199,0.2354894,0.1729649,272.4868,161.9132,104.3712,
0,1643568862239,BeamStart_Target,1.584273,0.2360783,0.1735387,272.5016,162.4729,103.79,
0,1643568862351,BeamStart_Target,1.584292,0.2355799,0.173041,272.5012,162.6579,103.5838,
0,1643568862462,BeamStart_Target,1.584279,0.2348176,0.1727758,272.5375,161.5992,104.6893,
0,1643568862573,BeamStart_Target,1.584232,0.235679,0.1732169,272.5143,161.8181,104.4565,
0,1643568862685,BeamStart_Target,1.58435,0.2356833,0.1731375,272.511,162.8981,103.3555,
0,1643568862795,BeamStart_Target,1.584299,0.2359544,0.1733588,272.4917,163.3984,102.8272,
0,1643568862906,BeamStart_Target,1.584594,0.2365695,0.1736529,272.4731,164.4296,101.7823,
0,1643568863016,BeamStart_Target,1.584245,0.2353315,0.1729769,272.4814,164.4951,101.7248,
0,1643568863134,BeamStart_Target,1.584141,0.2356306,0.1731575,272.4877,164.65,101.5851,
0,1643568863239,BeamStart_Target,1.584285,0.2355883,0.17303,272.4846,163.8867,102.3611,
0,1643568863372,BeamStart_Target,1.584243,0.2351617,0.1728631,272.4914,163.099,103.1464,
0,1643568863472,BeamStart_Target,1.584277,0.2354649,0.1729568,272.4819,163.1889,103.0763,
0,1643568863605,BeamStart_Target,1.584333,0.2358434,0.1732427,272.4797,162.4552,103.8065,
0,1643568863706,BeamStart_Target,1.584225,0.2359888,0.173219,272.4689,163.4323,102.8197,
0,1643568863806,BeamStart_Target,1.58421,0.2355536,0.1731229,272.478,164.0381,102.1969,
0,1643568863940,BeamStart_Target,1.584175,0.235673,0.1730297,272.4901,163.6501,102.6206,
0,1643568864051,BeamStart_Target,1.584557,0.2355374,0.1731512,272.4678,163.7542,102.4907,
0,1643568864161,BeamStart_Target,1.583986,0.2354097,0.1730303,272.4898,162.9845,103.2753,
0,1643568864273,BeamStart_Target,1.584192,0.2352938,0.1729467,272.4903,162.1135,104.1516,
0,1643568864383,BeamStart_Target,1.584313,0.2355762,0.1730606,272.4893,162.0452,104.2387,
0,1643568864494,BeamStart_Target,1.58408,0.2356521,0.1731479,272.4946,162.4072,103.8779,
0,1643568864606,BeamStart_Target,1.584306,0.2355214,0.1730064,272.4975,163.0007,103.26,
0,1643568864716,BeamStart_Target,1.584264,0.2357269,0.1730108,272.5037,162.4839,103.7769,
0,1643568864827,BeamStart_Target,1.584138,0.2354421,0.1730087,272.5131,161.6836,104.5967,
0,1643568864940,BeamStart_Target,1.58426,0.2356091,0.1729883,272.5103,161.673,104.6105,
0,1643568865050,BeamStart_Target,1.584168,0.2357642,0.173173,272.5118,161.5982,104.662,
0,1643568865161,BeamStart_Target,1.58429,0.2352231,0.1730634,272.5276,161.7047,104.5695,
0,1643568865272,BeamStart_Target,1.584196,0.2355044,0.172925,272.5427,161.6745,104.5883,
0,1643568865383,BeamStart_Target,1.584156,0.2353933,0.173041,272.5341,161.2822,104.9894,
0,1643568865495,BeamStart_Target,1.584285,0.2352429,0.1730035,272.5496,160.7886,105.455,
0,1643568865606,BeamStart_Target,1.584239,0.2353569,0.17307,272.5229,160.5423,105.7029,
0,1643568865716,BeamStart_Target,1.584363,0.2353553,0.172925,272.5391,160.4432,105.8356,
0,1643568865827,BeamStart_Target,1.58417,0.2354158,0.1729953,272.5415,160.9154,105.3643,
0,1643568865938,BeamStart_Target,1.584102,0.2353435,0.1728862,272.5186,161.2445,105.036,
0,1643568866049,BeamStart_Target,1.584204,0.2359388,0.1731857,272.5164,161.5792,104.6988,
0,1643568866161,BeamStart_Target,1.584413,0.2356775,0.1730578,272.5197,161.84,104.433,
0,1643568866272,BeamStart_Target,1.584118,0.2356125,0.1731424,272.5241,161.7775,104.4771,
0,1643568866384,BeamStart_Target,1.584205,0.2355685,0.1728947,272.5209,162.0025,104.2605,
0,1643568866494,BeamStart_Target,1.584161,0.2357041,0.1731583,272.5176,162.1505,104.1129,
0,1643568866605,BeamStart_Target,1.58424,0.2354468,0.1729023,272.5181,162.081,104.1736,
0,1643568866716,BeamStart_Target,1.584241,0.2355122,0.1730429,272.5131,162.0847,104.1892,
0,1643568866829,BeamStart_Target,1.584279,0.235475,0.1729671,272.4987,162.4565,103.8051,
0,1643568866940,BeamStart_Target,1.58432,0.2357952,0.1730197,272.479,162.8375,103.4282,
0,1643568867051,BeamStart_Target,1.584194,0.2357666,0.1730364,272.485,163.6029,102.6501,
0,1643568867174,BeamStart_Target,1.584143,0.2357527,0.1729236,272.4894,162.9589,103.2932,
0,1643568867306,BeamStart_Target,1.584295,0.2357603,0.1730892,272.4847,162.4709,103.7928,
0,1643568867440,BeamStart_Target,1.584144,0.2358618,0.1729755,272.457,162.5249,103.7511,
0,1643568867573,BeamStart_Target,1.584151,0.2355749,0.172965,272.4834,162.5464,103.7085,
0,1643568867674,BeamStart_Target,1.584304,0.2358029,0.173057,272.4726,162.2326,104.0365,
0,1643568867806,BeamStart_Target,1.584185,0.235504,0.1729887,272.4718,162.2746,103.9862,
0,1643568867907,BeamStart_Target,1.584278,0.2355123,0.1729323,272.4769,161.6962,104.595,
0,1643568868040,BeamStart_Target,1.584262,0.2354798,0.172859,272.4753,161.7348,104.542,
0,1643568868173,BeamStart_Target,1.583992,0.2355264,0.172922,272.4801,162.1997,104.0589,
0,1643568868296,BeamStart_Target,1.584239,0.2349062,0.1727617,272.5067,162.2609,103.9963,
0,1643568868406,BeamStart_Target,1.584199,0.2355705,0.1729997,272.5037,162.2716,103.9936,
0,1643568868529,BeamStart_Target,1.584328,0.2355506,0.173037,272.4943,163.0199,103.249,
0,1643568868663,BeamStart_Target,1.584229,0.2352915,0.1729301,272.5005,162.5011,103.7864,
