pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643566990176,BeamStart_Target,1.593845,0.2329317,0.1836373,272.3921,165.232,93.7283,
0,1643566990277,BeamStart_Target,1.593723,0.232914,0.1835732,272.3796,165.124,93.83311,
0,1643566990389,BeamStart_Target,1.593751,0.2328776,0.1837738,272.3866,165.405,93.55556,
0,1643566990501,BeamStart_Target,1.593704,0.2326779,0.1835101,272.3846,165.8949,93.05963,
0,1643566990611,BeamStart_Target,1.593724,0.2326149,0.1836712,272.381,165.4293,93.53715,
0,1643566990722,BeamStart_Target,1.593819,0.2325027,0.1833122,272.3788,165.1052,93.85764,
0,1643566990833,BeamStart_Target,1.593792,0.2328714,0.1836379,272.3432,164.9326,94.0201,
0,1643566990946,BeamStart_Target,1.593718,0.2329454,0.1836718,272.354,164.8796,94.07195,
0,1643566991056,BeamStart_Target,1.593831,0.2327293,0.1836138,272.3557,164.867,94.07207,
0,1643566991166,BeamStart_Target,1.593781,0.2329724,0.1838394,272.3475,164.5661,94.36469,
0,1643566991278,BeamStart_Target,1.593871,0.232998,0.1836518,272.3579,164.5938,94.34708,
0,1643566991389,BeamStart_Target,1.593806,0.232719,0.1836079,272.3348,165.2319,93.70125,
0,1643566991500,BeamStart_Target,1.593672,0.2327079,0.1835784,272.3463,165.2251,93.7163,
0,1643566991611,BeamStart_Target,1.593657,0.2328697,0.1836556,272.3355,165.4128,93.53226,
0,1643566991722,BeamStart_Target,1.59374,0.2329053,0.1837542,272.3378,165.6934,93.24206,
0,1643566991832,BeamStart_Target,1.59377,0.232708,0.1836376,272.3566,164.9505,93.99787,
0,1643566991945,BeamStart_Target,1.593738,0.2327587,0.1835258,272.3511,164.6784,94.28215,
0,1643566992056,BeamStart_Target,1.593824,0.2327663,0.183679,272.3563,165.1445,93.79917,
0,1643566992166,BeamStart_Target,1.593796,0.232887,0.1837541,272.3698,165.191,93.76366,
0,1643566992278,BeamStart_Target,1.593732,0.2328953,0.1836114,272.3736,164.8371,94.11665,
0,1643566992388,BeamStart_Target,1.593888,0.2327496,0.1837149,272.3678,165.1131,93.83257,
0,1643566992500,BeamStart_Target,1.593752,0.2328407,0.1837087,272.3528,165.4025,93.5443,
0,1643566992610,BeamStart_Target,1.593805,0.2328321,0.1835288,272.3452,165.2254,93.72157,
0,1643566992722,BeamStart_Target,1.593688,0.2325012,0.1834846,272.344,165.1925,93.75696,
0,1643566992833,BeamStart_Target,1.593772,0.2327358,0.1835136,272.347,165.5143,93.44774,
0,1643566992944,BeamStart_Target,1.593662,0.2326927,0.1835815,272.3766,165.6118,93.33817,
0,1643566993056,BeamStart_Target,1.593861,0.2325284,0.1835334,272.3762,165.2552,93.69099,
0,1643566993166,BeamStart_Target,1.593751,0.2326333,0.1837149,272.3841,165.4615,93.49247,
0,1643566993278,BeamStart_Target,1.593814,0.2328564,0.1835986,272.3839,165.0926,93.85448,
0,1643566993388,BeamStart_Target,1.59369,0.2325037,0.1835726,272.3973,165.126,93.82417,
0,1643566993499,BeamStart_Target,1.59379,0.2327376,0.1836258,272.3984,165.5213,93.41006,
0,1643566993611,BeamStart_Target,1.59389,0.2328961,0.1835774,272.4076,165.9031,93.05064,
0,1643566993722,BeamStart_Target,1.593667,0.2326046,0.1834745,272.3936,165.8211,93.12537,
0,1643566993832,BeamStart_Target,1.59377,0.2328115,0.1837275,272.3811,165.9901,92.95493,
0,1643566993944,BeamStart_Target,1.593743,0.232585,0.1836821,272.403,165.8886,93.05756,
0,1643566994055,BeamStart_Target,1.593649,0.2326852,0.1837021,272.3983,166.2035,92.74219,
0,1643566994167,BeamStart_Target,1.593761,0.232697,0.1835803,272.381,165.6347,93.29838,
0,1643566994278,BeamStart_Target,1.593826,0.2328059,0.1838239,272.371,165.2413,93.68897,
0,1643566994388,BeamStart_Target,1.593809,0.2331696,0.1838504,272.3749,165.4993,93.43598,
0,1643566994500,BeamStart_Target,1.593971,0.2331442,0.1839421,272.3896,165.5428,93.38837,
0,1643566994611,BeamStart_Target,1.593633,0.2324786,0.1835766,272.3929,166.0319,92.90536,
0,1643566994723,BeamStart_Target,1.593852,0.2327468,0.183624,272.4136,166.0174,92.92284,
0,1643566994833,BeamStart_Target,1.593898,0.2328272,0.1837138,272.4211,166.5585,92.39547,
0,1643566994944,BeamStart_Target,1.593725,0.2326188,0.1835517,272.4308,165.5282,93.40257,
0,1643566995056,BeamStart_Target,1.593966,0.2328692,0.1836862,272.4167,165.1707,93.76702,
0,1643566995167,BeamStart_Target,1.593697,0.2322946,0.1833997,272.4097,165.4501,93.48524,
0,1643566995278,BeamStart_Target,1.593708,0.2327637,0.1836519,272.4034,165.3979,93.55444,
0,1643566995388,BeamStart_Target,1.593757,0.2327105,0.1837586,272.3815,164.827,94.10978,
0,1643566995499,BeamStart_Target,1.593763,0.2327575,0.1835413,272.3739,164.9651,93.98423,
0,1643566995611,BeamStart_Target,1.593715,0.2325209,0.1836218,272.3895,165.1848,93.7688,
0,1643566995722,BeamStart_Target,1.593705,0.2325604,0.1836536,272.3856,165.4443,93.50417,
0,1643566995833,BeamStart_Target,1.593738,0.2326971,0.1836409,272.3872,165.0835,93.87614,
0,1643566995944,BeamStart_Target,1.593619,0.2324035,0.1834494,272.368,164.9792,93.9837,
0,1643566996054,BeamStart_Target,1.593702,0.2328115,0.1835107,272.3524,165.4791,93.45798,
0,1643566996165,BeamStart_Target,1.593657,0.2325735,0.1835021,272.367,165.9483,92.99949,
0,1643566996278,BeamStart_Target,1.593691,0.2324892,0.183511,272.3894,166.3592,92.56746,
0,1643566996388,BeamStart_Target,1.593729,0.2327074,0.1836321,272.3867,166.8533,92.07635,
0,1643566996499,BeamStart_Target,1.593864,0.2328786,0.1837463,272.4055,166.521,92.41963,
0,1643566996612,BeamStart_Target,1.59384,0.2329414,0.1836802,272.3987,165.7134,93.23062,
0,1643566996722,BeamStart_Target,1.593915,0.2332158,0.1838852,272.3956,165.8282,93.11655,
0,1643566996832,BeamStart_Target,1.593588,0.232513,0.1834835,272.3798,166.0575,92.88664,
0,1643566996944,BeamStart_Target,1.593772,0.2325878,0.1834827,272.3581,165.9361,93.00806,
0,1643566997055,BeamStart_Target,1.593768,0.2328224,0.1835971,272.3499,165.7911,93.15238,
0,1643566997168,BeamStart_Target,1.593839,0.2324831,0.1834669,272.338,165.6052,93.351,
0,1643566997280,BeamStart_Target,1.593786,0.2330363,0.1838448,272.329,165.3904,93.55967,
0,1643566997390,BeamStart_Target,1.59378,0.2326459,0.1835625,272.3512,165.143,93.80102,
0,1643566997499,BeamStart_Target,1.593695,0.2324833,0.1835581,272.373,164.8938,94.0691,
0,1643566997613,BeamStart_Target,1.593768,0.2328789,0.1836361,272.3851,165.1375,93.8299,
0,1643566997724,BeamStart_Target,1.593658,0.2326926,0.1834527,272.3781,165.1569,93.82649,
0,1643566997835,BeamStart_Target,1.593622,0.2325095,0.1833875,272.3533,165.6309,93.33009,
0,1643566997945,BeamStart_Target,1.593796,0.2329292,0.183687,272.3666,165.5167,93.43769,
0,1643566998058,BeamStart_Target,1.593788,0.2326292,0.1835967,272.3853,165.3343,93.62721,
