pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643566990176,RightFoot_Target,1.766075,0.1992363,0.2486401,359.1774,0.1975793,351.0628,
0,1643566990277,RightFoot_Target,1.765928,0.1996289,0.2487325,359.3698,0.234818,351.2139,
0,1643566990389,RightFoot_Target,1.765935,0.1990723,0.2485251,359.4317,0.2455051,351.4163,
0,1643566990501,RightFoot_Target,1.765971,0.198828,0.2483038,359.4614,0.2801329,351.5134,
0,1643566990611,RightFoot_Target,1.765798,0.1987167,0.248479,359.4089,0.2357138,351.3326,
0,1643566990722,RightFoot_Target,1.766021,0.199142,0.2486268,359.3924,0.2103861,351.1895,
0,1643566990833,RightFoot_Target,1.765908,0.1987206,0.2485791,359.4969,0.2363615,351.2302,
0,1643566990946,RightFoot_Target,1.765945,0.1987813,0.2486075,359.5794,0.25422,351.3613,
0,1643566991056,RightFoot_Target,1.765888,0.1989745,0.2486503,359.7458,0.2694972,351.4079,
0,1643566991166,RightFoot_Target,1.765851,0.1984244,0.2487702,359.8486,0.2874843,351.4139,
0,1643566991278,RightFoot_Target,1.765848,0.1986545,0.2488347,359.9392,0.2703565,351.4344,
0,1643566991389,RightFoot_Target,1.765942,0.1983406,0.2488071,0.07982531,0.2113264,351.3535,
0,1643566991500,RightFoot_Target,1.765793,0.1977369,0.2485499,0.5663428,0.177168,351.1759,
0,1643566991611,RightFoot_Target,1.765905,0.1984983,0.2490346,0.846451,0.1780868,351.0571,
0,1643566991722,RightFoot_Target,1.765902,0.1981602,0.2488044,1.215374,0.1459742,351.0066,
0,1643566991832,RightFoot_Target,1.76588,0.1987233,0.2491392,1.203984,0.1248611,350.9674,
0,1643566991945,RightFoot_Target,1.765856,0.1983169,0.2488222,1.235442,0.1485427,350.9391,
0,1643566992056,RightFoot_Target,1.765877,0.1984533,0.249036,1.179041,0.1536466,351.0197,
0,1643566992166,RightFoot_Target,1.765768,0.1979751,0.2487849,1.114511,0.1764713,351.0003,
0,1643566992278,RightFoot_Target,1.76576,0.1979579,0.2487021,0.9911012,0.2074917,351.0282,
0,1643566992388,RightFoot_Target,1.765674,0.197706,0.2486194,0.4112622,0.2331145,351.0754,
0,1643566992500,RightFoot_Target,1.765784,0.1975313,0.2483137,0.4244612,0.2080572,351.0127,
0,1643566992610,RightFoot_Target,1.765774,0.1980955,0.2485467,0.3247331,0.2010911,350.9882,
0,1643566992722,RightFoot_Target,1.765764,0.1980771,0.2486637,359.9775,0.1925346,351.0456,
0,1643566992833,RightFoot_Target,1.765786,0.1980978,0.2483904,359.9572,0.1662697,351.095,
0,1643566992944,RightFoot_Target,1.765871,0.1985179,0.2488622,359.7783,0.1838348,351.1598,
0,1643566993056,RightFoot_Target,1.765872,0.1984914,0.2486129,359.8394,0.1399345,351.052,
0,1643566993166,RightFoot_Target,1.765833,0.1983188,0.2485319,359.7952,0.1657055,351.0107,
0,1643566993278,RightFoot_Target,1.765968,0.1988112,0.2487384,359.8836,0.1575763,351.0336,
0,1643566993388,RightFoot_Target,1.76614,0.1992585,0.2490966,0.1708036,0.09592531,350.8895,
