pID,timestamp,trackable,posX,posY,posZ,rotX,rotY,rotZ,
0,1643566990176,RightHand_Target,1.93304,1.927062,0.3112344,65.56237,108.6521,217.1629,
0,1643566990277,RightHand_Target,1.932526,1.928075,0.3071959,59.44344,103.2277,211.907,
0,1643566990389,RightHand_Target,1.926874,1.924078,0.3033411,65.52188,99.05064,212.7327,
0,1643566990501,RightHand_Target,1.929373,1.922073,0.2937962,68.19225,91.99583,203.3382,
0,1643566990611,RightHand_Target,1.926025,1.917716,0.2871045,70.99986,81.04121,196.0453,
0,1643566990722,RightHand_Target,1.930536,1.914283,0.2963979,72.30918,91.862,204.1743,
0,1643566990833,RightHand_Target,1.924298,1.916086,0.307349,72.63299,105.2552,224.9494,
0,1643566990946,RightHand_Target,1.92551,1.915938,0.3189936,68.16346,105.1174,222.8397,
0,1643566991056,RightHand_Target,1.926334,1.916965,0.3305642,69.90769,110.2379,228.4001,
0,1643566991166,RightHand_Target,1.926161,1.91799,0.331858,70.937,112.1521,230.5357,
0,1643566991278,RightHand_Target,1.936343,1.927814,0.3173424,72.2406,102.1351,217.5033,
0,1643566991389,RightHand_Target,1.943715,1.93637,0.2993757,68.18903,93.5908,198.5143,
0,1643566991500,RightHand_Target,1.94566,1.941232,0.2890014,68.64838,90.72993,195.0991,
0,1643566991611,RightHand_Target,1.94816,1.944106,0.2869774,68.56231,97.82413,201.3977,
0,1643566991722,RightHand_Target,1.95611,1.949134,0.2777349,65.32085,94.59358,191.0622,
0,1643566991832,RightHand_Target,1.961162,1.960302,0.2740405,59.80412,91.75326,183.242,
0,1643566991945,RightHand_Target,1.954355,1.956587,0.2851911,59.86102,95.24891,192.139,
0,1643566992056,RightHand_Target,1.960973,1.958667,0.3033246,60.76659,101.7217,200.1734,
0,1643566992166,RightHand_Target,1.966374,1.961647,0.3249591,62.78861,112.7383,216.367,
0,1643566992278,RightHand_Target,1.962203,1.972197,0.3280568,57.75958,116.8389,219.1665,
0,1643566992388,RightHand_Target,1.954614,1.985187,0.3168757,52.46542,111.4139,211.5803,
0,1643566992500,RightHand_Target,1.960354,1.996079,0.3101878,49.44603,108.0692,207.615,
0,1643566992610,RightHand_Target,1.96491,2.002875,0.3108951,44.65477,108.6206,207.5021,
0,1643566992722,RightHand_Target,1.957274,1.992866,0.301657,51.85573,104.5854,213.4703,
0,1643566992833,RightHand_Target,1.964379,1.99706,0.2962753,51.01744,105.4396,213.6901,
0,1643566992944,RightHand_Target,1.969892,1.993804,0.2905933,50.68445,106.5719,215.3232,
0,1643566993056,RightHand_Target,1.980665,1.99363,0.2872591,48.41541,111.4153,218.5318,
0,1643566993166,RightHand_Target,1.988469,1.980955,0.2875375,48.71528,115.8651,223.4848,
0,1643566993278,RightHand_Target,1.969668,1.95444,0.3042237,52.37995,109.8309,231.2757,
0,1643566993388,RightHand_Target,1.918142,1.899123,0.3579355,52.35904,131.8535,272.7263,
0,1643566993499,RightHand_Target,1.841343,1.811118,0.3763944,26.9082,122.741,273.5385,
0,1643566993611,RightHand_Target,1.784288,1.761586,0.3531833,10.21124,106.7318,276.1192,
0,1643566993722,RightHand_Target,1.761184,1.749542,0.3261153,7.629655,101.0903,272.9583,
0,1643566993832,RightHand_Target,1.755242,1.751716,0.3150831,6.663877,97.67631,273.2985,
0,1643566993944,RightHand_Target,1.744745,1.754895,0.3126767,5.645726,96.72093,271.9758,
0,1643566994055,RightHand_Target,1.743595,1.752989,0.3133295,3.726899,92.53103,270.815,
0,1643566994167,RightHand_Target,1.751219,1.753983,0.3133599,3.012143,91.80212,271.3922,
0,1643566994278,RightHand_Target,1.743875,1.764249,0.3166765,4.49829,93.07188,270.7431,
0,1643566994388,RightHand_Target,1.749941,1.760976,0.3233888,3.827763,93.59049,268.0163,
0,1643566994500,RightHand_Target,1.749916,1.762192,0.3227726,4.523203,95.02605,267.5413,
0,1643566994611,RightHand_Target,1.749811,1.768884,0.3288956,4.433168,96.86427,264.2032,
0,1643566994723,RightHand_Target,1.753532,1.776998,0.3416832,5.185567,99.73309,261.3741,
0,1643566994833,RightHand_Target,1.747929,1.782668,0.3474575,6.046548,91.76341,257.2521,
0,1643566994944,RightHand_Target,1.73864,1.783099,0.3461151,7.186592,92.20897,251.095,
0,1643566995056,RightHand_Target,1.729702,1.781453,0.3470972,5.786685,89.54988,247.2056,
0,1643566995167,RightHand_Target,1.728317,1.779837,0.3494702,8.253559,91.44099,248.9122,
0,1643566995278,RightHand_Target,1.724827,1.778637,0.3496155,10.67423,91.79817,249.5083,
0,1643566995388,RightHand_Target,1.725515,1.781249,0.3517344,11.34623,92.26038,249.6548,
0,1643566995499,RightHand_Target,1.723119,1.787328,0.355522,13.41376,92.72622,249.1658,
0,1643566995611,RightHand_Target,1.721502,1.790472,0.3570096,15.44891,94.24448,249.5956,
0,1643566995722,RightHand_Target,1.720972,1.792597,0.3615193,15.96816,95.45772,249.5959,
0,1643566995833,RightHand_Target,1.720665,1.790887,0.3606845,15.6753,98.57994,249.7919,
0,1643566995944,RightHand_Target,1.725836,1.790805,0.3603949,15.5496,99.2404,249.123,
0,1643566996054,RightHand_Target,1.725735,1.79496,0.3589476,15.25508,98.957,247.471,
0,1643566996165,RightHand_Target,1.724537,1.794098,0.3528869,17.19777,99.05985,247.7835,
0,1643566996278,RightHand_Target,1.728252,1.794114,0.3556747,15.8457,98.37817,246.6119,
0,1643566996388,RightHand_Target,1.728215,1.79243,0.3626138,15.02768,98.29057,246.807,
0,1643566996499,RightHand_Target,1.722421,1.775829,0.3870656,8.007367,96.30996,256.1174,
0,1643566996612,RightHand_Target,1.705184,1.731237,0.4215176,357.3913,105.3604,262.3617,
0,1643566996722,RightHand_Target,1.67111,1.628342,0.4490359,330.9197,105.657,262.1652,
0,1643566996832,RightHand_Target,1.63925,1.448443,0.4596334,289.7393,132.639,231.7668,
0,1643566996944,RightHand_Target,1.660777,1.227978,0.4580869,301.7316,241.8294,122.605,
